,Sujetos,lematizado,texto_crudo,coherencia_evolucion,coherencia_evolucion_normalizada
0,1,buen venir trabajar trabajar 9 mañana hacer pausa trabajar laboratorio hacer experimento fluido acordar ayer noche medir hacer cálculo parámetro ajuste levanté poner trabajar acordar así hacer avisar después seguir trabajar hacer pausa 12 mediodía menos preparar yo almuerzo después seguir 1 medio ahí cambiar bañar venir acá experimento," Bueno, antes de venir estaba trabajando. Estuve trabajando desde las 9 de la mañana. Hice una pausa porque tenía que trabajar también en algo de laboratorio que estoy haciendo el experimento de fluidos. Me acordaba de ayer a la noche que tenía que medir, hacer unos cálculos de unos parámetros de un ajuste y cuando me levanté me puse a trabajar, no me acordaba de eso. Así que lo hice cuando me avisaron. Después seguí trabajando. Hice una pausa a las 12 del mediodía más o menos para prepararme el almuerzo. Después seguí hasta las 1 y media y ahí me cambié y me bañé para venir para acá a tu experimento.","[0.5121713  0.51771468 0.47918607 0.53132112 0.56860691 0.48625045
 0.5396409 ]","[0.86543855244977, 0.8748054502001372, 0.8097019428892146, 0.8977968533570496, 0.9608003051972918, 0.8216389309385711, 0.9118551547963047]"
1,2,hacer experimento laboratorio entregar mañana dos compañero cursar labo cinco tratar espectroscopía láser medir estabilidad láser frecuencia fijo uff ver memoria buen terminar chico 3 menos bañar duchar rápido salir comer uno galletita venir acá rápido salir ver aplicación saber ver onda venir bondi venir 15 minuto así decir ir ir bici básicamente tomar bici venir acá venir acá bajar dejar bici bordar parte industria llenar barro pie bastante barroso lloviznado garuar ayer hoy acá ahora básicamente,"Estaba haciendo un experimento de laboratorio que tengo que entregar para mañana con dos compañeros. Estoy cursando labo cinco, trata sobre la espectroscopía láser para medir la estabilidad de láser en una frecuencia fija. Uff a ver, la memoria... estaba... bueno terminé con los chicos a eso de las 3 más o menos y me bañé me duché rápido y salí comí unas galletitas y vine para acá rápido. Salí y estaba viendo la aplicación de cuando subo a ver que onda cuando venía el bondi, venía en 15 minutos así que dije no, voy a ir en bici. Y básicamente me tomé la bici y vine para acá. Eso, vine acá, me bajé, dejé la bici, bordé la parte de industria, me llené de barro los pies porque estaba bastante barroso había lloviznado garuando ayer y hoy, y estoy acá ahora básicamente.",[0.52033805 0.49207814 0.47251271 0.39795315 0.54534817],"[0.9102514794015367, 0.860815114768939, 0.8265884035563436, 0.6961579079972281, 0.9540028438686157]"
2,3,exactamente venir hacer informe último momento entregar mañana noche dar así cuatro hora sentado computadora hablar dos amigo participar yo exactamente escribir pensar cómo resolver dar mandar mail profesor escribir dato luego 3 empezar almorzar papá lado terminar almorzar bañar salir acá pensar ir llegar creer lavar diente guardar cepillo ir amigo noche cambiar cargar botella agua,"Exactamente antes de venir, estuve haciendo el informe hasta el último momento de una entrega que tengo mañana de noche que no nos da nada, así que estuve cuatro horas sentado en la computadora hablando con dos amigos, que participan conmigo. Exactamente, estuve escribiendo eso, pensando cómo resolver lo que no nos da mandando mail a los profesores y escribiendo todos los datos. Luego a las 3 empecé a almorzar con mi papá al lado y terminé de almorzar, me bañé y salí para acá pensando que no iba a llegar. Nada más creo. Me lavé los dientes, guardé el cepillo porque voy a lo de un amigo a la noche, me cambié cargué mi botella de agua, nada más.",[0.49233446 0.48818314 0.4362658  0.55576366],"[0.862935476924843, 0.8556592790226353, 0.7646615494595215, 0.9741105222932547]"
3,4,venir cursar mecánico fluido pabellón cero infinito cursar profesor llamar nicolás aula cero mesa parecer paralelogramo sino forma poder juntar mucho saber forma cuadrado raro cinco compañero cursar compañero compañera ayudante clase terminar hacer 15 minuto empezar cursar 9 mañana tres intervalo dos teórico práctica teórico imprimir apunte entender mejor teórico práctica buen ver tema código trabajo entregar semana venir entender bien clase lindo caer bien ayudante pizarrón escribir tiza tres color diferente blanco naranjo rosa tema balance masa ecuación continuidad cosa así compañera pasar pizarrón ayudante resolver ejercicio momento cortar luz mientras ver proyector entonces pasar proyector parte código clase parte ver ejercicio guía volver luz retomar tema proyector medio desayunar banano primero intervalo segundo intervalo dos pancito mantequilla maní guardado tupper tomar mate clase bastante mate hoy tocar llevar termo amiga tocar llevar mate yerba compañero reír fuerte demasiado fuerte modo incomodar clase medio clase primero intervalo imprimir apuntar teórico lograr entender mejor salir 230 peso apuntar comprar dos pagar amiga aparte deber plata comprar librería chica uno uña largo verde llamativo esculpído apuntar vorticidad inglés libro kundu capítulo 5 blanco negro doble faz verdad saber poder seguir infinitamente buen memoria," Antes de venir estaba cursando Mecánica de los Fluidos en el pabellón cero más infinito. Estaba cursando con un profesor que se llama Nicolás. Estaba en un aula de cero que tiene mesas que parecerían... No es un paralelogramo, sino que tienen la forma esa que se puede juntar de a muchas. No sé qué forma es, pero es como un cuadrado raro. Estaba con otros cinco compañeros cursando, compañeros y compañeras. Estaba también la ayudante. La clase habrá terminado hace 15 minutos. Empecé a cursar a las 9 de la mañana. Tuvimos tres intervalos, dos en la teórica y uno en la práctica. En la teórica me imprimí los apuntes y entendí mejor la teórica. La práctica estuvo muy buena. Vimos un tema de código para un trabajo que hay que entregar la semana que viene. Se entendió bien la clase, estuvo linda. Me cae muy bien el ayudante. En el pizarrón escribimos con tizas de tres colores diferentes. Blanco, naranja y rosa. Temas de balance de masa, ecuación de continuidad, cosas así. Una compañera pasó al pizarrón. La ayudante resolvió un ejercicio. En un momento se cortó la luz mientras estábamos viendo el proyector, entonces pasamos del proyector y la parte de código de la clase a la parte en la que veíamos ejercicios de guías. Cuando volvió la luz, retomamos el tema proyector. En el medio desayuné una banana en el primer intervalo. En el segundo intervalo, dos pancitos con mantequilla de maní. Los tenía guardados en un tupper. Tome mate durante la clase, bastante mate. Hoy me tocó llevar el termo. A mi amiga le tocó llevar el mate y la yerba. Un compañero se rió muy fuerte, demasiado fuerte. De modo que incomodó un poco a la clase. En el medio de la clase, en el primer intervalo, fui a imprimir el apunte para la teórica con el cual logré entender mejor. Me salió 230 pesos el apunte. Como compré dos, le pagué el de mi amiga, que aparte le debía plata. Compré en la librería el uno. Había una chica que tenía unas uñas largas verdes, muy llamativas, de esas esculpídas. El apunte era de vorticidad. Está en inglés. El libro es el Kundu. El capítulo 5. Blanco y negro, doble faz. La verdad que no sé, podría seguir infinitamente, tengo muy buena memoria. ","[0.46387781 0.43390593 0.43213063 0.43537882 0.45662442 0.44245093
 0.42701825 0.43545732 0.44086356 0.44912822 0.42534938 0.44124254
 0.44806161 0.41783778 0.40413762 0.42901506 0.42260361 0.42269302
 0.45383804 0.44489013 0.41575833 0.431721   0.46152842 0.43438359
 0.44893181 0.45396316 0.42774358 0.44778823 0.48291296 0.43748343
 0.44285169 0.40791488 0.41777495 0.43823216 0.42830594 0.41752214
 0.43141891 0.46307063 0.59556574]","[0.810760613817739, 0.7583760883417449, 0.7552732421611811, 0.7609503866600839, 0.7980832134763034, 0.7733109544801184, 0.7463378716942497, 0.7610875907151043, 0.770536559053488, 0.7849814392174996, 0.7434210470212549, 0.7711989440509578, 0.7831172280739013, 0.7302923469296633, 0.7063473555726968, 0.7498278702800452, 0.7386220072501967, 0.7387782893826446, 0.7932132187479328, 0.7775741454502023, 0.726657907541243, 0.7545572842701759, 0.8066543810494913, 0.7592109302199992, 0.7846381642441257, 0.7934318985550585, 0.7476056063615591, 0.7826394280537649, 0.8440300406867114, 0.764628803767304, 0.7740113833385192, 0.7129492199370182, 0.7301825429070918, 0.7659374323884618, 0.7485884894170108, 0.7297406770454751, 0.7540292939158875, 0.8093498369434617, 1.0409233478902231]"
4,5,venir hoy levanté temprano venir facultad levanté temprano usual venir caminar caminar pensar ir tomar 42 mitad camino ver aunque pensar funcionar bondis mitad clase crusar estructura 2 gustar teórico acuerdo detener pensar cómo vestido profesora combinar ropa después salir poner estudiar teórico 1 sala lectura pabellón infinito acuerdo luz pegar caliente gustar frío después comer calentar tupper comida hacer ayer risotto hongo cajita encantar después comer comer posición incómodo lado aula magno pabellón 1 sentado pupitre raro lugar poder apoyar mayor cantidad cosa mientras escuchar podcast después sentir uno escalera leer leer eternauta encantar cómic nunca leer cómics después enfrente pabellón industria asiento ladrillo seguir leer mirar instagram venir acá sorprender cantidad seguridad guardia hecho entrar preguntar hacer acá raro sentir incómodo esperar rato anotar acá," Antes de venir, hoy me levanté temprano y vine a la facultad. Me levanté más temprano que lo usual porque vine caminando. Caminé mucho. Pensé que me iba a tomar el 42 a mitad de camino porque lo vi, aunque pensé que... No están funcionando los bondis. Me fui a la mitad de la clase que estaba crusando, Estructura 2, porque no me gustaba nada la teórica. Me acuerdo que me detuve mucho a pensar en cómo estaba vestida la profesora, como que no combinaba nada su ropa. Después salí y me puse a estudiar Teórica 1 en la sala de lectura del pabellón infinito. Me acuerdo de la luz que me pegaba, estaba muy caliente, me gustaba, no tenía frío. Después me fui a comer. Calenté un tupper de comida que hice ayer, que es un risotto de hongos de cajita que me encanta. Después de comer, comí en una posición muy incómoda, al lado del aula magna del pabellón 1, sentado en un pupitre. Fue raro, pero era el lugar donde podía apoyar la mayor cantidad de cosas. Mientras escuchaba un podcast. Después me senté en unas escaleras, leí un poco, estoy leyendo el Eternauta, que me encanta, es un cómic, nunca había leído cómics. Después me fui enfrente del pabellón de industrias, que hay como unos asientos de ladrillos. Seguí leyendo un poco, miré Instagram y vine para acá. Y me sorprendí por la cantidad de seguridad que hay, hay muchos guardias, de hecho antes de entrar ya me estaban preguntando qué hacía acá. Fue raro, me sentí incómodo y nada, esperé un rato, me anoté y acá estoy.","[0.49303227 0.47430769 0.46582032 0.4741899  0.43244005 0.47119091
 0.4358021  0.43159879 0.4380271  0.50528121 0.47318668 0.42601515
 0.46124082 0.45738006 0.45309692 0.46825883 0.58045328]","[0.8695656019992146, 0.8365408721922156, 0.8215716316785735, 0.8363331256597472, 0.7626985419551577, 0.8310437860757993, 0.7686282150986598, 0.7612147968763173, 0.7725524706607597, 0.8911691722743791, 0.8345637454140272, 0.7513668831666328, 0.8134947243397788, 0.8066854691439566, 0.7991312419991515, 0.8258724464741108, 1.023750838318148]"
5,6,hacer venir saber dónde atrás ir pregunta venir estructura 4 cursar otero hacer cuenta armar él octete antisimétrico simétrico clase pasado visto decuplete ejemplo poder encontrar protón mostrar cómo ir mover encontrar distinto partícula empezar partícula mayor proyección después buen poner cuestionar respecto si quedar parte antisimétrico parte simétrico si yo ver función onda total tener spin fermión deber quedar tú antisimétrico principio poder quedar cualquiera dos resolver hacer fijar él medir experimentalmente movimiento magnético cociente terminar suceder deber quedar tú parte antisimétrico dar pie función onda simétrico dar clase buen dar pie siguiente clase ir ver color resolver quedar antisimétrico bastante estresado mañana reír final e3 así último momento saber si cuestión memoria poder resolver hacer último momento así terminar todavía coso e3 interesante vida," ¿Qué hice antes de venir? No sé de dónde atrás tengo que ir la pregunta, pero vengo de Estructura 4 de cursar con Otero que hizo las cuentas para armarse el octete antisimétrico y simétrico porque ya en la clase pasada habíamos visto el decuplete y con eso. Por ejemplo, pude encontrar el protón y mostró cómo ir moviendo o sea, encontrando las distintas partículas, empezando de la partícula de mayor proyección y después, bueno, se puso a cuestionar respecto a si uno se tenía que quedar con la parte antisimétrica o la parte simétrica porque, nada, si vos ves la función de onda total y tenés el spin, como son fermiones deberías quedarte antisimétrica, pero en principio podría quedar cualquiera de los dos. Y para resolver eso lo que hace es fijarse miden experimentalmente los movimientos magnéticos, sus cocientes y lo que termina sucediendo es que deberías quedarte con la parte antisimétrica y eso da pie a que tengas una función de onda simétrica, estoy dando una clase, y bueno, eso da pie a que en la siguiente clase vamos a ver qué es el color qué es lo que resuelve, qué quede antisimétrico. Antes de eso, estuve bastante estresado porque mañana rindo mi final de E3 así que estuve como a último momento, no sé si hay una cuestión de memoria que se pueda resolver pero hago todo a último momento así que tengo que terminar todavía mi coso de E3 y eso. No es muy interesante mi vida",[0.61088336 0.55621941 0.50371234 0.48244306 0.51749247],"[0.9894611403966261, 0.9009207462629438, 0.8158738954601472, 0.78142359046337, 0.838193884800583]"
6,7,venir hacer despertar yo despertar 6 cuarto mañana hermana levantar hora poder ir colegio alarma gallo bastante irritante después hacer hora volver dormir 7 mañana sonar alarma dar él pastilla perro obsesivo tema miedo hermana olvidar pastilla mandar mensaje preguntar él si dar responder 7 5 aproximadamente mañana volver dormir volver despertar 8 mañana volver sonar segundo alarma dar él pastilla perro entonces ahí bajar preguntar hermana casa si dar pastilla respuesta afirmativo agarrar subir escalera llevar baño ahí 2 3 minuto querer hacer necesidad si entonces terminar agarrar bajar escalera preparar desayuno decir agarrar bolsa agarrar 5 chipás poner microonda calentar tomar mate mamá hermana después cambiar mentira preparar ropa ir yo bañar bañar cambiar mandar mensaje abuelo saber cuándo ir pasar buscar pasar buscar correo argentino buscar regalo amiga ahí mandar mensaje decir él todo gente participado regalo regalo poder empezar pagar después tren subir esperado 20 minuto ver retraso tren subir viajar estación colegial bajar estación colegial entrar crisis saber si colectivo 42 pasar estación cartel decir parada anulado lado decir 42 entonces esperar dejar pasar ver efectivamente parar ahí subir llegar ciudad universitario después baño después ir baño mandar mensaje corino preguntar él dónde venir acá cómo cosa decir esperar así sentir estar adelantar cosa profesorado después mandar par mensaje arreglar uno cosa teatro así terminar ver hora caminar llegar instituto ifybine preguntar dónde ir guardia empezar gritar decir yo dónde ir gritar él guardia subir escalera charlé guardia decir hacer volver bajar escalera tocar timbre entrar decir buscar corina después guardia preguntar quién decir agustina después guardia hablar dónde ir entonces buscar mandar laboratorio 065 charlé chica preguntar él ver si conocer corina decir conocer ninguno corina chica tomar experimento corino entonces guardia preguntar dónde corina así guardia arriba primero empezar gritar decir contactar guardia decir él ahí hacer venir acá ahí," Antes de venir lo que hice fue despertarme. Me desperté a las 6 y cuarto de la mañana porque mi hermana se levanta a esa hora para poder ir al colegio con una alarma de un gallo que es bastante irritante. Después, como yo no tengo nada que hacer a esa hora, me volví a dormir hasta las 7 de la mañana que me sonó la alarma para darle la pastilla al perro. Como soy una obsesiva con ese tema y tengo miedo que mi hermana se olvide de la pastilla, le mandé un mensaje preguntándole si se la había dado. Cuando me respondió, que eran las 7 y 5 aproximadamente de la mañana, me volví a dormir y me volví a despertar a las 8 de la mañana. ¿Por qué? Porque me volvió a sonar la segunda alarma para darle la otra pastilla al perro. Entonces ahí bajé, le pregunté a mi otra hermana que estaba en casa si le había dado la pastilla. Como la respuesta fue afirmativa, lo agarré, subí las escaleras y lo llevé al baño. Habré estado ahí unos 2 o 3 minutos porque él no quiere hacer sus necesidades si yo no estoy. Entonces cuando terminó, lo agarré, bajé las escaleras y me preparé el desayuno. Es decir, agarré una bolsa, agarré 5 chipás, los puse en el microondas, me los calenté y tomé mate con mi mamá y mi hermana. Después de eso me fui a cambiar, no mentira, preparé mi ropa para irme a bañar. Me bañé, me cambié, le mandé un mensaje a mi abuelo para saber cuándo me iba pasar a buscar. Cuando me pasó a buscar, fui al correo argentino a buscar el regalo de una amiga. Ahí mandé mensajes diciéndole a toda la gente que había participado en el regalo que ya tenía el regalo y que me podían empezar a pagar. Después fui al tren, me subí, habré esperado unos 20 minutos, se ve que tenía retraso el tren. Subí, viajé hasta la estación de colegiales. Bajé de la estación de Colegiales, entré en crisis porque no sabía si el colectivo del 42 pasaba en esa estación o no porque había un cartel que decía parada anulada y del otro lado decía 42. Entonces esperé, dejé pasar uno, vi que efectivamente paraba ahí, me subí y llegué a Ciudad Universitaria. Después de eso fui al baño. Después de ir al baño le mandé un mensaje a Corina preguntándole dónde era que tenía que venir o que ya estaba acá, cómo era la cosa y me dijo que tenía que esperar. Así que me senté y estudié adelantando algunas cosas del profesorado. Después mandé un par de mensajes más para arreglar unas cosas de teatro. Así que terminé eso, vi que ya era la hora, fui caminando y cuando llegué al instituto del IFyBINE pregunté dónde era que tenía que ir. Un guardia me empezó a gritar diciéndome a dónde era que iba y yo para no gritarle al guardia subí las escaleras, charlé con el guardia, me dijo lo que tenía que hacer, volví a bajar las escaleras, toqué el timbre, entré diciendo que estaba buscando a Corina y después de eso la guardia me pregunta quién era yo, le dije que era Agustina y después con otro guardia estuvieron hablando dónde era que tenía que ir. Entonces estuvimos buscando, me mandaron al laboratorio 065, charlé con otra chica preguntándole a ver si conocía a Corina, me dijo que no conocía a ninguna Corina, que había otra chica que estaba tomando experimentos pero que no era Corina. Y entonces con la guardia nos preguntamos dónde está Corina. Así que el guardia que estaba arriba, que fue el primero que me empezó a gritar, me dijo que... se contactó con el otro guardia diciéndole que no era ahí y nos hizo venir hasta acá. Ahí está.","[0.58613215 0.58881853 0.55425501 0.55447817 0.54523234 0.55398232
 0.5707396  0.56570092 0.53862924 0.55222779 0.53186664 0.55174666
 0.53040134 0.54325284 0.53570244 0.5403287  0.53668012 0.55757622
 0.56102259 0.56655298 0.56200854 0.55791109 0.54088773 0.58983637
 0.55136342 0.54687686 0.50671006 0.47816291 0.36287618]","[1.0073889023625824, 1.0120060048281534, 0.952601475828401, 0.9529850144062011, 0.9370941446035735, 0.9521328008985989, 0.9809336267862504, 0.9722736235989186, 0.9257453590358679, 0.9491172717568704, 0.9141224401617003, 0.9482903546436653, 0.9116040208812755, 0.9336919729476323, 0.9207150586542525, 0.9286662356639969, 0.9223954029931911, 0.9583096597116538, 0.9642329458486277, 0.9737380727840419, 0.9659275076336712, 0.958885196542539, 0.9296270436527806, 1.0137553673936959, 0.9476316760357982, 0.9399205888848975, 0.8708856769927547, 0.8218215196427104, 0.6236774999389313]"
7,8,venir clase diseño cuatro ver presentación compañero hablar tipología vidrio oeste cómo resolver él mantener verticalidad sentado banco re incómodo dar él espalda grupo hablar prestar atención clase hablar celular arreglar hacer regalo cumpleaños chica profesor mirar yo mal celular intentar acordar yo decir anotar pensar ir almorzar," Antes de venir estaba en clase de diseño cuatro. Estaba viendo la presentación de otros compañeros. Estaban hablando de la tipología de vidrio en el oeste y de cómo resolverlo y que se mantenga una verticalidad. Estaba sentada en un banco re incómodo, estaba dándole la espalda a todo el grupo que estaba hablando. Estaba prestando atención en la clase y estaba hablando por celular, arreglando para hacer el regalo de cumpleaños de una chica. Y estaba el profesor mirándome mal porque estaba con el celular. Estaba intentando acordarme de todo lo que decían porque no tenía para anotar. Y estaba pensando en que iba a almorzar.","[0.595077   0.62184438 0.61370963 0.62633286 0.57324354 0.61493403
 0.68533957]","[0.9771081602149646, 1.0210598359784295, 1.0077026853501756, 1.0284298628339246, 0.9412579275963164, 1.009713130865078, 1.1253180542519046]"
8,9,hacer venir buen despertar aproximadamente 8 20 mañana desayunar uno chocolina después tomar dos vaso agua agarrar auto manejar si querés poder contar calle agarrar agarrar primero avenida corriente juan b justo derecho juan b justo bullrich después doblar dorrego figueroa alcorta figueroa alcorta puente llegar ciudad universitario vez llegar ciudad universitario aproximadamente nueve medio encontrar amigo cursar materia curso teoría geométrico medido 10 encontrar charlar rato poder contartir detalle rato si querés pasillo aula e24 sentado particularmente acuerdo señor limpiar pedir levantar pata limpiar abajo asiento aula cerrado esperar aula meter aula después llegar chico mentar llegar dos chico ahí meter aula bien acabar acordar cosa importar después arrancar clase cursar normalmente aproximadamente 11 50 clase tratar medida haudorf primero hora 20 aproximadamente medido haudorf seguir libro eva después julio rossi profesor decidir hablar investigación personal contar problema pensar abierto entonces vez hecho dar 10 minuto recreo problema contar abierto durar 40 minuto entonces ahí cumplir dos hora clase der 10 minuto recreo después dar medio hora salir acuerdo reloj 12 26 vez pasar labo cero textear par cosa tesis hacer tiempo venir acá después aproximadamente medio labo baño venir acá,"¿qué hice antes de venir? Bueno me desperté aproximadamente a las 8 y 20 de la mañana desayuné unas Chocolinas. Después de eso me tomé dos vasos de agua, agarré el auto maneje si querés te puedo contar por qué calles agarré. Agarré primero Avenida Corrientes hasta Juan B. Justo. Fui todo derecho por Juan B. justo hasta Bullrich, después de eso doblé en Dorrego y hasta Figueroa Alcorta. Figueroa Alcorta hasta el puente llegué a Ciudad Universitaria. Una vez que llegué a Ciudad Universitaria, que eso ya fue aproximadamente a las nueve y media, me encontré con un amigo que cursaba la materia que yo curso Teoría Geométrica de la Medida a las 10. Me encontré con él, charlamos un rato, puedo contarte detalles sobre ese rato también si querés, estábamos en el pasillo del aula E24 sentados y de lo que particularmente me acuerdo es que estaba el señor que limpiaba y nos pidió que levantaramos las patas para limpiar abajo de los asientos. Estaba el aula cerrada, por eso no estamos no estábamos esperando en el aula. Nos metimos en el aula y después fueron llegando los otros chicos, no miento, llegaron dos chicos más y ahí nos metimos en el aula. Bien, me acabo de acordar de otra cosa no importa. Después arrancó la clase cursamos normalmente aproximadamente hasta las 11 y 50. La clase se trató de medida de haudorf, la primera hora y 20 aproximadamente fue de medida de haudorf siguiendo el libro de Evans, y después Julio Rossi el profesor decidió hablar de algo de su investigación personal y contó un problema que estaba pensando que estaba abierto. Entonces una vez hecho eso nos dio 10 minutos de recreo, o sea el problema lo que contó que estaba abierto duró como 40 minutos entonces ahí se cumplió como las dos horas de clase. Dió 10 minutos de recreo y después dio media hora más y salimos me acuerdo del reloj 12 y 26. Una vez que pasó eso me fui a los labos del cero a textear una par de cosas de mi tesis porque tenía que hacer tiempo para venir hasta acá y después aproximadamente y media me fui de los labos, fui al baño y vine para acá.","[0.53027089 0.48632274 0.43862242 0.42805587 0.47890814 0.50931951
 0.48576878 0.45372752 0.44325197 0.42454406 0.46672918 0.43085285
 0.52366002 0.5025678  0.49072003]","[0.943624532602846, 0.8654181877999829, 0.7805347914260052, 0.7617314715512516, 0.8522237959931563, 0.9063412641966604, 0.8644324028757738, 0.8074145326446425, 0.7887731446692273, 0.7554821449055571, 0.8305511614439978, 0.7667087373998587, 0.9318604095568805, 0.8943264952645811, 0.8732432314224717]"
9,10,buen venir deber haber levantar temprano estudiar martes cursar así deber haber pasar cosa hacer martes hacer quedar dormir poner alarma cada medio hora funcionar doce medio hacer llamado amiga unido organizar hacer viaje chile mitad año fijar hotel reservar valparaíso diez cortar lavar diente lavar cara almorcé cambiar venir acá organizar viejo después ir dormir casa viejo separado vivo casa mamá así organizar ver hoy noche ir venir bondi justo viejo vino ir poder venir auto así quedar rato boludear casa hacer día," Bueno, antes de venir me debería haber levantado temprano para estudiar. El martes no fui a cursar así que debería haber pasado las cosas que no hice el martes, pero no lo hice. Me quedé durmiendo, me puse el alarma cada media hora, que no funcionaba. A las doce y media hice llamada con una amiga de Estados Unidos que estamos organizando para hacer un viaje a Chile a mitad de año. Nos fijamos en hoteles para reservar en Valparaíso. A las una y diez cortamos. Me lavé los dientes, me lavé la cara, almorcé, me cambié y vine para acá. Organicé con mi viejo porque después me voy a dormir a su casa. Mis viejos están separados, vivo en la casa de mi mamá, así que organizé con él para que nos veamos hoy a la noche. Iba a venir en bondi pero justo mi vieja vino antes de que yo me tenga que ir y pude venir en auto. Así que me quedé un rato boludeando en casa sin mucho que hacer. Nada, no fue mucho mi día.","[0.5205197  0.46047264 0.49008428 0.48864696 0.47433427 0.46582383
 0.45793067 0.4692919  0.51590057 0.44883332 0.29841167]","[0.8650167415730425, 0.7652285763643805, 0.8144381740124916, 0.8120495786502603, 0.7882642827815753, 0.7741213528397467, 0.7610042450482424, 0.7798846996823021, 0.8573405305278751, 0.7458859604382585, 0.49591031879882563]"
