Sujetos,lematizado,texto_crudo,coherencia_evolucion
1,buen partido acuerdo ser mañana creer jugado 7 día sueño así levanté decir primero partido ir pasar interesante después ver celu salir calle acuerdo segundo gol anulado anulado mano dedo mano según var poter varios idioma incluido árabe después terminar partido eitan tomar yo auto venir facultad acuerdo cursar acuerdo ánimo facultad bastante bajo mundo emocionalmente destruido derrota,"Bueno, este partido me acuerdo que había sido de mañana, creo que habían jugado a las 7. Yo ese día estaba con mucho sueño, así que no me levanté, dije ese primer partido no va a pasar nada, muy interesante. Y después estuve viendo en el celu, porque había salido a la calle. Me acuerdo de el segundo gol anulado, que lo habían anulado por una mano un dedo de una mano, según el VAR. Putie en varios idiomas, incluido árabe. Y después de eso, cuando terminó el partido fuimos a... fui a lo de Eitan para tomarme el auto con él, para venir para la facultad. No me acuerdo que cursaba, me acuerdo que el ánimo de la facultad era bastante bajo, estaba todo el mundo emocionalmente destruido por la derrota. Y nada más.","[0.5267050266265869, 0.5199482043584188, 0.5146621197462082, 0.45852161943912506, 0.5321030815442404, 0.5568103790283203, 0.344442754983902]"
2,partido argentino arabia saudito mundial 2022 buen día trabajar igualmente trabajar dejar compu ahí lado poner ver partido pieza único partido ver solo decir familia living pieza verdad acuerdo bastante sorprendentemente buen jugar día temprano 7 mañana 8 buen 7 u 8 mañana saber acuerdo bastante eufórico momento partido medio shockeó suponer igual mayoría hecho terminar ahí partido encima arabia saudito rápido aparte menos 6 7 8 minuto meter gol después meter después segundo tiempo verdad acuerdo buen casa mamá hermano primo tía vinir vacaciones momento,"Partido de Argentina y Arabia Saudita, Mundial 2022. Bueno, ese día trabajaba. Igualmente no trabajé, o sea, dejé la compu ahí al lado y me puse a ver el partido. Estaba en mi pieza. Fue el único partido que vi solo, digamos. Estaba mi familia en el living, pero yo estaba en la pieza. Y la verdad que me acuerdo bastante poco, sorprendentemente. Bueno, era de, se jugó de día, temprano, a eso de las 7 de la mañana. O era a las 8? Bueno, 7 u 8 de la mañana. Y no sé, me acuerdo que estaba bastante eufórico en ese momento por el partido y medio que me shockeó, supongo, al igual que la mayoría, el hecho de que hayamos terminado por ahí en ese partido, que encima era contra Arabia Saudita. Y que fue todo muy rápido, aparte. Fue menos de 6, 7, 8 minutos que metieron un gol, después metieron el otro después del segundo tiempo. La verdad no me acuerdo mucho más. Bueno, en mi casa estaba mi mamá, estaba mi hermano, estaba mi prima y mi tía, que vinieron de vacaciones en ese momento. Eso. ","[0.4320267419020335, 0.47204888079847607, 0.39590415587792027, 0.45000578959782916, 0.42042105577208777, 0.4232246220111847, 0.4463234891494115, 0.45776193542405963, 0.4068411546094077, 0.4469439635674159, 0.41208207607269287, 0.40132517367601395, 0.38240493337313336, 0.3765179365873337, 0.24199047684669495]"
3,recordar levanté temprano emocionado venir pensar hacer bastante aunque emocionar general buen ser selección recordar levantar yo creer haber comprar factura día anterior mismo día ir comprar papá acuerdo desayunar rico mientras ver temprano recordar hermano levantar importar ver solo papá mamá tampoco levantar parecer insólito perder recordar putear pantalla montón offside dudoso recordar post decepción aunque ambiente quizás motivación dentro mismo selección rendir él creer después terminar partido volver cama dormir dormido nervio creer creer mismo día noche corser seguro día parecer así saber si,"Este recuerdo me levanté muy temprano. Estaba emocionado, ya lo venía pensando hace bastante. Aunque a mí esto no es algo que me emocione en general, pero bueno, al ser la selección, sí. Recuerdo levantarme... Creo haber comprado facturas el día anterior, o ese mismo día, ir a comprar yo a mi papá, ya no me acuerdo. Para desayunar rico mientras lo veíamos, porque era muy temprano. Recuerdo que mi hermano no se levantó, no le importaba tanto. Y lo vi solo con mi papá. Mi mamá tampoco se levantó, me parece. Fue insólito lo que perdimos. Recuerdo putear a la pantalla por un montón de offsides que eran dudosos, sobre todo. Recuerdo mucho el post, de decepción, aunque también había un ambiente de quizás motivación dentro de la misma selección de no rendirse. Creo que después de terminar el partido me volví a la cama a dormir, porque había dormido muy poco, también por los nervios creo. Y creo que ese mismo día, a la noche, curse. No estoy seguro de que día fue, pero me parece que fue así. Y no sé si hay más.","[0.5257832046066012, 0.5029279704277332, 0.4909989597896735, 0.47015764767473395, 0.46432256102561953, 0.4445471399360233, 0.48954561725258827, 0.53558748960495, 0.533807247877121, 0.47590015530586244, 0.49420858174562454, 0.4109325408935547, 0.40864454209804535, 0.19702565670013428]"
4,tristísimo venir ver facultad partido venir amiga vicky chica carrera ocenografío arreglar venir ver él acá aula magno pabellón 2 único lugar pasar pabellón 1 pasar temprano 7 mañana temprano abrir dos aula poco gente ir haber arreglar venir llegar primero ir ser amiga vicky novio amigo arquitectura cursar aca venir ciudad decir buen manija ver junto lugar numeroso gente llegar llegar amigo después llegar vicky después novio llevado chipá día levanté temprano normal querer pasar panadería saber ir haber mucho cola supuestamente decir panería ir explotar saber 6 mañana puerta panadería estrella norte 3 cuadra medio casa aparte chipá acabar rápido entonces llegar temprano mejor chipá mundo tipo chipá tipo pan queso entonces rico todavía lograr comprar chipá 7 persona delante televisor prendido mundo mirar tele full euforia lograr comprar chipá rápido volver casa creer medio llamar mamá decir yo llevar saber temprano viajar solo tanto temprano así cruzar llamar volver panadería creer final a eh comprar factura entonces pedir hacer buen hija comprar factura pasar buscar cuadra panadería traer facultad dejar factura dejar puerta pabellón 2 entrar totalmente contento ir acontecer reconvencido ir salir bien remera ypf argentino realidad mamá buen arrancar partido partido solamente recordar re triste sensación desesperación aula magno todo euforia audio anterior totalmente triste creer nadie poder creer aula magno principio re poco decir uh ir ser tristeza tristeza cosa gente poder creer recordar novio amiga hacer par chiste xenofóbico respecto árabe contexto broma jaja gracioso vida real decir xenofóbico parte fin meter acuerdo tiempo gol creer decidir olvidar él creer salir 2 0 salir entrar cursar clase ahora arreglar profesor gustar fútbol crack empezar clase después partido laboratorio llegar tiempo tiempo partido arrancárar después poder ver partido recordar salir partido triste amiga después ir ir cursar amigo despedir decir nunca mas ver partido junto novio amiga creer cursar pabellón 1 quedar ahí afuera esperar llegar amigo oceanografía cursar materia oceanografío después tristeza escalerita mirar río pabellón 2 arrancar clase entrar cursar laboratorio aula 8 viejo dcao pabellón 2 laboratorio acuerdo laboratorio fluido tipo cosa asi poder chico 4 chica 5 chica chico chico destrozado totalmente destrozado mientras tomar medición hablar triste ser bastante termo grupo salvo jtp disney entender recuerdo hecho todo medición hablar cosa red social abierto tranquilo hacer triste después afrontar día complicado creer día terminar temprano volver casa ir estudiar tarde facultad voluntad hacer él curiosamente recordar menos final verdad final poder haber hablar medio hora solo saber desánimo absoluto incluso gente gustar fútbol buen," Este fue tristísimo. Este lo vine a ver a la facultad, este partido. Vine con mi amiga Vicky, una chica que es de mi carrera, de ocenografía también. Arreglamos para venir a verlo acá, en el aula magna del pabellón 2, porque era el único lugar donde lo estaba pasando. En el pabellón 1 no lo estaban pasando porque como era muy temprano, era las 7 de la mañana, como era muy temprano no tenía sentido abrir dos aulas por la poca gente que iba a haber. Y arreglamos para venir. Yo llegué primera de todos, íbamos a ser yo, mi amiga Vicky y su novio, y un amigo mío de arquitectura, que como cursa aca, venía a ciudad también y dijimos, bueno, todo manija, lo vemos todos juntos en un lugar numeroso de gente. Llegué yo, llegó mi amigo, después llegó Vicky, después el novio. Yo había llevado chipá, ese día me levanté, más temprano normal porque quería pasar por la panadería y sabía que iba a haber mucha cola supuestamente, que decían que las panerías iban a explotar, qué sé yo. Yo a las 6 de la mañana estaba en la puerta de la panadería La Estrella del Norte, que está a 3 cuadras y media de mi casa, porque aparte el chipá se acaba rápido, entonces tenía que llegar temprano, sí o sí, porque es el mejor chipá del mundo. No es tipo chipá, es tipo pan de queso, entonces es más rico todavía. Logré comprar chipá, había 7 personas delante mío, estaba el televisor prendido, todo el mundo mirando la tele, full euforia. Logré comprar chipá rápido y me volví a mi casa. Creo que en el medio me llamó mi mamá o algo para decirme que me llevaba para que, no sé, porque era muy temprano, que no viajaba sola tan temprano o algo así. Y me la cruzó, me llamó volviendo de la panadería y creo que al final, ah porque compré facturas para ellos también, entonces, pero eso no me lo pidió, eso lo hice porque soy buena hija. Les compré facturas, me pasó a buscar a una cuadra de la panadería y me trajo hasta la facultad. Le dejé las facturas, me dejó en la puerta del pabellón 2, yo entré totalmente contenta de lo que iba a acontecer, reconvencida de que todo iba a salir bien. Tenía mi remera de YPF de Argentina, que en realidad no es mía, es de mi mamá. Bueno, nada, arrancó el partido. Del partido solamente recuerdo que estábamos todos re tristes, o sea, había una sensación de desesperación en esa aula magna que, toda la euforia del audio anterior, no, este es totalmente triste. Creo que nadie lo podía creer, estábamos todos en la aula magna, porque al principio éramos re pocos y dije, uh esto va a ser una tristeza, fue una tristeza pero por otra cosa, porque gente había, pero no lo podíamos creer. Recuerdo que el novio de mi amiga hizo un par de chistes un poco xenofóbicos respecto a los árabes, que en contexto de broma fue como jaja gracioso, pero en la vida real te diría que eso es un poco xenofóbico de tu parte. En fin, y nada, nos meten, ni me acuerdo en qué tiempo fueron los goles, creo que decidí olvidarlo, pero creo que salió 2 a 0 y cuando salimos yo tenía que entrar a cursar porque yo tenía clases a esa ahora y habíamos arreglado con un profesor que no le gusta el fútbol, pero que es un crack, que empezabamos la clase después del partido porque teníamos un laboratorio, que llegábamos con el tiempo sin el tiempo del partido, pero que arrancáramos después para que podamos todos ver al partido y recuerdo salir del partido muy muy triste con mi amiga con la que después íbamos a ir a cursar, de mi amigo me despedí y le dije nunca mas vemos un partido juntos, el novio de mi amiga creo que también cursaba por el pabellón 1 y nosotras nos quedamos ahí afuera esperando que llegaran otros amigos de oceanografía porque cursamos una materia de oceanografía. Después de eso, todo tristeza en las escaleritas mirando al río del pabellón 2 hasta que arrancó la clase y entramos, cursábamos en el laboratorio, en el aula 8 del viejo de DCAO del pabellón 2 y teníamos un laboratorio, no me acuerdo que laboratorio, pero es de fluidos, tipo cosas asi, y no podíamos, o sea, estaba uno de los chicos, porque somos 4 chicas, no 5 chicas y un chico y el chico estaba destrozado, totalmente destrozado mientras tomamos las mediciones estábamos todos hablando de lo triste que había sido todo, todo bastante termo en este grupo, salvo por el JTP que estaba en Disney y no entendía nada, pero recuerdo que había hecho todas las mediciones hablando de cosas, todos con las redes sociales abiertas porque era muy tranquilo lo que había que hacer y nada, todo muy triste, después afrontar el día fue complicado, creo que ese día terminé temprano y me volví a mi casa porque no iba a estudiar a la tarde en la facultad, no tenía la voluntad de hacerlo, pero curiosamente esto recuerdo menos que la final, la verdad que de la final te podría haber hablado media hora, pero sí, no mucho más, solo sé que había un desánimo absoluto, incluso de la gente que no le gusta mucho el fútbol, pero bueno, eso fue todo.","[0.578559538592463, 0.5264771607789126, 0.5128312692755744, 0.5193385362625123, 0.5000827249727751, 0.5162136455376943, 0.5091035944574019, 0.5009243059903383, 0.4992188155651093, 0.502241679600307, 0.47497979494241566, 0.49622971564531326, 0.5172477174888958, 0.4875702470541, 0.4908522301250034, 0.4738055281341076, 0.5043051327977862, 0.4794450377424558, 0.5687207221984864, 0.4642963409423828, 0.4342750608921051, 0.3570411652326584, 0.3018363118171692]"
5,acuerdo ver casa papá mamá mas acuerdo perro sufrir hecho temblar volumen tele alto entender pasar casa sillón grande sillón chico sentado mamá subir sillón esconder cabeza acuerdo acuerdo siquiera orden gol acuerdo sensación dale poder ser acuerdo dejar sensación intranquilidad fuerte nivel corporal incluso durar siguiente partido incómodo mal acuerdo tomado resolución partido mundial ir completamente comprometido idea ir ser campeón campeón si perder último peor poder pasar el primero así acuerdo sensación decir respecto día concreto acuerdo acuerdo semana saber si cerca partido tal vez tal vez confundir nublado acompañar sentimiento decir acuerdo colgar dos camiseta boca argentino suplente quedar poder poner colgar bandera argentino,"Me acuerdo, lo vi en mi casa. Estábamos mi papá mi mamá y yo nada mas. Me acuerdo que mi perro sufría mucho, de hecho temblaba. Porque estaba el volumen de la tele muy alto y como que entendía que estaba pasando algo él. En mi casa hay un sillón grande y un sillón chico, en el que estaba sentada mi mamá y se subía al sillón y escondía la cabeza. Me acuerdo, no acuerdo ni siquiera del orden de los goles. Pero me acuerdo de una sensación de, dale, no puede ser. Me acuerdo que me dejó una sensación de intranquilidad muy fuerte a nivel corporal. Incluso que me duró hasta el siguiente partido, estuve incómodo, mal. Me acuerdo que había tomado la resolución antes del partido. De que este mundial iba a estar completamente comprometido con la idea de que íbamos a ser campeones. Para mí éramos campeones. Si perdía, ya está, esta era la última. Era lo peor que podía pasar. Y fa, la primera ya así, me acuerdo, todo sensaciones lo que te estoy diciendo. Y respecto al día en concreto, no me acuerdo mucho. Me acuerdo que por esa semana, no sé si fue, o fue cerca de otro partido, tal vez. Tal vez me lo confundo. Estaba nublado. Como que acompañaba el sentimiento, digamos. Me acuerdo de colgar mis dos camisetas, la de Boca y la de Argentina suplente, porque no me quedan, no las podía poner. De colgar una bandera de Argentina. Y no más.","[0.4991553913463246, 0.4619839532034738, 0.4308415398001671, 0.45822259822958394, 0.4495137375262048, 0.47397765254273133, 0.4616816435009241, 0.4511967311302821, 0.4618171219314848, 0.47989453489963824, 0.4451896784206231, 0.4561007591811093, 0.5091941654682159, 0.46240394314130145, 0.46149592101573944, 0.5044154609952655, 0.4834724615017573, 0.40906656384468076, 0.4066939130425453, 0.44873074690500897, 0.5367888808250427, 0.4407116770744324]"
6,ver partido verdad si dar paja acuerdo 7 mañana celular bastante diario diario silenciado notificación alguno razón mañana acuerdo 7 mañana empezar levantar notificación entonces ir ver partido través notificación mientras medio dormitar acuerdo momento leer notificación acuerdo bien salir partido resultado creer perder 1 0 así acuerdo ver argentino meter gol ir perder perder argentino decir soñar él pasar imposible perder arabia saudito acuerdo,"  No vi el partido, la verdad que no tenía, o sea, si me daba paja, me acuerdo, fue a las 7 de la mañana. Y mi celular, yo tengo bastantes diarios y los diarios los tengo silenciados las notificaciones, pero por alguna razón, esa mañana, me acuerdo que a las 7 de la mañana me empezaron a levantar notificaciones. Entonces yo iba viendo el partido a través de notificaciones, mientras estaba medio dormitando, y me acuerdo que en un momento leo la notificación, no me acuerdo bien como salió el partido, los resultados, creo que perdimos 1 a 0 o algo así. Pero me acuerdo que veo que Argentina le meten un gol y que va perdiendo, y que perdió Argentina y yo diciendo nada de esto, estoy soñandolo, no pasó esto imposible que perdimos contra Arabia Saudita. Y nada, eso me acuerdo.

","[0.5748479142785072, 0.4988490839799245, 0.473847895860672, 0.5146976709365845]"
7,buen partido argentino arabia saudito nunca levanté decir ir levantar tanto temprano ver partido levanté puntual 7 5 mañana arriba decir dio decir buen ir ver bajo desgano decir cada vez ver partido medio casa dar sensación malo suerte mamá siempre tirar abajo negatividad verdad gana escuchar mientras tratar concentrar yo ver acuerdo primero tiempo hecho gol listo tranquilo ver mamá equivocar andar encerrar tú cuarto contamín malo onda segundo tiempo siempre tiempo ir baño entonces empezar segundo tiempo venir primero gol equipo contrario mamá decir ver tener razón ver tener razón callate mamá andar cuarto quedar ahí hacer mal venir segundo gol decir ver ver dio mamá callate después todo malo onda acuerdo hermana empezar gritar ir favor meter julian alvarez favor araña hacer meter julian alvarez hermana rezar hacer hermana chiquito rezar rosario religión terminar partido desánimo acuerdo después entrevista decir confiar ir decepcionar buen decir fe decir ir ganar ir bien bastante amargo decir partir próximo partido ver nunca casa menos mamá poner extremadamente nervioso,"Bueno el partido Argentina y Arabia Saudita. Nunca me levanté, o sea yo dije no me voy a levantar tan temprano a ver el partido y me levanté pero puntual a las 7 y 5 de la mañana estaba arriba y yo dije dios por qué? Y dije bueno lo voy a ver, me bajo estaba con desgano, porque dije cada vez que veo un partido es medio... en mi casa da como esa sensación de mala suerte mi mamá siempre tirando todo abajo y esa negatividad que la verdad que no tengo ganas de escuchar mientras trato de concentrarme y ver algo. Y nada me acuerdo del primer tiempo habíamos hecho un gol y fue como listo todo tranquilo, viste mamá te equivocaste anda encerrarte al cuarto no nos contamines con tu mala onda. Este segundo tiempo, siempre entre un tiempo y el otro voy al baño entonces empezamos con el segundo tiempo y viene el primer gol del equipo contrario y mi mamá dice no vieron que tenia razón, vieron que tenia razón, callate mamá anda al cuarto quedate ahí porque nos estas haciendo mal. Viene el segundo gol y dice viste, vieron dios mamá callate. Y yo después de toda esa mala onda me acuerdo que mi hermana empezó a gritar voy por favor que metan a la Julian Alvarez por favor araña hace algo. Lo meten a Julian Alvarez, mi hermana rezando para que haga algo. Mi hermana más chiquita estaba también rezando con un rosario no se, de la religión de ella. Y nada, termina el partido todos con desánimo. Me acuerdo que después las entrevistas decían confíen en nosotros que no nos vamos a decepcionar y que se yo que. Y bueno yo dije yo tengo fe y dije vamos a ganar va a estar todo bien y nada, o sea fue bastante amargo y dije yo a partir del próximo partido no veo nunca más nada en mi casa y menos con mi mamá porque me pone extremadamente muy nerviosa.","[0.6163172369653528, 0.5723866403102875, 0.5356197158495585, 0.5249539203941822, 0.5267864125115531, 0.5588325560092926, 0.5722203373908996, 0.5693285316228867, 0.6053305665651957, 0.536417156457901, 0.4105362296104431]"
8,casa mercede levanté temprano aprovechar hacer cosa facultad mientras ver partido entrega jury cerca ocupadísimo cosa querer ver él igual levanté living papá hermano sentado ver previo día viajar después partido capital acuerdo pijama todavía acuerdo hacer planta pasar el photoshop igualmente prestar mucho atención prestar atención partido acuerdo primero gol messi sentir tranquilo acuerdo papá decir final partido si ganar arabia perdido poder perder arabia acuerdo planear ir hacer día viaje hacer acuerdo ir facultad después comprar material después volver almorzar acuerdo decir si salir mientras bien terminar partido ir haber nadie calle acuerdo estresado sentir dar tiempo viajar ver partido acuerdo siete mañana acuerdo ver instagram historia cómo mundo despierto ver partido,"Estaba en mi casa en Mercedes, me levanté temprano para aprovechar y hacer cosas de la facultad mientras veía el partido. Tenía una entrega del jury muy cerca y estaba ocupadísima de cosas, pero quería verlo igual. Cuando me levanté fui al living y mi papá y mi hermano ya estaban sentados viendo la previa. Ese día tenía que viajar después del partido a Capital. Me acuerdo que estaba en pijama todavía. Me acuerdo que estaba haciendo una planta pasándola en Photoshop, pero que igualmente no le presté mucha atención a eso y le presté más atención al partido. Me acuerdo el primer gol de Messi que me sentí muy tranquila y me acuerdo de mi papá diciendo al final del partido que si no le ganamos a Arabia ya habíamos perdido y que no podíamos perder contra Arabia. Nada más. Me acuerdo que ya estaba planeando qué iba a hacer ese día, qué viaje tenía que hacer. Me acuerdo que tenía que ir a la facultad y después a comprar materiales y después volver a almorzar. Me acuerdo de que me dijeran que si salía mientras ni bien terminaba el partido no iba a haber nadie en la calle. Me acuerdo que estaba estresada porque sentía que no me daban los tiempos para viajar y para ver el partido. Me acuerdo que fue a las siete de la mañana y me acuerdo de ver en Instagram historias de cómo todo el mundo estaba despierto para ver el partido.","[0.5183024381597837, 0.5263018120418895, 0.5167425304651261, 0.5117179652055105, 0.5031659286469221, 0.5291840093476432, 0.5505459209283193, 0.6173723399639129, 0.5656612291932106, 0.6126251419385275, 0.6229327023029327, 0.6137688755989075]"
9,partido argentino arabia saudito mundial 2022 acuerdo acuerdo montón acuerdo buen acuerdo particularmente fin semana anterior partido armar primero vez armar examen totalmente solo armar examen mentira practicar salir palabra ahora buen armar examen acuerdo renegar trabajar mañana partido argentino decir decretar arrancar después tal hora clase consulta buen clase consulta gente caer uno cara saltear hecho despierto ver partido prender tele empezar ver partido primero minuto buen errar par gol hacer penal nunca penal messi meter gol ahí tranquilo después empezar anular gol offside acuerdo pensar buen pasar arabia saudito ir muchacho salem jugador arabia saudito deber llamar él saleminho meter golazo perder partido segundo tiempo putear chatear papás putear decir esperar selección todo mierda paul poder jugar fútbol acuerdo hacer resto día creer dar consulta acuerdo responder consulta cosa particularmente cosa consultar ejercicio armado acuerdo hablar alumna decir buen mejor perder partido armar racha ganador después sacar yo mufa decir medio optimista ver él así acuerdo acuerdo persona consultar poder decir nombre si querés consultar buen chica valentino durar constanza galvani después natalia chica colorado después chico medio morochito ezequiel ponce chico recursar materia preguntar tema medido último parte materia nadie entender materia entender resto día piloto automático," Partido Argentina Arabia Saudita Mundial 2022. De este me acuerdo, me acuerdo un montón. ¿Por qué? Me acuerdo que... Bueno, me acuerdo de esto particularmente porque yo el fin de semana anterior al partido tuve que armar... fue la primera vez que armé un examen totalmente solo y armé como un examen de mentira, o sea, para que practiquen. No me sale la palabra ahora. Bueno, armé el examen y yo me acuerdo que estaba renegando que teníamos que trabajar a la mañana y era el partido argentina y dije decretemos que se arranca después de tal hora porque era la clase de consultas. Bueno, la clase de consultas la gente cayó con unas caras, o sea, me estoy salteando hechos. Me despierto para ver el partido, prendo la tele, empiezo a ver el partido, los primeros minutos, bueno, nos erramos un par de goles, nos hacen el penal, que para mí nunca fue penal, Messi mete el gol, hasta ahí todo tranquilo y después cuando nos empiezan a anular los goles por offsides, yo me acuerdo que pensé, bueno, no pasa nada, es Arabia Saudita. No va que el muchacho este Salem, que es el jugador de Arabia Saudita, debería llamarse Saleminho porque nos metió un golazo. Perdimos el partido en el segundo tiempo, yo puteando, chateando con mis papás, puteando, diciendo que yo no esperaba nada de esta selección, que era toda una mierda, que De Paul no podía jugar más al fútbol, que eso. Y nada más que eso, o sea, no me acuerdo más que hice el resto del día creo, o sea, di las consultas, me acuerdo de qué respondí en las consultas, en el sentido de qué cosas fueron particularmente, qué cosas fueron las que consultaron de los ejercicios que había armado. Y también me acuerdo que había hablado con una alumna, que yo le dije, bueno, mejor perder este partido y que armar racha ganadora después y sacarnos la mufa, y me dijo que era medio optimista verlo así, me acuerdo. Y también me acuerdo de las personas que me consultaron, te puedo decir nombres si querés, consultaron, bueno, esta chica Valentina Durán, Constanza de Galvani, después Natalia, una chica colorada, después otro chico medio morochito, Ezequiel Ponce, que es otro chico que estaba recursando la materia, estaban preguntando mucho los temas de medida, que es la última parte de la materia, que nadie entiende nada, porque en esa materia no se entiende nada y no mucho más, el resto del día fue como piloto automático.","[0.4848290296892325, 0.5140399526466023, 0.4441023409366608, 0.469495903286669, 0.49321071431040764, 0.45545325108936857, 0.45888274908065796, 0.4191830277442932, 0.4609348252415657, 0.3896936575571696, 0.3046151101589203, 0.21409180760383606]"
10,día partido arabia saudito 22 noviembre acuerdo cumplir mamá partido empezar 7 7 9 ser problema cursar empezar 9 semana anterior haabia daler haceno empezar tarde mover horario 10 así poder ir tranquilo acuerdo día levanté 6 mañana cumplir viejo preparar desayuno 7 menos 10 cama preparado momento remeno argentino suerte llegar tarde cosa quemar ninguno cabala novio unido partido 5 mañana quedar oficina poder ver él ahí buen conexión pesar 3 minuto atrasado dar cosa solo primero partido mundial entonces dicho buen si querés hacer videollamada decir 3 minuto atrasado 3 minuto montón ir gritar gol cara yo ir 10 jugada así buen acuerdo angustia gol meter después cobrar especial gracioso gritar gol felicidad después 5 minuto festejar anular juampi novio mandar mensaje tipo gol aviso cancelar dejar vivo felicidad vivir pudrar mas tarde entonces decir después volver pasar ahí mando emoji tipo gif bar sentado así esperar emoción ver partido decir poder creer empezar forma boludear el viejo decir dar cuenta ser yeta dar cumpleaños venir perder después 25 partido invicto venir perder arabia saudito mirar hicistir después partido tener ir cursar vivo cerca facu así caminar amigo depresión manejar tener contenido alguien acuerdo encontrar camino facu che querer cursar hoy triste clase ser poco clase parecer ser 7 grupo cursar dos gil decir si seguir hinchar argentino si siempre perder desastre chabón empezar decir si seriar mejor pais coso colonizado si seguir ser colonizar español menos cosa bien poder confiar argentino ninguno aspecto mierda claro chabón clase 7 cursar aparte enojado además bajoneado partido aparte clase clase si acuerdo hijo puta empezar bardear grupo amiga futbolero empezar decir decir venir 36 partido invicto chabón mando signo preguntar tener idea anterior buen si callatar después tema si confiar argentino mal estudiar tipo ir estudiar afuera plantear ir vivir afuera respuesta chabón si plata hecho respuesta amiga pena ir ganar plata titulo educación publicar ir ganar clase tipo ooooh osea asi medio hacer mirada cómplice clase mas allá buen momento nadie importar cursar después si práctico jtp che chico hoy deber ser feriado asi poder dar clase rato largo hablar partido acuerdo buen eventualmente alguno momento arrancar práctica quedar mas saber acuerdo mas resto día," El día de partido de Arabia Saudita era el 22 de noviembre, me acuerdo porque era el cumple de mi mamá. El partido empezaba a las 7, era de 7 a 9, que también había sido un problema porque mi cursada empezaba a las 9 y era como, la semana anterior haabia estado como un dale, hacenos empezar más tarde y nos movieron el horario hasta las 10 así como que podíamos ir tranquilos todos. Me acuerdo que ese día me levanté como a las 6 de la mañana porque como era el cumple de mi vieja, como que le preparé todo el desayuno, todo y que para las 7 menos 10 ya estaba en la cama con todo preparado yo en ese momento no tenía remena argentina, por suerte llegó más tarde, cosa que no quemo ninguna cabala. Mi novio estaba en Estados Unidos y el partido para él era a las 5 de la mañana y se quedó en la oficina para poder verlo desde ahí que tenía buena conexión, pero a pesar de eso estaba 3 minutos atrasado y como que a mi me da cosa porque estaba solo, era el primer partido del mundial entonces le había dicho, bueno si querés hacemos videollamada pero en cuando me dijo que estaba 3 minutos atrasado fue como, 3 minutos es un montón te voy a gritar los goles en la cara y vos vas a estar 10 jugadas antes así que fue como bueno, no. Me acuerdo la angustia de los goles que metíamos y que después no nos cobraban, en especial era muy gracioso porque yo gritaba gol, fue todo felicidad y después como que 5 minutos que todos estaban festejando como que lo anulan y cuando Juampi que es mi novio me manda el mensaje tipo gol, era como, le aviso que lo cancelaron o dejo que viva la felicidad que vivimos todos y que se pudra mas tarde? Entonces no le dije nada, y después volvió a pasar y ahí como que le mando un emoji tipo un gif de bar sentado, así como que esperando como no te emociones mucho. Y estar viendo el partido y decir como no no no no lo puedo creer que estemos empezando de esta forma y boludearla mucho a mi vieja diciendo no te das cuenta que sos una yeta, el dia de tu cumpleaños vienen a perder después de estar 25 partidos invictos, vienen a perder contra Arabia Saudita, mira lo que hiciste, todo eso. Después del partido me tenia que ir a cursar. Vivo cerca de la facu así que fui caminando con un amigo porque la depresión que se manejaba tenia que estar contenida por alguien me acuerdo que nos encontramos en camino a la facu y fue como che yo no quiero cursar hoy, es todo muy triste. Y estar en clase y que eramos pocos en clase me parece que eramos como 7 y por el grupo de la cursada había dos giles que decían si no se porque seguimos hinchando por Argentina si siempre perdemos somos un desastre. Un chabón empezó a decir, si seriamos un mejor pais o coso colonizado si siguieramos siendo colonizados por los españoles. Por lo menos tendríamos las cosas bien ya no se puede confiar en Argentina en nada, en ningún aspecto. Como que se fue a la mierda y claro el chabón no estaba en la clase y los 7 que estábamos en la cursada aparte de estar enojados además de estar bajoneados por el partido aparte de que estábamos en una clase que de la clase si no me acuerdo nada, el hijo de puta empieza a bardear por el grupo y una amiga que es muy futbolera empieza a decir que decis, como que venia 36 partidos invictos esto que lo otro y el chabón como que mando signos de pregunta como que no tenia ni idea de todo lo anterior y yo como que bueno si, callate. Y que después como que se fue el tema del si no confias en nada en la Argentina que mal que estés estudiando, tipo por qué no te vas a estudiar afuera fue el planteo, por qué no te vas a vivir afuera y la respuesta del chabón fue que si tuviera plata ya lo hubiera hecho, y la respuesta de mi amiga fue como que pena que vayas a ganar plata con el titulo de educación publica que vayas a ganar y estábamos todos en clase tipo ooooh, osea asi medio, como que nos hacíamos miradas cómplices por que estábamos en clase mas allá de todo, pero bueno en ese momento a nadie le importaba la cursada. Y después si, también en la práctica hasta el JTP estaba como un che de chicos hoy debería ser feriado, asi no se puede dar una clase, estuvimos como que rato largo hablando del partido me acuerdo y bueno eventualmente en algún momento tuvo que arrancar la práctica por que ya no quedaba mas. Sabes que no me acuerdo nada mas del resto del día","[0.6292169372240702, 0.6401089727878571, 0.5945698504264538, 0.5969095826148987, 0.5721331916072152, 0.6189949631690979, 0.6000113752153184, 0.6093895211815834, 0.6461338230541774, 0.6267697860797247, 0.67792609333992, 0.5919382274150848, 0.5887572467327118, 0.4902525842189789, 0.5313354730606079]"
