Sujetos,lematizado,texto_crudo,coherencia_evolucion
1,acuerdo día jugar noche amigo compu enterar día siguiente mañana preparar yo ir cursar facultad entendido bien historia asumido noticiero mundo enterar así contar historia mitad adelante preguntar viejo viejo decir cómo enterar mundo vivir leer celu después poquito acuerdo después hacer feriado gente salir movilizar él decir intento asesinato," Me acuerdo que ese día estaba jugando a la noche con unos amigos en la compu y no me había enterado de nada hasta el día siguiente a la mañana que estaba preparándome para ir a cursar a la facultad. No había entendido muy bien la historia porque como que habían asumido ya en los noticieros que ya todo el mundo se había enterado así que estaban contando la historia de la mitad para adelante. Y le pregunté a mi vieja. Mi vieja me dijo cómo no me había enterado en qué mundo estaba viviendo y nada, leí en el celu después un poquito más y no mucho más. Me acuerdo que después se hicieron un feriado para que la gente saliera a movilizarse digamos en contra del intento de asesinato y nada.","[0.6046378761529922, 0.6050465901692709, 0.6760685443878174, 0.6882572770118713]"
2,uff ver si acuerdo bien saber ver vivo ver noticiero momento hecho enterar grupo whatsapp físico empezar hablar especie bardo ahí leer decir onda buscar internet enterar después acuerdo dónde llegar casa ahí enterar tarde noche noche día amiga vivir cerca ahí acuerdo contar empezar llenar gente zona después quedar acampar demás zona recoleto vivir cerca plaza vicente lópez acuerdo particular acuerdo parecer shockeante día siguiente clase ir hacer fiesta primavera ir ver si ir cancelar jueves viernes fiesta si equivonar final cancelar acuerdo acuerdo,"Uff, a ver si me acuerdo bien de esto, o sea, sé que no lo vi en vivo, no lo vi en el noticiero en el momento. De hecho me enteré por el grupo de Whatsapp de Física que empezaron a hablar de eso y hubo como una especie de bardo ahí. Y leí eso y dije, ¿qué onda? Y lo busqué en internet y me enteré de eso y, nada, después, no me acuerdo dónde estaba, pero llegué a casa y ahí me enteré, o sea, esto era a la tarde noche, noche de ese día. Nada, tengo una amiga que vive cerca de ahí, me acuerdo que me contó que se empezó a llenar de gente por la zona, que después se habían quedado a acampar y demás por la zona recoleta donde vive ella, cerca de la plaza Vicente López. No me acuerdo nada más en particular, o sea, me acuerdo que me pareció shockeante y que al día siguiente no teníamos clases. Que se iba a hacer la fiesta de la primavera y que se iba a ver si se iba a cancelar o no. Esto era un jueves y el viernes era la fiesta, si no me equivoco, y al final se canceló. No me acuerdo mucho más, eso es todo lo que me acuerdo.","[0.562472265213728, 0.5205950481551034, 0.5765216002861658, 0.538064819574356, 0.5546992868185043, 0.5326141317685446, 0.4846900701522827, 0.49415189027786255]"
3,acuerdo enterar bondi volver novia ver celular mujer re quilombo video aburrido creer faltar batería poder usar celular entonces mirar celular gente acompañar bondi quilombo video parecer justo hora medio hora después suceder momento llegar novia ahí empezar q hablar preocupar bastante terminar ir casa cristino puerta dar medio movilización 12 noche aproximadamente quedar hora recordar montón gente cantar apoyar periodista acuerdo ir empezar venir grupo gente venir bien interior provincia apoyar bastante largo hora noche pasar lado momento tirar petardo piso asustar montón casi quedar sordo exageradamente hacer frío creer recordar salir bastante abrigado sueño 12 noche recordar ver gente secundario ahí puerta casa recordar quedar cerca plaza acuerdo recoleto caminado 10 cuadra buen ir si ir novia igual ahí acompañar mamá novia bastante preocupado pertenecer funcionario político gobierno entonces ambiente tensión casa,"Me acuerdo que me enteré en el bondi porque estaba volviendo a lo de mi novia y vi en el celular de una mujer como un re quilombo en un video de estar aburrido, creo que me faltaba la batería y no podía usar el celular. Entonces miré los celulares de la gente que me acompañaba en el bondi y había mucho quilombo en un video y me parece que eran justo una hora o media hora después de que sucediera esto. En el momento en el que llegué a lo de mi novia, ahí ya lo empezamos q hablar, no se qué, ella se preocupó bastante y terminamos yendo a la casa de Cristina, estando en la puerta, dando medio de una movilización a las 12 de la noche aproximadamente y nos quedamos una hora. Recuerdo un montón de gente cantando, apoyando, periodistas, me acuerdo que cuando ya nos estábamos yendo empezó a venir todo un grupo de gente que venía bien del interior de la provincia a apoyar a bastantes largas horas de la noche y cuando pasamos por al lado en un momento tiraron un petardo en el piso y me asustó un montón, casi me quedo sordo, exageradamente. ¿Qué más? Hacía frío, creo, recuerdo salir bastante abrigado y con sueño también, porque ya eran como las 12 de la noche y recuerdo ver gente de mi secundario también que estaba ahí en la puerta de la casa. Recuerdo que quedaba cerca de una plaza, no me acuerdo cual, en Recoleta, habremos caminado 10 cuadras y estuvo bueno. No hubiese ido si no iba mi novia igual, pero como estábamos ahí, la acompañé. Y también la mamá de mi novia estaba bastante preocupada, sobre todo porque pertenece a los funcionarios políticos del gobierno, entonces estaba un ambiente de tensión en la casa. Y nada más.","[0.5725181930594974, 0.5780832432210445, 0.5634904844420296, 0.5082606573899587, 0.6113661766052246, 0.5509954169392586, 0.4832060436407725, 0.455297127366066, 0.29583504796028137]"
4,intento asesinato cristino fernández kirchner cursar física 3 0 infinito práctica diego márquez sentado creer segundo fila tercero asiento contar derecha cerca puerta mirar pizarrón cerca derecho siempre sentir ahí cuatrimestre noche enterar momento saber pasado alguno momento clase abrir red instagram celular noticia clase dar mucho importancia llegar casa salir 9 medio noche llegar casa televisión prendido enterar prender televisión ahí abrir red social ninguno tipo prohibición poner ver verdad entender bien pasar creer mundo recordar video salir cristino auto alguienatino disparar tiro fallar recordar televisión decir periodista intentar matar el salir bala recordar bien detalle frase recordar varios canal repetir creer viér c5n acuerdo detalle probable viér c5n mucho confusión verdad evento acuerdo detalle nube pasar recuerdo después evento siguiente clase físico profesor preguntar che tú decir intentar nadie avisar clase querer matar vicepresidenta parecer reto decir cuanto asesinato todo noche preocupado cena familiar recordar haber plantear tema familia sentado mesa mismo lugar siempre charlar tema celular mesa impactante contar papá papá saber contar mamá último volver creer entrenar mamá tampoco poder creer mucho simpatía cristino entonces tema dar mucho relevancia papá simpatía preocupar parecer cosa dejar totalmente boquiabierto saber pensar decir chau democracia terminar acá ahora hermano interés política entonces tema parecer hecho hollywood entonces suponer impactar quizás repercusión saber charlar mesa varios día pensar tema justo entonces escuchar radio viér tele entonces medio aislado situación noticia día varios día después pendiente tema poner volver aprender tele ver onda cómo enterar señor intentar matar el novia aparentemente involucrado menos semana seguir tema parecer shockeante shockeante escuchar medio después mañana siguiente si escuchar radio escuchar futurock después mañana siempre ratito noche casa aprender tele papá shockeante,"Cuando fue el intento de asesinato a Cristina Fernández de Kirchner, yo estaba cursando Física 3 en el 0 más infinito. Estaba en la práctica con Diego Márquez. Estaba sentada creo que en la segunda fila, tercer asiento, contando desde la derecha. Estaba más cerca de la puerta que mirando el pizarrón estaba más cerca de la derecha. Siempre me senté ahí durante todo el cuatrimestre. Era de noche. Y yo no me enteré en ese momento. Sé que había pasado algo porque en algún momento de la clase abrí una red Instagram con el celular y había algo como que... Había noticia de algo pero yo estaba en clase, no le di mucha importancia. Cuando llegué a mi casa, porque salimos a eso de las 9 y media de la noche, cuando llego a mi casa la televisión ya estaba prendida. Y me fui enterando prendiendo la televisión. Ahí sí ya abrí las redes sociales sin ningún tipo de prohibición. Y me puse a ver. La verdad que no entendí muy bien lo que estaba pasando. Creo que estaba como todo el mundo. Recuerdo el video en el cual está saliendo Cristina del auto y alguienatina a disparar y el tiro falla. Recuerdo en la televisión diciendo a los periodistas que habían intentado matarla y que no había salido la bala. No recuerdo bien los detalles de la frase pero recuerdo que en varios canales lo estaban repitiendo. Creo que yo estaba viéndo C5N. No, eso sí que no me acuerdo con detalle pero es muy probable que haya estado viéndo C5N. Sí, mucha confusión. La verdad que fue un evento que no me acuerdo tanto de los detalles porque fue como una nube de qué pasó. Recuerdo que ya después de este evento, la siguiente clase de física, el profesor nos preguntó como, che, ustedes no me dijeron nada de que intentaron, nadie me avisó que durante la clase quisieron matar a la vicepresidenta. Parecía un reto pero tenía sentido lo que decía. Pero en cuanto al asesinato estuve toda la noche muy preocupada. La cena familiar, recuerdo haber planteado el tema, estar mi familia sentados todos en la mesa en los mismos lugares de siempre, charlando el tema con el celular en la mesa porque era como muy impactante. Se lo conté a mi papá, que mi papá ya lo sabía. Se lo conté a mi mamá que fue la última que volvió porque creo que estaba entrenando. Mi mamá tampoco lo podía creer, ella no tiene mucha simpatía por Cristina y entonces el tema no le dio mucha relevancia. Pero con mi papá, que sí, le tiene simpatía, sí, nos preocupamos, nos parecía... de esas cosas como que te dejan totalmente boquiabierto, sabés que pensar, decís, chau la democracia se terminó acá y ahora. Mi hermano no tiene mucho interés por la política, entonces también es un tema que no le... o sea, le pareció como hecho, muy Hollywood, entonces supongo que le impactó en ese sentido pero no tanto en quizás repercusiones. Pero sí, sé que se charló durante la mesa y que yo estuve varios días pensando en el tema. Justo para ese entonces yo no estaba escuchando mucho la radio ni viéndo tele entonces estaba medio aislada en la situación de noticias, pero desde ese día y varios días después estuve muy pendiente del tema. Me puse... volví, aprendía la tele, a ver qué onda, cómo fue, me fui enterando del señor este que intentó matarla, de su novia que aparentemente estuvo involucrada y por más o menos una semana seguí el tema porque me pareció shockeante, muy shockeante. Escuché algunos medios después de eso, la mañana siguiente. Yo si escucho radio, escucho futurock, después de eso, a la mañana o siempre que tuve un ratito. Y a la noche que estaba en mi casa aprendía la tele con mi papá, pero sí, fue como muy shockeante todo.","[0.5538674073559897, 0.517183402005364, 0.49652445858175104, 0.5001482232473791, 0.5037703603025405, 0.5173227220773697, 0.4887261329026058, 0.4924132807978562, 0.4731490507170006, 0.4890355123923375, 0.47122944474220274, 0.47488717672725517, 0.4922404509523641, 0.5299288047985597, 0.5056871048041752, 0.47572132870554923, 0.5030044599583274, 0.4990750286314223, 0.4987496795023189, 0.506490059196949, 0.5073036432266236, 0.4835605504257338, 0.5222398386551783, 0.48457352072000504, 0.5007161389697682, 0.5166602373123169, 0.5173363122675154, 0.5332243628799915, 0.5260574562208993, 0.542243629693985, 0.561145293712616, 0.5680535137653351, 0.553047796090444, 0.4701584279537201, 0.6178839206695557]"
5,creer novia recordar exactamente dónde acuerdo saber si vacaciones momento casa casa principio parecer medio chiste verdad ver ahí imagen entender bien asunto mientras suceder evento pasar mayor momento parecer medio chiste después mismo ahí sorprender bastante discutir mismo día siguiente enterar recordar mismo día reunir amigo contar día gatillar sino día siguiente juntar mucho gente recordar día contar dos cuadra casa cristino cruzar gente colegio perfil apoyar cristina interpelar decir hacer acá onda saber resultar venir mcdonald justo ahí todo situación gracioso acuerdo así general recordar saber si acuerdo cuándo medio movilización creer seguro recordar haber ir acuerdo vago,"Creo que estaba con mi novia. No recuerdo exactamente dónde, pero estaba con ella, me acuerdo, no sé si estaba de vacaciones en ese momento o estaba en mi casa. No, estaba en mi casa con ella. Y al principio como que nos pareció medio que era un chiste, como que no era verdad. Vimos ahí una imagen y no entendíamos bien el asunto. Mientras sucedía el evento, no pasó a mayores, fue más que nada eso. En el momento parecía todo medio un chiste. Después del mismo, ahí sí me sorprendí bastante. Lo discutimos con ella misma el día siguiente, que nos enteramos más. Recuerdo que también ese mismo día me reuní con un amigo que me contó que no el día que la gatillaron, sino el día siguiente que ya se estaba juntando mucha gente, es lo que más recuerdo de ese día, que me contó que estaba a dos cuadras de la casa de Cristina y se cruzó con otra gente de mi colegio que no era para nada del perfil que apoyaría a Cristina y nada, los interpeló, dijo ¿qué hacen acá? ¿qué onda? qué sé yo. Y nada, resulta que venían del McDonald's y estaban justo por ahí, fue toda una situación graciosa. No, no me acuerdo mucho, así en general. Recuerdo que, no sé si fue... No me acuerdo cuándo fue esto, pero hubo medio una movilización, creo... no estoy seguro. Pero recuerdo haber ido a algo. No, no me acuerdo, es todo muy vago
","[0.5580794885754585, 0.5088865488767624, 0.531422461782183, 0.48241108655929565, 0.46772336463133496, 0.5135221752253446, 0.4771417200565338, 0.5121137036217583, 0.4990895204246044, 0.475117815392358, 0.49922994275887805, 0.4504701554775238, 0.4323985204100609, 0.4974509080251058, 0.43883274495601654, 0.36027973890304565]"
6,intento asesinato cristino fernández kirchner uff tema gris acuerdo intento asesinato ser noche noticia salir momento exacto enterar twitter primero justo twitter tipo contar intentar pegar él tiro cristino decir yo poder ser saber acuerdo tele prendido casa cuarto cenado todavía siempre acuerdo hambre cenado bajo aparecer acuerdo conmoción claro cristino séquito persona puerta cristino momento creer juicio vialidad entonces apoyo persona acampe persona intentar asesinar el acuerdo discusión tele primero respecto posicionamiento gobierno alberto fernández empezar buen esperar inventar salir varios político salir cuestionar momento democrático vivir ahí entero alberto día siguiente decretado asueto venir bien ir trabajar colegio siguiente día mucho gana mañana cancelar clase asi último momento ahora acuerdo si si asober creer día siguiente acuerdo hablar bastante política amigo saber noche boludear hablar whatsapp boludeado hablar cosa parecer hablar cosa chino creer pasado justo buen importar hablar chino acuerdo poner cuestionar cuán verídico ser pasar poner leer tweete tipo seguir experto cuestión armamentístico empezar describir si arma verdadero acuerdo discusión si arma verdad arma creer fabricado tipo salir decir después acuerdo meter yo discord tarde noche chico físico festejar ser feriado acuerdo alguien empezar discutir persona bardear cristina así estilo verdad acuerdo," Intento de asesinato Cristina Fernández de Kirchner. Uff, este tema tengo unos grises. Yo me acuerdo que el intento de asesinato había sido de noche. La noticia no había salido en el momento exacto, pero yo me enteré por Twitter primero, porque justo estaba en Twitter y había un tipo que había contado que habían intentado pegarle un tiro a Cristina. Y yo dije, na, esto no puede ser, qué sé yo. Y me acuerdo que estaba la tele prendida en mi casa, yo estaba en mi cuarto. Yo no había cenado todavía, siempre me acuerdo cuando tengo hambre, no había cenado y bajo y había aparecido eso y me acuerdo como tuve una conmoción porque, claro, lo de Cristina, estaba todo ese séquito de personas en la puerta de Cristina porque en ese momento ella estaba, creo que en el juicio por vialidad. Y entonces tenía el apoyo de las personas, el acampe, y de la nada una persona había intentado asesinarla. Y me acuerdo que la discusión en la tele era primero respecto al posicionamiento del gobierno que Alberto Fernández empezó como a... bueno espero no estar inventando esto, pero salió como a... o sea, varios políticos salieron a cuestionar el momento democrático que estamos viviendo y ahí es donde también me entero que Alberto, al día siguiente, había decretado un asueto que a mí me había venido muy bien porque yo tenía que ir a trabajar al colegio al siguiente día y no tenía muchas ganas. Era a la mañana y se me cancelaron las clases asi a último momento. Ahora no me acuerdo si, si el asueto yo creo que fue al día siguiente. Y nada, me acuerdo que, o sea, yo hablo bastante política con un amigo y estábamos como... no sé, esa noche no, no, estábamos boludeando, estábamos hablando por WhatsApp boludeado hablando de otra cosa, me parece que estábamos hablando de una cosa de China. Creo que lo que había pasado era que justo... bueno, no importa, no, no, no, no... pero estábamos hablando algo de China, eso me acuerdo. Y estábamos como poniendo, o sea, cuestionando cuán verídico había sido lo que había pasado. Me puse a leer tweets de un tipo que yo sigo, que es experto en cuestiones armamentísticas, empezó a describir si ese arma era verdadera o no, porque me acuerdo que la discusión era si el arma era de verdad o no. Porque era una arma que creo que estaba fabricada, y que el tipo salió a decir que sí. Y después me acuerdo meterme en Discord más tarde en la noche, que estaban algunos de los chicos de física que también estaban festejando que había sido feriado. Y me acuerdo que alguien se empezó a discutir con otra persona, como uno bardeando a Cristina, algo así de ese estilo, pero de verdad no me acuerdo tanto, tanto, pero eso.","[0.5672638354932561, 0.5740351919084787, 0.5720595717430115, 0.5542976473058973, 0.5479790980999286, 0.5697806825240453, 0.5592281899668954, 0.541537857055664, 0.5321224927902222, 0.5309024415910244, 0.5382461633001056, 0.48353055119514465, 0.4831195294857025, 0.4785315841436386, 0.4509098331133525, 0.2702453061938286, 0.5311623811721802]"
7,pasar intento asesinato decir mandar grupo whatsapp decir poder ser real entrar ver mandar twitter clip tweet decir parecer falso parecer si armado acuerdo grupo armar discusión si todo teoría conspirativo si armado oposición si realmente pasado empezar pelear decir medio extraño salir bala situación raro dar mucho importancia sinceramente después poner pensar acuerdo parte razón dentro discusión saltar tema democracia saltar raíz cierto si serio conclusión llegar después todo conversación si cierto si mentira buen gusto posible día hoy pasar después justamente tratar materia didáctico general acuerdo semana septiembre semana siguiente decir bastante importante tratar soler pasar colegio hablar involucrar político educativo tema pasar ahí único acuerdo,"Cuando pasó el intento este de asesinato, yo dije... Me lo mandaron por un grupo de Whatsapp y yo dije... No, no puede ser real. Y cuando entro, lo veo... Me mandaron un Twitter, un clip de un Tweet... Y dije, no, pero esto parece falso. Parece como si estuviera todo armado. Y nada me acuerdo que en mi grupo este, donde se armó la discusión... Entre si era todo... Todas esas teorías conspirativas, entre si era armado por la oposición... Si realmente había pasado... Y nos empezamos a pelear entre unos con los otros. Y yo dije, es como medio extraño que no haya salido la bala... Fue una situación muy rara. Y no le di mucha importancia, sinceramente. Después me puse a pensar... Me acuerdo que fue... La parte en la que tenían razón, porque dentro de las discusiones... Saltó el tema de la democracia y todo lo que saltó a raíz de eso. Y es como un poco cierto. Pero nada, si fue en serio... La conclusión a la que llegamos después de toda esta conversación es que... Si fue cierto o si fue mentira... No fue de buen gusto. Pero nada, o sea... En lo posible del día de hoy pasó. Y después esto, justamente, fue lo que fue muy tratado en una de las materias de didáctica general. Ya me acuerdo que en esa semana... Que fue en septiembre, fue la semana siguiente... Nos dijeron que era algo como bastante importante a tratar. Porque es algo que suele pasar en los colegios. De que se tiene que hablar porque es algo que involucra mucho lo político y lo educativo. Y esos temas que pasan ahí. Pero nada, eso es lo único que me acuerdo.","[0.5799996018409729, 0.5860733687877655, 0.5803541609874139, 0.5646888166666031, 0.5723805373365228, 0.5914310991764069, 0.6010832587877909, 0.5784216001629829, 0.5576195631708417, 0.5546599427858988, 0.5598063826560974, 0.5272365659475327, 0.511851559082667, 0.5101526975631714, 0.48356056213378906]"
8,hacer cosa facultad computadora acuerdo materia pieza siempre seguramente hacer cosa estructura historia día cursar estructura historia jueves tanto metido hacer trabajo enterar ceno enterar seguir hacer trabajo tipo mañana agarrar celular enterar clase día decretado paro hermano venir decir paro ahí agarrar celular terminar igual hacer trabajo historia llevado casi todo tarde," estaba haciendo cosas de la facultad en la computadora no me acuerdo que materia, pero estaba en mi pieza de siempre, seguramente estaba haciendo cosas de estructuras o de historia porque al otro día cursaba estructuras e historia. O sea fue un jueves, y estaba tan metida en hacer el trabajo que ni me enteré. Cuando ceno me enteré de esto, pero seguía haciendo trabajos y tipo una de la mañana agarré el celular y me enteré que no teníamos clases al otro día porque se había decretado un paro. Mi hermano me vino a decir lo del paro, y ahí es cuando agarré el celular. Había terminado igual de hacer un trabajo de historia que me había llevado casi toda la tarde. Nada más","[0.5473768204450608, 0.5306038111448288, 0.43866583208243054, 0.4543581083416939, 0.1946546882390976]"
9,intento asesinato cristino fernández kirchner ir ser honesto acuerdo dar mucho bola caso acuerdo comer hamburguesa pedido acuerdo hamburguesería pedido hamburguesa escribir gabo poner mirar tele entero poner ver pasar presidenta presidente vice buen igual mismo poner ver pasar cristina así decir pasar decir prender tele ver intento asesinato saber poder dar opinión político cosa políticamente incorrecto pensar ojalá meter tiro saber cosa acuerdo pensar caer bien cristino acuerdo chabón cara cara presente cara chabón mostrar cara medio acuerdo salir cara novia saber si mismo día salir cara chabón sabag así sabag montiel llamar pibe acuerdo mostrar ver c5n contar detalle arma teorizar poder disparar llamar experto conmoción acuerdo pasar totalmente inaudito decretar feriado día siguiente acuerdo indignación chatear viejo decir él indignado cómo ir haber clase boludez realidad boludez mundo seguir poder poner feriado pensar situación económico país saber si dar sacar él día trabajo gente aparte feriado cosa trabajar feriado salir pagar él doble empleado entonces perjudicar mundo feriado menos querer ir joda buen acuerdo dormir re tarde compu quedar re tarde caso día siguiente acuerdo comer computadora boludear saber creer escribir alguno entrega geoalgebraico," Intento de asesinato a Cristina Fernández de Kirchner. De esto te voy a ser honesto, mucho no me acuerdo porque no le di mucha bola al caso. Lo que sí me acuerdo es que yo estaba comiendo una hamburguesa que me había pedido, no me acuerdo de qué hamburguesería, pero me había pedido una hamburguesa y que me escribe Gabo y me pone, yo no miro la tele, yo no me entero de nada, me pone ¿viste lo que pasó con la presidenta, presidente o la vice? Porque bueno, igual es lo mismo. Me pone ¿viste lo que pasó con Cristina? Algo así. Y le digo, no, ¿qué pasó? Me dice, prende la tele y veo lo del intento de asesinato, qué sé yo, puedo dar opiniones políticas y cosas políticamente incorrectas y yo pensando, ojalá le hubieran metido el tiro, que no sé qué cosa. Me acuerdo que pensé eso porque no me cae bien Cristina. Y me acuerdo del chabón este, de la cara, la cara la tengo muy presente, la cara del chabón, que mostraron la cara en todos los medios. También me acuerdo que salió la cara de la novia, no sé si eso fue ese mismo día, que salió la cara del chabón, Sabag, algo así, Sabag Montiel se llama el pibe. Y nada, me acuerdo que estaban mostrando, estaba viendo C5N y contaban los detalles del arma, teorizaban por qué no pudo disparar, llamaban expertos, había una conmoción y de lo que también me acuerdo es que pasó algo totalmente inaudito, que es que se decretó feriado al día siguiente. Y me acuerdo de mi indignación y de chatear con mis viejos, diciéndoles que estaba indignado, que cómo no va a haber clases por esta boludez, que en realidad no es una boludez, pero el mundo sigue, no se puede poner un feriado por esto. Y pensando que con la situación económica con la que está el país, no sé si daba sacarles un día de trabajo a la gente, aparte que los feriados, cuando para las cosas que sí o sí tienen que trabajar un feriado, no me sale esto. Hay que pagarles el doble a los empleados, entonces perjudica a todo el mundo que sea feriado, menos a los que se querían ir de joda. Y bueno, me acuerdo que me fui a dormir re tarde, me fui a la compu, me quedé re tarde porque no había caso de nada el día siguiente, pero no me acuerdo más. Estaba comiendo y estaba con la computadora, boludeando, no sé, creo que estaba escribiendo alguna de las entregas para Geoalgebraica, pero no más que eso.","[0.4959621915477328, 0.5239877700805664, 0.4723237763558115, 0.5381879221934539, 0.496726560095946, 0.5048642348159443, 0.48747111558914186, 0.5000932945145501, 0.49558920599520206, 0.4764060207775661, 0.45321816951036453, 0.49865676164627076, 0.5021095871925354, 0.5131471157073975, 0.4333169758319855, 0.35938483476638794]"
10,verdad parecer momento enterar acuerdo llegado noticia pasar acuerdo pasar grupo materia empezar decir che ver pasar decir tal vez mañana feriado grupo materia día siguiente cursar entender cómo intentar asesinar pasar empezar buscar ver si encontrar ver video chabón ahí sacar arma decir carajo che todo verga pasar momento momento pasar acuerdo noticia acuerdo shockeo noticia mismo tiempo 10 noche 11 noche acabar decretar mañana feriado intento asesinato carajo ir hacer clase mañana levantar temprano mandar él mails docente che acabar decir mañana feriado hacer preocupación 20 minuto buscar información decir carajo pasado si asesinado drama ser desatar después che ir dormir mañana levantar 7 mañana mañana poder dormir 10 mañana acuerdo parecer ahí llegar acuerdo mandar mandar docente mail teórico jtp práctico ayudante primero decir favor alguien ver mail respónda yo teórico responder día siguiente tipo 6 mañana asumir decir chabón dormir enterar levantar decir hoy feriado bien jtp mandar mensaje cortito mañana clase ver semana venir ayudante primero mandar texto enorme tema casi asesinar significar todo gravedad asunto alguien decir ayudante primero mandar pensar tal vez mensaje corresponder jtp saber después clase siguiente dar 10 minuto clase hablar pasado acuerdo," La verdad es que me parece que en el momento no me enteré. Me acuerdo de que me haya llegado como que la noticia de lo que pasó. Me acuerdo que pasó por un grupo de una materia que todos empezaron a decir, che, ¿vieron lo que pasó? Están diciendo que tal vez mañana es feriado. Y era ese grupo de la materia que el día siguiente cursabamos. Y como que no entender nada. Fue como, ¿cómo que la intentaron asesinar? ¿Qué pasó? Y como que empezar a buscar, a ver si encontraba, a ver el video del chabón ahí sacando el arma. Y decir qué carajo. Che, se fue toda la verga. ¿Qué está pasando? Pero el momento en sí, el momento en que pasó, no me acuerdo de las noticias, nada. Me acuerdo de eso. Y de que me shockeó la noticia, pero al mismo tiempo estaba como un, son las 10 de la noche. Era como las 11 de la noche y acaban de decretar que mañana es feriado por el intento de asesinato. Y este que el otro, ¿qué carajo va a hacer desde la clase? Mañana me tengo que levantar temprano o no?, estar mandándole mails a los docentes, como che acaban de decir que mañana es feriado, qué hacemos? Como que la preocupación de lo que fue, como que fue los 20 minutos que estuve buscando información, decir qué carajo, qué hubiera pasado si la hubieran asesinado, qué drama que hubiera sido todo, que hubiera desatado todo eso. Pero después fue como un, che me voy a dormir porque mañana me tengo que levantar a las 7 de la mañana o mañana puedo dormir hasta las 10 de la mañana. Y sí, como que no me acuerdo mucho más. Me parece que hasta ahí llego. O sea, me acuerdo que me mandaron, que uno de los, o sea, como que yo le había mandado a un docente el mail al de la teórica, al JTP de la práctica y al ayudante primera, como para decir por favor alguien vea este mail y respóndame. El de la teórica me respondió el día siguiente, tipo a las 6 de la mañana, asumo que todos decíamos, como el chabón se fue a dormir, no se enteró de nada y de la nada se levantó diciendo, hoy es feriado, fue como, bien. El JTP como que mandó el mensaje más cortito, como mañana no tenemos clase, nos vemos la semana que viene. Y el ayudante primero se mandó un texto enorme, con todo el tema, que nada, fue que casi la asesinan, lo que significa eso, toda la gravedad del asunto. Y era como alguien que lo dijo, como que el ayudante primera como que lo mandó. Pensamos que tal vez es un mensaje que correspondía un poco más para un JTP, yo que sé. Y después como que sí, la clase siguiente le dimos 10 minutos a la clase, como para hablar de lo que había pasado y todo, pero mucho más no me acuerdo.","[0.5888971228684697, 0.60568333224014, 0.5696039096667216, 0.5901990151405334, 0.5741888669629892, 0.5631789513256239, 0.5698359676382758, 0.6018496851126353, 0.5733401328325272, 0.5848987259362873, 0.5987455795208613, 0.6075100250103894, 0.568250510841608, 0.5743327895800273, 0.5743501079933984, 0.5548193202568934, 0.5580619151393572, 0.5376493659886447, 0.5880457103252411, 0.5888961652914683, 0.592680174857378, 0.6126018932887486, 0.6305282960335413, 0.6335201382637023, 0.6267159432172775, 0.599778413772583, 0.5690796375274658, 0.6022389531135559]"
