Sujetos,lematizado,texto_crudo,coherencia_evolucion
1,buen primero día cursar presencial post pandemia cursar estructura 9 mañana martes acuerdo primero día normalmente venir eitan auto día todavía eitar ocupado ir venir primero clase así tomar tren agus acuerdo dejar pasar demorado así llegar 10 minuto tarde aula llegar mayoría amigo saber ir cursar sentado mirar yo cómo llegar tarde primero día así sentar fondo agus ver aula gigante dar cuenta saber cursar estructura poder haber hacer materia mejor suponer tema amigo decidir cursar llegar dmitruk explicar número deborah si recordar mal explicar fluido yo ahí creer acuerdo lu amiga estar después rendir final estructura febrero año acuerdo hacer pregunta vidrio si vidrio poder considerar fluido pesar número deborah bajo chico acuerdo definición número deborah mayor menor decir agua acuerdo preguntar dejar oh buen materia poder hacer tipo pregunta acuerdo,"Bueno, primer día de cursada presencial post pandemia, cursaba estructura uno a las 9 de la mañana, un martes. Me acuerdo que era el primer día, yo normalmente vengo con Eitan en el auto y ese día todavía Eitan estaba ocupado, no iba a venir a la primera clase, así que me tomé el tren con Agus. Me acuerdo que tuve que dejar pasar uno porque él se había demorado, así que llegamos como 10 minutos tarde al aula. Y cuando llegamos, estaban la mayoría de nuestros amigos con los que sabíamos que íbamos a cursar ya sentados mirándonos cómo llegamos tarde el primer día. Así que nos tuvimos que sentar al fondo con Agus que no se veía nada en esa aula gigante. Me di cuenta de que no sabía por qué estaba cursando estructura uno, porque podría haber hecho otras materias mejores, pero supongo que por un tema de amigos decidí cursar esa. Cuando llegué Dmitruk ya estaba explicando el número de Deborah, si no recuerdo mal, para explicar que era un fluido. Vos estabas ahí creo. Me acuerdo que Lu, una amiga mía con la que estudié después para rendir el final de estructura uno, eso fue en febrero de este año, y me acuerdo que hizo una pregunta de vidrio, de si el vidrio se podía considerar un fluido a pesar de que tiene un número de Deborah muy bajo o muy chico, no me acuerdo la definición del número de Deborah, pero era como o mucho mayor o mucho menor digamos que el agua. Y me acuerdo que esa pregunta me dejo como oh qué buena materia que me puedas hacer ese tipo de preguntas. Y no me acuerdo de mucho más. No, nada más.","[0.579164364121177, 0.5526435658335686, 0.5464172330167558, 0.5283744186162949, 0.5210084659712655, 0.5026165892680486, 0.5166088223457337, 0.5009656064212322, 0.4353514015674591, 0.2695384919643402, 0.1752404421567917]"
2,2022 uy acuerdo decir primero día estable f4 saber si valer par vez tampoco seguido arrancar venir siguiente cuatri a ey saber ver meca meca hacer labo 3 a eh buen labo 3 primero hacer presencial hacer verano 2022 hacer todo clase presencial primero día buen llegar acá venir 37 mañana acuerdo creer recordar haber venir costanero sol pegar tipo todo costanera lindo buen verano ver bastante amanecer momento venir cómo llamar profesor pablo cobelli barbijo contar modalidad presentar berna sofío angriman ir ser ayudante labo nico dos contar ir ser 3 así vino chico preguntar yo si poder ir creer nico preguntar decir labo 4 ok pasar labo 3 hacer solo nico acordar chico suelto decir decir boludo creer chico preguntar ir preguntar yo si grupo dos preguntar final saber cómodo cómo venir manejar yo día experimento hacer rlc común idea empezar interactuar circuito osciloscopio demás nunca visto acuerdo costar montón pasar clase f3 gráfico circuito tipo hecho dibujito tener resistencia posta nunca visto acuerdo tardar montón entender cómo funcionar realmente circular creer,"2022... uy es que no me acuerdo. Digo el primer día estable... es que en F4 fuimos... esto no sé si vale... fuimos un par de veces pero tampoco fuimos de seguido... y arrancamos a venir el siguiente cuatri? Ay lo sé... a ver meca... no, meca la hice... labo 3, ah bueno labo 3 fue lo primero que hice presencial, que lo hice en verano de 2022 hice todas las clases presencial. El primer día bueno llegué acá vine en el 37 a la mañana. Me acuerdo o creo recordar haber venido por la costanera y que el sol esté pegando tipo toda la costanera muy lindo porque bueno era verano y se veía bastante, amanecía en ese momento. Veníamos con... ¿cómo se llama este profesor? Pablo Cobelli, estábamos todos con barbijo, nos contó la modalidad. También se presentó Berna y Sofía Angriman que iban a ser los ayudantes del labo. Yo estaba con Nico éramos dos y nos contaron que iban a ser la 3 así que vino un chico a preguntarnos si podía estar con nosotros, va creo que a Nico le preguntó y le dijimos que sí, no no no no no, eso es labo 4... ok, no pasó eso... labo 3 lo hice solo con Nico, ya me acordé, había un chico que estaba suelto pero dijimos no. O sea como que nos decimos un poco los boludos creo, y el chico le preguntó, o sea iba a preguntarnos a nosotros si era un grupo de dos y le preguntó a ellos al final porque no sé... como que estábamos muy cómodos con cómo veníamos manejándonos nosotros. Ese día el experimento que hicimos era un RLC común la idea era empezar a interactuar con el circuito y con el osciloscopio y demás que nunca lo habíamos visto, me acuerdo que nos costó un montón porque era pasar de las clases de F3 con gráficos y circuitos tipo hechos en un dibujito de la nada a tener una resistencia posta que yo nunca había visto una. Y nada me acuerdo que tardamos un montón en entender cómo funcionaba para que realmente circule creo que eso.","[0.5555504668842662, 0.521689161658287, 0.4916713237762451, 0.490621954202652, 0.47445063505853924, 0.47337697943051654, 0.479870069026947, 0.4807967245578766, 0.40691376229127246, 0.4564090669155121, 0.3506900668144226]"
3,recordar nervioso ir ver gente ver dos año saber nombre stalkeado ferraro mecánico clásico maravillar explicar tanto bien motivado ser primero día presencial pandemia hacer menos materia dar paja recordar tema ver quedar grabado principalmente ser primero día clase ahí dar cuenta guardar memoria cosa montón experiencia alrededor sentado cuarto igual día ver video tras video clase teórico recordar intentar hablar empezar hablar gente quizá mínimamente hablar internet tratar sociabilizar recuperar dos año sociabilización pandemia luego creer acuerdo cómo vestido ferraro camisa día acuerdo cómo vestido saber detallar,"Recuerdo que estaba nervioso, iba a ver a la gente que no vi durante dos años, pero que sabía sus nombres o los había stalkeado. Fue con Ferraro en mecánica clásica. Me maravilló que explicara tan bien y lo mucho más motivado que estaba por ser el primer día presencial. Cuando durante la pandemia hice menos materias y todo me ha daba mucho más paja. Recuerdo algunos de los temas que vimos y que me quedaron grabados, como principalmente por ser el primer día de clase. Y fue ahí cuando también me di cuenta lo mucho que se guarda en la memoria cosas cuando hay un montón de experiencias alrededor y no cuando estás sentado en tu cuarto y es todo igual. Todos los días estás viendo video tras video de clases teóricas. Y recuerdo intentar hablar o empezar a hablar con gente que quizá mínimamente hablé por internet. Y tratar de sociabilizar y recuperar los dos años de sociabilización en pandemia. Y luego de eso nada más. Creo que me acuerdo cómo estaba vestido Ferraro, con una camisa como todos los días. No me acuerdo cómo estaba vestido yo. No sé qué más detallar.","[0.5317204271753629, 0.5225252725861289, 0.4931042939424515, 0.4813372426562839, 0.514806967228651, 0.5247458602700915, 0.5110456794500351, 0.5453655838966369, 0.5613632500171661, 0.4723513921101888, 0.4336787015199661, 0.5715703964233398]"
4,cursar matemática 4 química inorgánico 1 tratar trasear hacer cursar matemática 4 tarde claudia lederman mañana inorgánico 1 si mal recordar matemática 4 martes viernes noche inorgánico lunes miércoles mañana creer entonces creer arrancar clase lunes si correcto arrancar lunes ir pabellón 2 aula magno clase numeroso siempre sentir casi todo clase fila 5 parte medio aula magno aproximadamente asiento 4 5 empezar izquierda quedar cómodo ver pizarrón presentación profesora llamar lucir capese sebastián lula decir mismo amiga llevar él hoy yerba tres compañera conocido primero impresión cursar chico pequeño clase mezcla teórico práctica primero teórico después práctico mix buen vez cosa teórico entender aplicar ejercicio buen recordar quién dar clase primero vez acuerdo ayudante método particular enseñar cual humillante caer bien principio comparación luciano sebastián mejor didáctico día cursar solo mañana creer 9 12 12 medio clase intervalo medio pabellón 2 salir tomar aire hacer calor momento barbijo profesor pedir permiso sacar él barbijo entender clase si entender atrás primero fila barbijo barbijo recordar decir poner momento estricto recordar uno chica atrás charlar buen realidad saber si exacto primero día evento repetir bastante cursar día acuerdo," Sí, cursé Matemática 4, Química Inorgánica 1, estoy tratando de trasear lo que hice. Yo cursaba Matemática 4 a la tarde con Claudia Lederman y a la mañana Inorgánica 1. Si mal no recuerdo, Matemática 4 era martes y viernes a la noche, Inorgánica lo tenía lunes y miércoles a la mañana, creo. Entonces creo que arranqué las clases un lunes, si eso es correcto. Arranqué el lunes yendo al pabellón 2 en el aula magna, era una clase muy numerosa. Siempre me senté en casi todas las clases en la fila 5 de la parte del medio del aula magna, aproximadamente entre los asientos 4 y 5 empezando de la izquierda, porque me queda más cómodo para ver el pizarrón. Y la presentación, una de las profesoras se llamaba Lucía Capese, otro Sebastián, a Lula le decían. Estaba con la misma amiga, la que tiene que llevarse hoy a la yerba, y tres compañeras más conocidas. Mi primera impresión fue que estaba cursando con chicos muy pequeños, más que yo. La clase tenía una mezcla entre teórica, práctica, no era como primero teórica y después práctica, era todo un mix, lo cual estuvo muy bueno, porque a veces las cosas en la teórica no se entienden hasta que no aplicás ejercicios, y eso estuvo muy bueno. No recuerdo quién dio la clase la primera vez, pero sí me acuerdo que una de las ayudantes tenía unos métodos muy particulares para enseñar, en los cuales eran muy humillantes, esa no me cayó muy bien al principio, en comparación a Luciana y Sebastián, que sí tenían mejor didáctica. Ese día cursé solo a la mañana, creo que era de 9 a 12, 12 y media la clase. Sí, tenían algunos intervalos en el medio, estábamos en el pabellón 2, salíamos a tomar aire, hacía mucho calor en ese momento, estábamos todos con barbijo, todos los profesores pidieron permiso para sacarse el barbijo, para que se entienda la clase, porque si no no se entendía nada de los que estábamos un poco más para atrás de las primeras filas. Todos con barbijo, sí, algunos no tenían barbijo y recuerdo les dijeron que se lo pusieran, porque en ese momento estaba más estricto. Recuerdo unas chicas que estaban atrás mío charlando mucho, bueno en realidad no sé si eso fue exacto en el primer día, pero fue un evento que se repitió bastante eso durante la cursada. De ese día mucho más no me acuerdo.","[0.6263098359107971, 0.575362965464592, 0.5460513876034663, 0.5536151602864265, 0.5562385591593656, 0.534832552075386, 0.5577516092194451, 0.5340295359492302, 0.4973272255488804, 0.4707445253928502, 0.4640790581703186, 0.42101286351680756, 0.3969191312789917, 0.37649472057819366, 0.3564737141132355]"
5,seguro recordar él primero día cursar saber si pandemia ir hablar día creer primero día venir cursar creer pandemia parte presencial cursar teórico 1 nuevo terminar dejar motivo raro mentir mentir anotar teórico 1 modalidad mixto hacer imagen compañero clase nunca venir cursar modalidad mixto compañero venir cursar mitad venir cursar mitad ver zoom difícil ir clase zoom presencial básicamente terminar dejar primero día cursar ahora laboratorio 4 hacer sofi acuerdo acuerdo barbijo pasar powerpoint lineamiento seguridad general explicar asunto cómo hacer venir firmar permiso así acuerdo vago acuerdo marcelo luda shockeó ver él saber imagen acuerdo momento ver serie llamar olvidar nombre fleabog personaje hacer acordar básicamente parar pensar él decir sofi compañera ver día pensar cualquiera cosa mas,"No estoy seguro de recordarlo, porque el primer día de cursada no sé si era durante la pandemia. Voy a hablar de ese día que creo que fue el primer día que vine a cursar, creo que era con pandemia pero tenía parte presencial estaba cursando Teórica 1 de nuevo que termine dejando por este motivo fue muy raro. Mentí, no, me mentí porque yo me anoté en Teórica 1 que tenía modalidad mixta, se me hizo la imagen de mis compañeros en clase, yo nunca vine a cursar, yo estaba, era modalidad mixta y mis compañeros venían a cursar, la mitad venía a cursar y la otra mitad la veía por zoom y era muy difícil ir a una clase por zoom de algo presencial, básicamente terminé dejando por eso. Pero mi primer día de cursada ahora sí fue Laboratorio 4 que hice con Sofi. Me acuerdo muy poco. Me acuerdo que estábamos todos con barbijos, que pasaron un powerpoint con lineamientos de seguridad generales, ya habían explicado mucho sobre todo el asunto de cómo se hacía para venir porque había que firmar un permiso o algo así y no me acuerdo mucho más, muy vago, eso es todo sí. Me acuerdo de Marcelo Luda me shockeó verlo, no sé, fue una imagen, me acuerdo mucho de él pero porque en ese momento estaba viendo una serie que se llama me olvidé el nombre, Fleabag y hay un personaje que me hizo acordar mucho a él básicamente y no paraba de pensarlo y se lo dije a Sofi que era mi compañera y no lo veía y estuve todo el día pensando en eso más que en cualquier otra cosa. Y nada mas.","[0.5315034985542297, 0.45666935046513873, 0.4763494968414307, 0.43478961288928986, 0.4641985297203064, 0.4642539769411087, 0.30360424518585205]"
6,buen primero acuerdo cursar campo 9 mañana lunes pabellón cero acuerdo día raro memoria acuerda hacer calor hacer frío contar menos final marzo acuerdo primero hacer poner yo recorrer pabellón cero mirar techo primero pensamiento odiar techo cero infinito parecer cagar bastante acuerdo bastante emocionado venir tema pandemio decir buen gana ir volver cursar tomar mate saber acuerdo encima facultad sistema bastante hinchapelota todavía terminar entonces barbijo recordar llevar barbijo especialmente incómodo blanco alienígeno poder respirar bien buen llegar clase lombardo clase cero dar atrás pabellón cero acuerdo alguno motivo fadu ahí entonces cortado ciudad universitario contar detalle saber si bien lleno gente fadu caminar pasillo atrás medio bizarro acuerdo clase hacer calor además nadie usar pizarrón pabellón cero menos dado cursar verano dudo lombardo hecho entender bien tema luz tipo cosa a eh buen pregunta cuestionario cuestión cómo vestido acuerdo rapado seguramente joggineta creer joggineta remera frío acuerdo aula mucho gente momento saco barbijo empezar momento rebelde sacir barbijo lombardo sacar barbijo clase entender acuerdo ping pong acuerdo lombardo conclusión clase curso ir aprender poder pensar espaciotiempo lugar lleno resortito después clase david david dar clase grupo simetría buen acuerdo alguno motivo sueño volver casa buen ahí terminar igual primero día llegar casa pasear perro después acuerdo retirar río claramente hacer facultad día ahí terminar acuerdo comer tomar café noriego hacer tomar café acá parecer asco acuerdo volver bicicleta casa quedar comer alguno motivo acuerdo," Bueno, lo primero que me acuerdo es que yo fui a cursar Campos, fue a las 9 de la mañana, un lunes, en el pabellón cero, me acuerdo que era un día que, o sea, es raro porque mi memoria se acuerda de eso, pero que no hacía calor, o sea, hacía frío, teniendo en cuenta que era más o menos a finales de marzo. Me acuerdo que lo primero que hice fue ponerme a recorrer el pabellón cero, como mirar el techo, mi primer pensamiento fue que odiaba el techo del cero más infinito, me parecía como que la cagaba bastante. Me acuerdo que estaba como bastante emocionado porque, nada, venía todo el tema de la pandemia, como, como dije, bueno, tenía ganas de ir y volver a cursar, o sea, tomar los mates, qué sé yo, pero me acuerdo que encima la facultad tenía un sistema bastante hinchapelotas que tenías que estar con el, porque todavía no había terminado del todo, entonces estabas con el barbijo, o sea, recuerdo que llevé un barbijo especialmente incómodo, de esos blancos alienígenas, que no podía respirar muy bien. Y bueno, llego a la clase, está Lombardo, fuimos a una clase del cero, que es una que da atrás del pabellón cero, y me acuerdo que también por algún motivo habían estado los de FADU ahí, entonces, y habían cortado todo ciudad universitaria. Yo estoy contando muchos detalles, no sé si está bien. Estaba lleno de gente de FADU caminando por los pasillos, o sea, por atrás, era medio bizarro. Me acuerdo que en esa clase hacía mucho calor, y que además, como nadie estaba usando los pizarrones del pabellón cero, a menos que hayan dado cursada en el verano, que dudo que Lombardo lo haya hecho, no se entendía bien como el tema de las luces y ese tipo de cosas. Ah, o sea, bueno, sí, como en las preguntas del cuestionario había cuestiones de cómo estaba vestido y eso, yo me acuerdo que estaba rapado, seguramente tenía esta joggineta , creo que tenía esta joggineta y una remera y por eso tenía un poco de frío. Me acuerdo que en el aula no había mucha gente, yo en un momento me saco el barbijo, o sea, como que yo ya empecé como a mi momento rebelde, me saqué el barbijo, porque Lombardo se había sacado el barbijo. Fue una clase que no entendí nada, me acuerdo, porque era todo un ping pong, me acuerdo que Lombardo, la conclusión de la clase era, en este curso vamos a aprender por qué podemos pensar al espacio-tiempo como un lugar lleno de resortitos. Y después tuvimos la clase de David, que David dio una clase de grupos de simetría, que estuvo muy buena. Me acuerdo que por algún motivo no tenía nada de sueño, yo volví a mi casa y bueno, ahí termina igual el primer día. Llegué a mi casa y me fui a pasear a mi perro y después me acuerdo que me fui a retirar al río y nada, claramente no hice nada en la facultad ese día y ahí termino. Me acuerdo que no comí, que tomé un café de La Noriega, yo desde hace mucho no tomaba café de acá, me pareció un asco. Y me acuerdo que me volví en bicicleta a mi casa, o sea, no me quedé a comer por algún motivo, no me acuerdo por qué.","[0.6364264956542424, 0.643024572959313, 0.6356251388788223, 0.621770360253074, 0.6321169108152389, 0.6630953881475661, 0.646801084280014, 0.6139337250164577, 0.6213811337947845, 0.6265900015830994, 0.6784495562314987, 0.6677668889363607, 0.6618579030036926, 0.7851037979125977]"
7,un primero día presencial cursar después pandemia medio lío encima solo primero día presencial después pandemia sino pabellón 0 infinito primero vez pisar pabellón así encontrar aula 1307 medio lío después dar mil vuelta acá allá entender cuál aula entrar buen día tarde si mal recordar recordar tarde 2 4 acuerdo siempre quejar viajar hora cursar dos hora tener ir yo buen pensar hacer introducción acuerdo bastante tiempo profesora introducir materia cómo ir ser materia profesorado fusión materia licenciatura físico contemporáneo 1 materia beber mecánico clásico físico teórico 1 entonces contar menos cómo ir ser hacer probar materia ir ser conejillo indio primero vez dar después corto clase así tomar 37 justo coincidir horario teatro así básicamente rajar poder llegar bien ahí recordar primero día cursar," Uy, el primer día presencial de la cursada después de la pandemia. Fue medio un lío porque encima no solo fue el primer día presencial después de la pandemia, sino que era el pabellón 0 más infinito. Y era la primera vez que pisabas ese pabellón, así que encontrar el aula que era la 1307 fue medio un lío. Después de dar mil vueltas de acá para allá, entendí cuál era el aula y entré. Que bueno, ese fue el día... Fue a la tarde, si mal no recuerdo. Recuerdo que a la tarde de 2 a 4, y me acuerdo que siempre me quejaba de que tenía que viajar una hora para cursar dos horas y tener que irme, pero bueno. Este... nada. Fue... Estoy pensando qué era, fue lo que hice, nada. Fue la introducción. Me acuerdo que estuvo como bastante tiempo la profesora introduciendo la materia, cómo es que iba a ser, porque es una materia profesorado, pero que era como la fusión entre materias de la licenciatura. O sea, era la Física Contemporánea 1, que era la materia bebe entre mecánica clásica y física teórica 1. Entonces nos contó más o menos cómo iba a ser y lo que teníamos que hacer para probar la materia. Y que nosotros íbamos a ser su conejillo de India, porque era la primera vez que la daba. Y nada, después fue muy corta la clase, y así que me fui y me tomé un 37 porque justo coincidía los horarios con teatro, así que tuve que básicamente rajar para poder llegar bien. Ahí está, es lo recuerdo del primer día de la cursada. ","[0.5624849157673972, 0.5407954087624183, 0.4888165717323621, 0.47062433985146607, 0.4738630145788193, 0.4581272966331906, 0.5003014281392097, 0.5188911599772317, 0.5742863168319067, 0.5605431318283081, 0.5451873242855072, 0.5154881676038107, 0.48143815994262695, 0.7568637132644653]"
8,llegar salón diseño llegar hora medio hora tarde ninguno colectivo parar mucho fila dar charla haber llegar tarde hacer ir puente dar yo char él hacer re calor buzo negro hacer tener todavía calor sacar foto panorámico aparecer final dar char él sumar centro estudiante hablar política empezar reconocer gente día súper soleado nube terminar dar char el chico buscar compañero diseño ayudar encontrar esperar hermano salir clase quedar pasto esperar persona hacer tiempo dos buzo puesto sacir buzo ahí esperar doce medio devolver colectivo llegar salón encontrar piso entrepiso bien numerado encontrar banquito poder sentar bien llegar dos minuto hacer salir afuera así durar,"Llegué al salón de diseño. Llegué como una hora y media hora tarde porque ningún colectivo paraba, había mucha fila. Nos dieron una charla de que no habia que llegar tarde. Nos hicieron ir al puente a darnos otra charla y hacía un re calor y tenía un buzo negro que me estaba haciendo tener todavía más calor. Nos sacaron una foto panorámica en la que aparezco al final de todo. Nos dieron una charla en la que se sumó un centro de estudiantes a hablar de política. Empecé a reconocer gente. El día estaba súper soleado, no había nubes. Nos terminaron de dar la charla y un chico estaba buscando compañero de diseño y lo ayudamos a encontrar. Estaba esperando a que mi hermano saliera de una clase y me quedé en el pasto esperando con otras personas, que también tenía que hacer tiempo. Y tenía dos buzos puestos y me saqué un buzo ahí. Y... Esperé como hasta las doce y media y me devolví en colectivo. Cuando llegué al salón no encontraba en qué piso era porque era un entrepiso y no estaba bien numerado. Encontré un banquito y me pude sentar, pero al ni bien llegué a los dos minutos nos hicieron salir afuera, así que no duró mucho. Y... nada más.

","[0.49960420919316156, 0.4858818592933508, 0.5071572164694468, 0.5039078024300662, 0.47760801315307616, 0.5041836533281538, 0.5097123757004738, 0.4612342970711844, 0.4641054670015971, 0.48461571931838987, 0.49583978950977325, 0.5620426535606384, 0.41693174839019775, 0.14723584055900574]"
9,buen si acuerdo primero día cursar presencial post pandemia miércoles menos arrancar miércoles arrancar acuerdo sentir sentir emocionado sentir bastante nervioso buen deber final hacer materia poder recibir yo sentir bastante desganado situación pandemio acuerdo cursar aula 7 pabellón 1 álgera conmutativo 2 tarde cursar gabo schwartberg josefino villar nacho córdoba céci dujau cristian molina cursar materia profesor director tesis ahora pablo poronar acuerdo entrar decir tipo pensar chabón mantenimiento entrar entrar remera amarillo todo sucio putear humor putear saber arrancar dar clase clase ver repaso álgebra 2 ver cosa localización cosa ideal anillo conmutativo dar clase durar 3 hora primero hora medio intervalo primero hora hora medio después intervalo intervalo 20 minuto 25 intervalo acuerdo bajar gabo comprar yo uno galletita sentar mesa poder decir mesa específico bar pabellón 1 madera frente vender comida sino izquierda mesa madera sentar ahí mesa acuerdo encima hacer hijaputés mesa 6 persona sentar dos igual vacío hora acerca poder olvidar nunca acerca josefina conocer momento realidad conocer nombre novia alguien conocer acerca decir hola jose empezar hablar parecer extraño gabo medio antisocial buen ahí surgir amistad después varios problema venir caso entonces empezar hablar cuestión volver clase bien ir casa empezar chatear gabo acuerdo patente decir che medio raro persona chica acercar empezar contar problema vida personal necesitar volver cursar poder hablar alguien empezar contar drama puterío buen primero día a eh acuerdo vestir día remera gris saco negro traer siempre pantalón negro mismo zapatilla buen barbijo barbijo negro usar barbijo acuerdo nervioso buen después volver casa día hacer pensar creer pedir delivery noche situación acuerdo,"Bueno, si me acuerdo, el primer día de cursada presencial post pandemia fue un miércoles. O por lo menos yo arranqué un miércoles. Arranqué y no, y me acuerdo como me sentía. No me sentía muy emocionado, me sentía bastante nervioso. Tenía que, bueno, debía a muchos finales y tenía que hacer la materia para poder recibirme y me sentía bastante desganado por todo lo de la situación de la pandemia. Pero me acuerdo que cursamos en el aula 7 del pabellón 1 Álgera Conmutativa a las 2 de la tarde, cursamos Gabo Schwartberg, Josefina Villar, Nacho Córdoba, Céci Dujau y Cristian Molina. Estábamos cursando nosotros en esa materia y el profesor era mi director de tesis de ahora, Pablo Poronó. Me acuerdo que cuando entró yo dije, este tipo, pensé que era un chabón de mantenimiento cuando entró. Porque entró con una remera amarilla, toda sucia, puteando porque es el humor de él, puteando, qué sé yo. Y arrancó a dar la clase. En la clase vimos un repaso de Álgebra 2, vimos cosas de localizaciones cosas de ideales, todo sobre anillos conmutativos. Nos dio la clase duraba, 3 horas tuvimos la primera hora y media de intervalo y la primera hora hora y media y después tuvimos el intervalo. En el intervalo que era 20 minutos 25 de intervalo, me acuerdo que bajé con Gabo a comprarme unas galletitas. Nos sentamos en una de las mesas. Te puedo decir qué mesa específica del bar del pabellón 1. Es una de las que son de madera, no las que están en frente de donde se vende la comida sino a la izquierda en una mesa de madera. Nos sentamos ahí. La mesa me acuerdo, encima hicimos un hijaputés porque era una mesa para 6 personas y nos sentamos dos. Igual estaba vacío por la hora. Y se nos acerca, esto no me lo puedo olvidar nunca, porque se nos acerca Josefina que no la conocíamos en ese momento. En realidad sí la conocíamos de nombre porque era la novia de alguien que conocíamos. Y se nos acerca y nos dice ""Hola soy Jose"", y nos empieza a hablar, lo cual nos parece muy extraño porque yo y Gabo somos medio antisociales. Y bueno ahí fue donde surgió nuestra amistad, y después hubieron varios problemas, que no vienen al caso. Entonces nos empieza a hablar cuestión volvemos a clase, que se yo, todo bien. Nos vamos a nuestra casa y empezamos a chatear con Gabo, esto me lo acuerdo patente que decimos che medio rara esta persona porque cuando la chica se acercó nos empezó a contar todos los problemas de su vida personal. Fue como que necesitaba volver a cursar para poder hablar con alguien. Y nos empieza a contar mucho drama y mucho puterío. Bueno y eso sería como el primer día. Ah también me acuerdo como me vestí en ese día, tenía una remera gris, estaba con el saco negro que traigo siempre, pantalón negro. estas mismas zapatillas. Y bueno barbijo, barbijo negro porque se usaba barbijo. Me acuerdo que estaba nervioso, por todo. Y bueno, después cuando vuelvo a mi casa ese día ¿Qué hice? Estoy pensando. No, creo que me pedí un delivery a la noche, por la situación. No me acuerdo más","[0.4972292985234942, 0.47723445208633647, 0.49092745284239453, 0.4790252074599266, 0.48057697280760736, 0.4412151649594307, 0.4789349000001776, 0.4456405448062079, 0.45937505805933915, 0.47358713299036026, 0.46051557540893556, 0.4666758570820093, 0.4842086084510969, 0.4711060341108929, 0.4628743217104957, 0.455470597743988, 0.4563136508590297, 0.4493645578622818, 0.4578494552303763, 0.45589449536055326, 0.46152522961298625, 0.4233682538781847, 0.41889154337919676, 0.45089136498669785, 0.4499611116268418, 0.4347785130143166, 0.4585399859481388, 0.4437064528465271, 0.41144233090536936, 0.38383400440216064, 0.37653118669986724, 0.47669265419244766, 0.3974106212457021, 0.35423845052719116, 0.21323886513710022]"
10,primero día cursar presencial post pandemia segundo cuatri 2021 cursar teo 1 minini curso 40 curso solo poder ser 15 aula minini hecho votación querer ir poder ir primero votar ir separar dos grupo entonces semana ir grupo semana ir ir intercalar acuerdo tocar ser segundo grupo así primero semana raro haber ver virtualidad haber ver docente facultad ver pantalla virtual par alumno ahí sentado después acuerdo dicho aula federman idea aula federman sentir raro claro facultad vacío tipo único curso facultad poder cruzar curso mucho gente facu barrijo poder saludar nadie acuerdo sentir aula minini empezar dar clase poder escribir cuaderno empezar todo queja doler espalda torcido comentario gustar montón sentir re bien haber volver ciudad tener clase presencial mismo pdf entonces minini hablar codo acostumbrado copiar llegar escribir mitad decir buen después ejemplo recreo intervalo hacer rondita gigante siempre hacer distanciado buen cuestión pandémico hacer circular paquete bizcochito che paquete bizcochito poder agarrar compartir literalmente entonces comer decir che extraño mate clase poder compartir mate acuerdo haber char loco después año medio haber volver vuelta facultad cursar compañero ver clase persona buen," El primer día de cursada presencial post pandemia fue en el segundo cuatri del 2021. Estaba cursando Teo 1 con Minini. Éramos un curso, o sea, como que éramos 40 en el curso, solo se podían ser 15 por aula y Minini había hecho como una votación de los que querían ir y los que podían ir y que los primeros que votaban eran los que iban. Y como que se separan en dos grupos, entonces una semana íbamos un grupo y otra semana íbamos el otro, íbamos intercalando. A mí me acuerdo que me tocó ser el segundo grupo, así que la primera semana como que fue raro haber visto, o sea, yo desde la virtualidad haber visto el docente en la facultad porque se veía la pantalla virtual, todo y un par de alumnos ahí sentados. Y después cuando yo fui me acuerdo que me habían dicho que era el aula Federman, yo no tenía ni idea cual era el aula Federman. Y se sintió muy raro porque claro la facultad estaba vacía, éramos tipo el único curso que estaba en la facultad éramos nosotros. Como porque no se podían cruzar los cursos para que no haya mucha gente en la facu. Estando todos con barrijo, no pudiendo saludar a nadie. Pero me acuerdo como que me senté en el aula y Minini empezó a dar clases, como que podía escribir en el cuaderno y empezaron todas las quejas de, ya me duele la espalda de estar torcido y todos los comentarios que teníamos antes. Y como que fue esto, me gustó un montón, se sintió re bien haber vuelto a ciudad a tener clases presenciales. No era lo mismo porque era PDF, entonces como que mi Minini hablaba hasta los codos y yo que estaba acostumbrada a copiar todo, no llegaba a escribir ni la mitad de lo que decía pero estaba bueno. Y después por ejemplo en el recreo, en el intervalo, hicimos como que la rondita gigante como siempre hacíamos, un poco más distanciados, porque bueno cuestiones pandémicas. Hicimos circular un paquete de bizcochitos y fue como che es algo, es un paquete de bizcochitos que se puede agarrar, no es que lo estoy compartiendo literalmente. Entonces como que comíamos y y decíamos che como extraño el mate clase, que podamos compartir el mate y todo eso. Pero me acuerdo de haber sentido como que che que loco después de un año y medio de haber vuelto estar de vuelta en la facultad cursando con compañeros y ver la clase en persona, estuvo bueno.","[0.5788585881392161, 0.5610877616064889, 0.5840023320454818, 0.5732897445559502, 0.5924242518164895, 0.5927830636501312, 0.5671897729237875, 0.5424287617206573, 0.5758833033697945, 0.5241644928852717, 0.5207005083560944, 0.46774282306432724, 0.44009382526079815, 0.42494580149650574, 0.49961158633232117]"
