Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1,arabia,2.0,-1.0,2.0,-2.0,-0.3691375270875858,0.0157480314960629,0.0551181102362204,0.1496062992125984,0.1023622047244094,0.0551181102362204,0.0866141732283464,0.0078740157480314,0.0236220472440944,0.0774953216314315,0.0932745933532714,0.170769914984703,0,0.0,0.0,0.0,0.8899968302916029,0.8785795282012306,0.8696473967202527,80.0,14.0,15.007999999999996,3.05,0.0116279069767441,5.975467088607952,0.0125244893994894,0.0,2.0,2.0,0.0193037974683544,0.6408450704225352,0.3591549295774648
2,arabia,3.0,-1.0,2.0,-2.0,-0.8316594190942685,0.054054054054054,0.054054054054054,0.1621621621621621,0.0918918918918919,0.0378378378378378,0.1027027027027027,0.0432432432432432,0.0432432432432432,0.1081129163503646,0.1053927764296531,0.2135056927800178,0,0.0,0.0,0.0,0.7557644180819982,0.8257770019796999,0.6925735028948049,95.0,14.0,12.447013487475914,3.642105263157895,0.0398936170212766,4.995224039683291,0.0917309384801644,0.0,0.0,17.0,0.0193729003359462,0.7252475247524752,0.2747524752475248
3,arabia,3.0,-1.0,4.0,-4.0,-0.4484332208092111,0.0607734806629834,0.0718232044198895,0.1325966850828729,0.154696132596685,0.0441988950276243,0.1325966850828729,0.0,0.005524861878453,0.0287898629903793,0.5507597327232361,0.5795495957136154,-1,-0.5795495957136154,-1.0,-0.5795495957136154,0.9215625043511174,0.8815031668468543,0.860594684373994,108.0,15.0,14.711864406779666,3.185185185185185,0.0241379310344827,5.8547583567514,0.0491506692895581,0.0,2.0,7.0,0.014884042921426,0.5283018867924528,0.4716981132075472
4,arabia,3.0,-1.0,5.0,-5.0,0.5224747005079712,0.0385462555066079,0.0627753303964757,0.1662995594713656,0.1277533039647577,0.0473568281938326,0.0814977973568281,0.0198237885462555,0.0198237885462555,0.0070156226865947,0.86123126745224,0.8682468901388347,-1,-0.8682468901388347,-1.0,-0.8682468901388347,1.0112000996115165,0.9201710833737176,0.89632094189816,341.0,45.0,14.393151278716946,4.510263929618769,0.0239596469104665,4.529495161354024,0.0661994639397897,3.0,18.5,65.0,0.0066327410729687,0.8096823770491803,0.1903176229508196
5,arabia,2.0,-1.0,3.0,-3.0,-0.5080792024091124,0.051063829787234,0.0638297872340425,0.1744680851063829,0.1063829787234042,0.0595744680851063,0.0893617021276595,0.0042553191489361,0.0170212765957446,0.0525852963328361,0.5750079154968262,0.6275932118296623,-1,-0.6275932118296623,-1.0,-0.6275932118296623,0.8803650025113842,0.814805391614028,0.7598792276792576,136.0,26.0,15.263513513513512,3.25,0.0210727969348659,5.457414264755019,0.0582487104127505,0.0,6.0,14.0,0.012037037037037,0.6930970149253731,0.3069029850746269
6,arabia,2.0,0.0,2.0,0.0,-1.3421940435390374,0.0451127819548872,0.0827067669172932,0.1729323308270676,0.1428571428571428,0.0225563909774436,0.0526315789473684,0.0225563909774436,0.037593984962406,0.0090619726106524,0.4050451219081878,0.4141070945188403,0,0.0,-1.0,-0.4141070945188403,0.9310937481438528,0.8079967793637371,0.7675018077794336,80.0,14.0,13.631999999999996,3.125,0.0166666666666666,5.593991139240522,0.0260050366300366,0.0,2.0,3.0,0.0197784810126582,0.7233333333333334,0.2766666666666666
7,arabia,3.0,-1.0,3.0,-3.0,-0.4872858583621349,0.0725075528700906,0.0271903323262839,0.1570996978851963,0.1601208459214501,0.0725075528700906,0.0845921450151057,0.0060422960725075,0.0271903323262839,0.0040116524323821,0.836846113204956,0.8408577656373382,-1,-0.8408577656373382,-1.0,-0.8408577656373382,1.059268196863601,0.9837644122622152,0.920572874784697,152.0,19.0,11.87878787878788,3.8552631578947367,0.0245098039215686,5.052133980680267,0.0384840376356996,0.0,3.0,13.0,0.012765772046009,0.7255192878338279,0.2744807121661721
8,arabia,4.0,-1.0,1.0,-1.0,0.5063600803845193,0.0393013100436681,0.0436681222707423,0.1397379912663755,0.1615720524017467,0.0349344978165938,0.0917030567685589,0.0043668122270742,0.0393013100436681,0.6262285113334656,0.0182169210165739,0.6444454323500395,1,0.6444454323500395,1.0,0.6444454323500395,0.8510454039379164,0.8641802647364072,0.848484057171308,115.0,17.0,13.844660194174754,3.582608695652174,0.0365853658536585,5.055190360874756,0.0390982327100916,0.0,2.0,7.0,0.0157131960335621,0.7587548638132295,0.2412451361867704
9,arabia,2.0,-1.0,3.0,-3.0,-0.4772833205037549,0.0397022332506203,0.0545905707196029,0.1786600496277915,0.1389578163771712,0.0496277915632754,0.0694789081885856,0.0049627791563275,0.0496277915632754,0.0145495096221566,0.1921242326498031,0.2066737422719597,0,0.0,0.0,0.0,0.862760106670076,0.9147413566847168,0.7902863887596401,192.0,27.0,16.010840108401084,3.8229166666666665,0.0265804597701149,5.067121775053084,0.0370425453333587,0.0,5.0,14.0,0.0100076352530541,0.7051435406698564,0.2948564593301435
10,arabia,3.0,-1.0,4.0,-4.0,1.332282388633636,0.0264105642256902,0.0672268907563025,0.1440576230492196,0.1260504201680672,0.0540216086434573,0.0912364945978391,0.0228091236494597,0.0204081632653061,0.0529948696494102,0.1525280922651291,0.2055229619145393,0,0.0,0.0,0.0,1.045653391191355,1.0637541339566354,0.9880757233608284,313.0,45.0,13.04351585014409,4.434504792332269,0.0280922431865828,4.531787283140664,0.0556996203771404,1.0,13.5,53.333333333333336,0.0071065781928401,0.6865269461077844,0.3134730538922156
