Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs,Coherencia norm,Evolucion coherencia norm,Detalles internos,Detalles externos,Total word count ruben
1,antesdevenir,,,,,-1.1601465137038411,0.1315147541463375,0.09628339111804962,0.03523136302828789,0.8684852719306946,13,23,3,3,1,10,0.8190969713149073,"[0.8190969713149073, 0.8279623004087224, 0.7663448863133993, 0.8497225844159454, 0.9093523945724813, 0.7776426852503349, 0.8630281069144873]",89.0,15.0,104
2,antesdevenir,,,,,-0.7136935440454362,0.167486734688282,0.1423591822385788,0.025127552449703217,0.8325132727622986,22,31,5,4,1,15,0.8702495880861955,"[0.8702495880861955, 0.8229857528367512, 0.7902631679156153, 0.665564568020094, 0.9120782560612449]",99.75,27.25,127
3,antesdevenir,,,,,-1.295473749004388,0.1374431923031807,0.05707487463951111,0.08036831766366959,0.8625568747520447,21,24,2,3,2,11,0.806811080709946,"[0.806811080709946, 0.8000081189011907, 0.7149287838938974, 0.9107554205826218]",113.25,22.75,136
4,antesdevenir,5.0,1.0,1.0,1.0,-0.8504515198049456,0.2416246272623539,0.18919862806797028,0.05242599919438362,0.758375346660614,86,51,24,12,9,23,0.7559140870305642,"[0.7559140870305642, 0.7070732823900254, 0.7041803382856829, 0.7094734339636057, 0.7440942904818735, 0.7209978311526399, 0.6958494298847616, 0.7096013564060877, 0.7184111186875293, 0.7318788281634848, 0.6931299232608117, 0.7190286945071875, 0.730140727618603, 0.6808893565947741, 0.6585642017067925, 0.6991033362163692, 0.6886555300733075, 0.6888012399948986, 0.7395537423148809, 0.7249726247662729, 0.6775007806263031, 0.7035128136843298, 0.7520856336730078, 0.70785164868639, 0.7315587751371341, 0.7397576288184161, 0.6970314045358535, 0.7296952499278406, 0.78693289579986, 0.7129030126356982, 0.7216508772330787, 0.6647194615807971, 0.680786980620831, 0.7141231148367246, 0.6979477972846588, 0.6803750062060883, 0.7030205409470746, 0.7545987467257342, 0.9705067177401416]",372.0,49.0,421
5,antesdevenir,5.0,0.0,0.0,3.0,-0.20699523061111988,0.6019454505294561,0.027072658762335777,0.5748727917671204,0.3980545401573181,40,46,12,4,6,27,0.8097788843251318,"[0.8097788843251318, 0.7790247597406651, 0.7650847247916487, 0.7788312967576563, 0.7102594363908731, 0.7739056241031048, 0.7157814166664476, 0.7088777057522601, 0.7194358612346067, 0.8298971077169515, 0.7771835697109195, 0.6997068823452346, 0.7575631427527899, 0.7512220558205552, 0.7441872172584102, 0.7690898383780327, 0.9533631617605511]",242.0,51.0,293
6,antesdevenir,5.0,1.0,3.0,3.0,-0.674435812922601,0.12731057032942772,0.03978804126381874,0.08752252906560898,0.8726894855499268,37,42,23,2,4,15,0.9368674572537431,"[0.9368674572537431, 0.8530333272109843, 0.7725070451711301, 0.7398879070097172, 0.7936406408279768]",168.0,83.0,251
7,antesdevenir,3.0,0.0,0.0,1.0,0.4920631706990183,0.791374116204679,0.007724433206021786,0.7836496829986572,0.20862595736980438,92,131,11,11,17,42,0.9491282704399762,"[0.9491282704399762, 0.953478350599996, 0.8975093819786372, 0.8978707392520205, 0.882898891005348, 0.8970678120700563, 0.9242029909447496, 0.9160438243826401, 0.8722064432404293, 0.8942266809517387, 0.861255716204792, 0.8934475871900218, 0.8588829454404264, 0.8796934781881426, 0.8674670617664038, 0.8749583959130495, 0.8690502262348826, 0.9028874427094622, 0.908468165619276, 0.9174235796280706, 0.9100647252919307, 0.9034296943419663, 0.8758636371981982, 0.955126541742773, 0.8928270021444704, 0.8855618726660913, 0.8205194780452079, 0.774292863182737, 0.587608167452603]",558.75,50.25,609
8,antesdevenir,4.0,-1.0,-2.0,2.0,-1.0516709361832326,0.8167287041433156,0.005294614005833864,0.8114340901374817,0.18327128887176514,18,21,2,1,1,3,0.8936166553987219,"[0.8936166553987219, 0.9338127678600852, 0.9215969531160438, 0.9405530439287625, 0.8608297375605836, 0.9234356109740368, 1.029162376127481]",108.0,9.0,117
9,antesdevenir,5.0,0.0,0.0,5.0,-0.647741649255096,0.2396377343684435,0.212935671210289,0.026702063158154488,0.7603623867034912,57,53,8,18,28,33,0.8814556414207507,"[0.8814556414207507, 0.8084017715396531, 0.7291107548145854, 0.7115462555795743, 0.7960766669123256, 0.846628709593759, 0.8074809331631063, 0.7542195758747409, 0.7368063399666848, 0.7057086538252684, 0.7758318922930052, 0.7161956038208752, 0.8704665750421656, 0.8354055106521887, 0.815711277182094]",295.0,66.0,361
10,antesdevenir,4.0,0.0,0.0,1.0,-1.3549917475308002,0.2869012877345085,0.07218185812234879,0.21471942961215973,0.7130986452102661,26,32,5,3,4,15,0.8110843703575162,"[0.8110843703575162, 0.717517833136265, 0.7636592933019754, 0.7614196229322536, 0.7391173011432707, 0.7258561596236067, 0.7135568819302797, 0.7312601712690292, 0.803886758446585, 0.6993811975019348, 0.4649911260044399]",170.5,15.5,186
11,antesdevenir,5.0,-1.0,-3.0,3.0,-0.07898292968442373,0.4218486566096544,0.025254609063267708,0.3965940475463867,0.5781513452529907,43,33,6,7,3,26,0.7868050182609992,"[0.7868050182609992, 0.7999897596567729, 0.7638011571196548, 0.8104705983053158, 0.8113895092734662, 0.8395148241089136, 0.7984717126484159, 0.825894146942915, 0.699490187359426, 0.6714280259130408, 0.7763519071565687, 0.7754998508262216, 0.8482508000289093, 0.9403462175041114]",246.0,21.0,267
12,antesdevenir,5.0,0.0,0.0,5.0,-0.5908223722127263,0.4905587797984481,0.47971561551094055,0.010843164287507534,0.5094411969184875,16,14,1,1,6,6,0.850573128153938,"[0.850573128153938, 0.8829377036658326, 0.8203214505293376, 0.6982864995140107, 0.8062723785692275, 0.5630199654878686]",74.0,25.0,99
