Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs,Coherencia norm,Evolucion coherencia norm,Detalles internos,Detalles externos,Total word count ruben
1,cfk,2.0,0.0,0.0,1.0,-0.7382750541751716,0.5639396049082279,0.013691220432519913,0.550248384475708,0.4360603988170624,19,17,3,0,0,16,0.9669754058057939,"[0.9669754058057939, 0.967629047294918, 1.081211880442179, 1.1007048780532327]",72.25,48.75,121
2,cfk,2.0,-1.0,-2.0,2.0,-0.7431850128076443,0.2279240731149912,0.02542903460562229,0.2024950385093689,0.7720759510993958,30,29,2,0,7,20,0.9407177898232238,"[0.9407177898232238, 0.8706794154682367, 0.9642148762667797, 0.8998970778750962, 0.9277177194046051, 0.8907809679745468, 0.8106294296478148, 0.8264540365959604]",140.0,97.0,237
3,cfk,3.0,-1.0,-3.0,3.0,0.6975627879254396,0.734152439981699,0.016603652387857437,0.7175487875938416,0.2658475637435913,54,41,9,5,2,26,0.9382118398397967,"[0.9382118398397967, 0.9473315429586866, 0.9234177193835202, 0.8329100669093703, 1.001873813482467, 0.9029414787804918, 0.7918519214267226, 0.7461162993915532, 0.48479847103665025]",245.5,70.5,316
4,cfk,3.0,-1.0,-4.0,4.0,-0.20212524910162374,0.1921341810375452,0.028789246454834938,0.16334493458271027,0.8078657984733582,111,76,25,5,13,63,0.902557025730471,"[0.902557025730471, 0.8427784463784259, 0.809113575899478, 0.8150186972608695, 0.8209211663425958, 0.8430054760034663, 0.796405780609182, 0.8024141883861476, 0.7710220790584558, 0.7969099312928397, 0.7678939768517223, 0.7738544498051819, 0.8021325527649988, 0.8635477725456362, 0.8240446056233779, 0.7752137457639932, 0.8196730901288701, 0.8132698683394642, 0.8127396942609978, 0.8253530634219668, 0.8266788427912751, 0.7879881833745889, 0.8510181845591522, 0.7896388734924913, 0.8159441467790348, 0.8419259210933983, 0.8430276219565123, 0.8689180634502738, 0.857239199751113, 0.8836154486399305, 0.9144167368750538, 0.9256740566975691, 0.901221424652918, 0.7661486968184833, 1.0068754114786884]",380.75,275.25,656
5,cfk,1.0,-1.0,-2.0,2.0,-0.6209856918333596,0.29210544377565384,0.08358398824930191,0.20852145552635193,0.7078945636749268,31,29,7,2,4,33,0.9166154230830426,"[0.9166154230830426, 0.8358186761004268, 0.8728326960836601, 0.7923341589478802, 0.7682103688342369, 0.8434324420490852, 0.7836795090186424, 0.8411191034992003, 0.819727585917998, 0.7803553549007968, 0.819958222019083, 0.7398729044912473, 0.7101912197809785, 0.8170362535386815, 0.7207590861425551, 0.5917400156487053]",185.25,104.75,290
6,cfk,3.0,-1.0,-2.0,2.0,0.11018010805171194,0.7642855141311884,0.008466670289635658,0.7558188438415527,0.23571448028087616,65,63,20,0,18,39,0.8699713663473113,"[0.8699713663473113, 0.880356104143003, 0.8773262389071197, 0.8500860647506312, 0.8403957645021243, 0.8738312719384353, 0.8576476801176542, 0.8305173006875245, 0.8160776399826575, 0.8142065360229686, 0.8254690689213833, 0.7415557064873203, 0.7409253523279531, 0.7338891535995581, 0.6915276791300491, 0.4144556087802774, 0.814605186489359]",337.5,143.5,481
7,cfk,2.0,0.0,0.0,3.0,-0.8933574069972472,0.7935361401177943,0.006471647415310144,0.7870644927024841,0.20646396279335022,32,33,18,1,3,21,0.9391977895446697,"[0.9391977895446697, 0.9490330867975137, 0.9397719298812204, 0.9144049180559335, 0.926860180142414, 0.9577089005774135, 0.9733387164299936, 0.93664251936317, 0.9029576218235295, 0.8981650859069413, 0.9064987553349426, 0.853758202132035, 0.8288451428924302, 0.826094163445568, 0.7830333152393373]",180.0,85.0,265
8,cfk,1.0,0.0,0.0,5.0,-1.2951132825219438,0.37115195021033287,0.015618529170751572,0.3555334210395813,0.6288480758666992,28,17,3,0,0,9,0.8219861420360823,"[0.8219861420360823, 0.7967984090337551, 0.6587367632105925, 0.6823015784171051, 0.29230952104401625]",98.0,38.0,136
9,cfk,2.0,-1.0,-2.0,2.0,-0.8395072691003547,0.4834155421704054,0.01276799850165844,0.47064754366874695,0.5165844559669495,58,64,14,0,14,35,0.8244251812910152,"[0.8244251812910152, 0.8710113789013894, 0.7851316523443507, 0.8946159261421653, 0.8256957714482352, 0.8392228186116202, 0.8103106843478679, 0.8312922073877462, 0.8238051770104379, 0.7919174621396027, 0.7533728940041667, 0.8289042957877393, 0.8346438387921409, 0.8529912382551383, 0.720291652155863, 0.5973961576202236]",328.5,117.5,446
10,cfk,2.0,0.0,0.0,3.0,-0.616937583372962,0.8067946135997772,0.007492035627365112,0.7993025779724121,0.19320538640022278,61,70,19,6,7,28,0.917631467622908,"[0.917631467622908, 0.9437880802864609, 0.8875683906303651, 0.919660102625371, 0.8947127642898407, 0.8775568899403298, 0.8879299880787848, 0.9378144134041618, 0.893390249515165, 0.9114010842460191, 0.9329775329725483, 0.9466344700930459, 0.8854594970699436, 0.8949370274372874, 0.8949640133410411, 0.8645307428791587, 0.8695834201386575, 0.837776171117207, 0.9163047792910143, 0.9176299755069592, 0.9235262961317765, 0.9545687227490176, 0.982502007903779, 0.9871639572833009, 0.9765615222501144, 0.9345869162984545, 0.8867514591258678, 0.9384209787160173]",387.0,87.0,474
11,cfk,1.0,-1.0,-2.0,2.0,-1.3822012694774153,0.8058186867274344,0.007256160024553537,0.7985625267028809,0.19418135285377502,27,10,8,0,4,16,0.9867131048316327,"[0.9867131048316327, 0.9952470752104845, 1.1028403380305125, 1.131607090972359]",65.5,90.5,156
12,cfk,1.0,-1.0,-3.0,3.0,0.10154759522406248,0.863320283126086,0.007403961848467588,0.8559163212776184,0.1366797834634781,14,19,8,0,9,8,0.914006932275355,"[0.914006932275355, 0.8275956268329967, 0.8258540048666627, 0.860988499895205, 0.8040626695367773, 0.7786587328955944, 0.6733153895778626, 0.5823734268171853, 0.648257177485749, 0.6522925577983673]",124.5,31.5,156
13,cfk,1.0,0.0,0.0,1.0,-1.1690172624546746,0.3397267758846283,0.03256288170814514,0.30716389417648315,0.6602732539176941,17,15,4,0,7,10,0.7351907859464369,"[0.7351907859464369, 0.7006898897623474, 0.5263774562936091, -0.1136242422123514]",68.5,69.5,138
14,cfk,1.0,0.0,0.0,3.0,-0.9497260939663748,0.1646612212061882,0.02959270030260086,0.13506852090358734,0.8353387713432312,14,17,2,0,4,17,0.8753575735863584,"[0.8753575735863584, 0.7701402607980358, 0.47664479022153766]",95.5,47.5,143
15,cfk,2.0,-1.0,-3.0,3.0,-0.6542186285407046,0.646210253238678,0.01728057861328125,0.6289296746253967,0.3537897765636444,23,21,1,0,3,12,0.8902549859028874,"[0.8902549859028874, 0.9823771494492469, 1.0563783585610602]",104.0,55.0,159
16,cfk,5.0,-1.0,-4.0,4.0,0.21128856368212914,0.22736038267612457,0.06615228950977325,0.16120809316635132,0.7726396918296814,38,30,8,2,5,15,0.8848243232120412,"[0.8848243232120412, 0.9237893498926869, 0.9220885485325286, 0.9074399266344175, 0.8383523541504458, 0.8350845565296141, 0.7778427246691676, 0.7713740413076777, 0.9505075990936371, 0.6497359582990372]",215.75,44.25,260
17,cfk,4.0,0.0,0.0,3.0,-0.23120541039228415,0.3673430513590574,0.018673134967684746,0.3486699163913727,0.6326569318771362,61,72,21,10,9,60,0.9622778490148948,"[0.9622778490148948, 0.9994170561413849, 0.9757084851650147, 0.9425958068568328, 0.926497521418507, 0.9647318548935787, 0.9568904584755571, 0.9338390257287886, 0.9913613169485253, 0.9943063804896257, 0.927954383017782, 1.005516181529055]",317.75,191.25,509
18,cfk,5.0,-1.0,-3.0,3.0,0.10586789601654602,0.106384152546525,0.026681499555706978,0.07970265299081802,0.8936158418655396,94,64,30,5,9,33,1.026724626316828,"[1.026724626316828, 0.9730615564117839, 1.0270128072792672, 1.0337961382523653, 1.0481764151096875, 0.9713338659329824, 1.0621466566698858, 1.1406350331069188, 1.1489302266386066]",264.25,293.75,558
19,cfk,1.0,-1.0,-2.0,2.0,-0.19736916199731563,0.18099333345890045,0.05497853457927704,0.1260147988796234,0.8190066814422607,20,18,1,0,3,16,0.8201662025073053,"[0.8201662025073053, 1.0138446495889393, 0.7866611933051443, 0.7248353044487896, 0.8915804949338334, 0.7626468245335473]",65.0,65.0,130
20,cfk,,,,,-1.025019629641265,0.18432333692908287,0.02116764709353447,0.1631556898355484,0.8156766295433044,24,42,12,1,2,31,0.778147694011373,"[0.778147694011373, 0.7528316530583642, 0.6711306993858335, 0.69499853311449, 0.6590730578920444, 0.8473200399137707, 0.6646985170950354, 0.7292447366078229, 0.7047614407521879, 0.6409043928610176, 0.698458520763153, 0.315075076919563]",159.0,125.0,284
21,cfk,2.0,0.0,0.0,3.0,-0.871174368038925,0.392029682174325,0.023859182372689247,0.36817049980163574,0.6079703569412231,30,36,5,0,2,18,1.0003767218159558,"[1.0003767218159558, 0.9698419154866648, 0.9636906842966251, 0.8734049933237978, 0.9185089750653839, 0.7481616207952116]",118.25,92.75,211
22,cfk,2.0,0.0,0.0,1.0,-1.190667069028099,0.33782789669930935,0.021621888503432274,0.3162060081958771,0.6621720194816589,51,38,13,10,7,49,0.8808285664944918,"[0.8808285664944918, 0.891980216310304, 0.9409948142426199, 0.8329328047761383, 0.8841457030377557, 0.8862614663204063, 0.8626559983259557, 0.9620225600832641, 0.88292108933022, 0.858659291351614, 0.7757453263246297]",269.25,68.75,338
23,cfk,1.0,0.0,0.0,1.0,0.07625833391553835,0.6680138763040304,0.013213759288191795,0.6548001170158386,0.33198606967926025,35,35,19,0,1,25,1.00291249208418,"[1.00291249208418, 0.975587934869256, 0.990176947636842, 0.9953015523522267, 0.9304379149002439, 0.9144721854419269, 0.924728194601045, 0.8603050796462688]",201.0,79.0,280
24,cfk,5.0,-1.0,-5.0,5.0,0.25011154904994726,0.19332552328705788,0.14742137491703033,0.04590414837002754,0.8066744804382324,54,47,10,8,8,28,1.050962649620247,"[1.050962649620247, 1.0249819982123989, 1.02540404437837, 1.15221945886388, 1.0219940656300728]",296.0,78.0,374
25,cfk,4.0,0.0,0.0,2.0,-0.5060141685950839,0.3125397190451622,0.06488210707902908,0.24765761196613312,0.6874603033065796,30,28,4,2,2,19,0.9338917343714009,"[0.9338917343714009, 1.0043292227824558, 0.9920276831710045, 0.9815028804773601, 0.9121257656805718, 0.9784629178138092]",174.0,54.0,228
26,cfk,3.0,0.0,0.0,3.0,0.9114467342237873,0.21214021742343903,0.10166840255260468,0.11047181487083435,0.7878597974777222,88,89,17,4,17,60,0.953698271128015,"[0.953698271128015, 0.972008430300234, 1.0252789985280433, 0.9394830815772375, 0.9608555392140293, 0.944712114552936, 0.8952827301895594, 0.8583715836513488, 0.8638862946627683]",405.75,178.25,584
27,cfk,1.0,0.0,0.0,1.0,-0.6751399510385769,0.48540791682899,0.01329093985259533,0.47211697697639465,0.5145921111106873,53,48,13,1,2,64,0.9582499459511438,"[0.9582499459511438, 0.9660237025722679, 0.977277983305677, 0.8966018153194821, 0.8593733286400607, 0.8243083313895655, 0.7232851446791047, 0.6491077158232007, 0.30088394673863533]",195.75,200.25,396
28,cfk,2.0,0.0,0.0,3.0,-0.9025883212471763,0.4959443314000964,0.014353464357554913,0.4815908670425415,0.5040556192398071,53,45,5,0,5,31,1.023436081969756,"[1.023436081969756, 1.0217731382359079, 1.0019862280533163, 1.001431583726091, 0.9848151076670828, 1.0144322059438504, 0.9614936703158536, 0.981959084288282, 1.0050217524445964, 0.8143993724818585, 0.9934728613941562]",256.25,67.75,324
29,cfk,4.0,-1.0,-4.0,4.0,-0.1537182979318651,0.5435632541775703,0.014108128845691681,0.5294551253318787,0.4564366936683655,40,45,5,2,6,21,0.9986346415399464,"[0.9986346415399464, 0.9295190565239867, 0.8410858929708335, 0.8447440235718265, 0.9324700755055513, 0.7651097897717201, 0.753216312710557, 0.4430239013029713]",167.0,94.0,261
30,cfk,2.0,0.0,0.0,3.0,0.36828604912845847,0.3991554118692875,0.04288521781563759,0.3562701940536499,0.6008445620536804,51,42,12,0,7,27,0.8363916558756467,"[0.8363916558756467, 0.8338141421597335, 0.8785074394012092, 0.7892425416378743, 0.8532024239925777, 0.8262395625045585, 0.7542960460557656, 0.7139553125986533, 0.7091757969064246, 0.6721729186834012, 0.6824046262859508, 0.6510620013286122]",201.0,163.0,364
