Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs,Coherencia norm,Evolucion coherencia norm,Detalles internos,Detalles externos,Total word count ruben
1,presencial,4.0,1.0,5.0,5.0,1.5820179732325106,0.49530290625989437,0.023927053436636925,0.47137585282325745,0.5046971440315247,44,36,15,2,12,26,0.9262365427511238,"[0.9262365427511238, 0.8838227928060827, 0.8738652447600915, 0.8450100266785341, 0.8332299260116826, 0.8038164652609651, 0.8261937356769523, 0.8011761083279257, 0.6962416924279737, 0.43106312542939385, 0.28025567757398223]",233.25,70.75,304
2,presencial,2.0,0.0,2.0,2.0,0.5839310814917203,0.09021318890154362,0.026938514783978462,0.06327467411756516,0.9097868800163269,45,56,20,8,12,24,0.9291412922271707,"[0.9291412922271707, 0.8725092870906883, 0.8223053644191654, 0.8205503256607598, 0.7935042852697812, 0.7917086288225411, 0.8025681240759778, 0.8041179273229917, 0.6805509156364283, 0.7633303101991978, 0.5865184916117898]",255.0,136.0,391
3,presencial,3.0,1.0,4.0,4.0,-0.4982591342324569,0.570236224681139,0.5202295184135437,0.05000670626759529,0.4297637641429901,27,23,13,2,4,21,0.8713546683899993,"[0.8713546683899993, 0.8562861465345198, 0.8080726384961764, 0.7887894314810637, 0.8436378052980832, 0.8599251254905644, 0.8374740103834026, 0.8937156129810446, 0.9199317226977968, 0.7740639057675058, 0.7106891927364435, 0.9366586419910937]",85.5,125.5,211
4,presencial,2.0,0.0,1.0,1.0,-1.1174093959769016,0.21429808251559734,0.1974261850118637,0.016871897503733635,0.7857019305229187,69,41,24,15,17,38,1.0206058980503672,"[1.0206058980503672, 0.9375852052825617, 0.8898203969864834, 0.9021459754288456, 0.9064209463923251, 0.8715386950991663, 0.9088865436523729, 0.8702301367026781, 0.8104217282777985, 0.7671037744316882, 0.7562420335320194, 0.6860633300377017, 0.6468012846122113, 0.6135185979446394, 0.5808932803918249]",249.5,163.5,413
5,presencial,1.0,0.0,2.0,2.0,-0.6398034400707342,0.3478550184518099,0.008229898288846016,0.33962512016296387,0.6521450281143188,35,43,14,3,9,25,0.9291386433697981,"[0.9291386433697981, 0.863932017375459, 0.8457549483453453, 0.7268095621647969, 0.5176756319679217]",160.5,157.5,318
6,presencial,5.0,1.0,5.0,5.0,0.2771196657058211,0.7249225955456495,0.011770842596888542,0.713151752948761,0.2750774621963501,93,67,24,6,11,43,0.9760411176617917,"[0.9760411176617917, 0.9861601098647165, 0.9748121349464778, 0.9535640666979509, 0.9694318202305224, 1.0169412621619467, 0.9919518711372107, 0.9415455881033542, 0.9529671383331414, 0.96095560074408, 1.040488835180576, 1.024105603813634, 1.015043421026853, 1.204056703527694]",394.5,169.5,564
7,presencial,3.0,1.0,3.0,3.0,-0.8455842836284104,0.3410194590687752,0.054533518850803375,0.2864859402179718,0.6589805483818054,39,26,16,10,4,22,0.9108361244803179,"[0.9108361244803179, 0.8757141399638955, 0.7915444117661912, 0.7620855915959898, 0.7673300023427033, 0.7418490339687197, 0.8101419275512223, 0.8402444224410127, 0.9299462234495866, 0.9076917789021879, 0.8828260023480408, 0.8347339308737604, 0.7795964931447408, 1.2255951973557724]",229.0,53.0,282
8,presencial,3.0,0.0,3.0,3.0,0.5550485496522615,0.36560436338186264,0.25407150387763977,0.11153285950422287,0.6343955993652344,42,41,5,5,1,16,0.7502468521150919,"[0.7502468521150919, 0.7296402406684408, 0.7615890702725143, 0.7567094823719221, 0.7172155514696641, 0.7571237228129257, 0.765426107940445, 0.6926274300691174, 0.6969390154451862, 0.7277389005414518, 0.7445938892986592, 0.8440095656304847, 0.6260990720669631, 0.22110147165554667]",213.0,7.0,220
9,presencial,3.0,1.0,4.0,4.0,0.055398956844185714,0.38418825156986713,0.022597985342144966,0.36159026622772217,0.6158116459846497,83,78,28,13,25,28,0.8265314605921595,"[0.8265314605921595, 0.7932945421742498, 0.8160560647723785, 0.7962712687245392, 0.7988507283081226, 0.7334206085848696, 0.7961211529593775, 0.7407768035623041, 0.7636073313154803, 0.7872316975498587, 0.7655031839403997, 0.7757432615545393, 0.8048875027332527, 0.7831074307642746, 0.769424067185985, 0.7571170474628307, 0.7585184329495697, 0.7469671345818983, 0.7610713610131458, 0.7578216815566012, 0.7671815061278595, 0.7037541478054196, 0.696312627206444, 0.7495051067535572, 0.7479587705450399, 0.7227211277833231, 0.762219212445937, 0.7375618122954953, 0.6839299931087813, 0.638037382804113, 0.6258980969658919, 0.7923939254851057, 0.6606054434210442, 0.588841455605232, 0.3544614751788489]",328.5,155.5,484
10,presencial,3.0,1.0,4.0,4.0,-0.314146131410772,0.21113015711307526,0.024294346570968628,0.18683581054210663,0.7888697981834412,65,51,23,5,11,28,0.9019892187501012,"[0.9019892187501012, 0.874298355611446, 0.9100043050639753, 0.8933117334783381, 0.9231275116472045, 0.92368661954011, 0.8838066336843122, 0.8452235226996957, 0.8973530695424743, 0.8167637677346207, 0.8113661166273288, 0.7288463749116774, 0.685763144500953, 0.6621591859509314, 0.7785049296461481]",327.75,53.25,381
11,presencial,3.0,0.0,5.0,5.0,0.39491464842211865,0.3750603124499321,0.05954357236623764,0.31551674008369446,0.6249397397041321,53,32,23,5,6,32,1.0479705688400989,"[1.0479705688400989, 1.0282858237966672, 1.0329473431362484, 0.936174537969987, 0.8543179220435015]",224.25,132.75,357
12,presencial,,,,,-0.5908223722127263,0.11477194726467133,0.06028991565108299,0.05448203161358833,0.8852280974388123,18,17,10,4,8,4,0.9567173497614891,"[0.9567173497614891, 0.827123495733287, 0.7188697054837561, 0.5128720768336452, 0.33188936354373577]",54.0,62.0,116
13,presencial,4.0,1.0,4.0,4.0,0.12145633895632994,0.18708036839962006,0.06571542471647263,0.12136494368314743,0.8129196166992188,37,24,11,4,15,12,0.87598450676779,"[0.87598450676779, 0.7540045357537872, 0.8017502312530514, 0.7581456999429387, 0.6340575414438032, 0.528825485092492, 0.36427676017869226, 0.22158061079089464]",196.25,26.75,223
14,presencial,2.0,0.0,4.0,4.0,-0.30485035114970066,0.1940554529428482,0.11534099280834198,0.07871446013450623,0.805944561958313,31,19,9,1,3,15,0.8940834395392095,"[0.8940834395392095, 0.8091973485846852, 0.6458543523686955, 0.5050507046612019, 0.37498200562620626]",121.25,30.75,152
15,presencial,2.0,0.0,2.0,2.0,-0.1036385946203097,0.24135969206690788,0.1995072215795517,0.041852470487356186,0.7586403489112854,32,27,11,7,8,16,1.0652102066544726,"[1.0652102066544726, 0.9574642153557418, 1.0071628128368433, 1.0456527260659227, 0.9180724548549949]",155.0,65.0,220
16,presencial,2.0,0.0,3.0,3.0,0.07042952122737638,0.7614151798188686,0.00997227057814598,0.7514429092407227,0.23858486115932465,29,29,12,3,1,23,0.9195310392541783,"[0.9195310392541783, 0.9182677351423991, 0.8654048238710073, 0.9102670920353464, 0.8357117824422701, 0.990772066698921, 0.6651459041848248]",147.0,97.0,244
17,presencial,5.0,1.0,5.0,5.0,-0.05528825031119844,0.2131851650774479,0.061677489429712296,0.1515076756477356,0.78681480884552,68,61,19,3,10,47,0.9593065234248014,"[0.9593065234248014, 0.9328178968169203, 0.8844192970426269, 0.85130647976739, 0.9227456950965685, 0.9279101867927263, 0.8767429733064079, 0.8644816351226894, 0.8610484942555638, 0.8689759504754939, 0.8173212221973303, 0.7972589937237, 0.8037992875749723]",275.0,157.0,432
18,presencial,5.0,1.0,4.0,4.0,0.004071842154482595,0.3352433331310749,0.017534900456666946,0.31770843267440796,0.664756715297699,136,72,52,14,14,57,0.9065374454133702,"[0.9065374454133702, 0.8559643135993026, 0.8642197363735677, 0.8555514582626985, 0.870141862315857, 0.8249449106330793, 0.8545925210605085, 0.8307788548653503, 0.8437490777128724, 0.7902514244367241, 0.8160305632819604, 0.8119278576105504, 0.8199077314224309, 0.8046423534822176, 0.7891254027883989, 0.8178592273108779, 0.8010382107901695, 0.8008639534954819, 0.7798524978252105, 0.7653007077642568, 0.766320919478515, 0.7543154362957469, 0.7933871133038618, 0.7129482966851008, 0.7198810536534492, 0.6818974459386408, 0.6664404107064998, 0.8096940086426798, 0.485976127198586]",285.0,428.0,713
19,presencial,2.0,1.0,2.0,2.0,-1.1489704787700872,0.8685932317748666,0.004294649697840214,0.8642985820770264,0.131406769156456,9,6,3,1,0,3,0.46369652849332843,"[0.46369652849332843, 0.4716116023451878, 0.3882922692398927, 0.4802326490154063]",36.0,24.0,60
20,presencial,3.0,0.0,4.0,4.0,0.24662126427459036,0.5094675254076719,0.022924913093447685,0.48654261231422424,0.4905324876308441,36,30,23,7,12,35,0.9226337584393784,"[0.9226337584393784, 0.8976860112065477, 0.8587416230584641, 0.857259216120174, 0.8482586105111733, 0.901276871818456, 0.8978161930914913, 0.8893319239412844, 0.8468434657825845, 0.7879339365901668, 0.7874393764300054, 0.7323411576845765, 0.5933347140149734, 0.49698069505826636, 0.9435692778814192]",225.25,97.75,323
21,presencial,3.0,0.0,4.0,4.0,0.1298645020679142,0.22482893243432045,0.16682401299476624,0.058004919439554214,0.7751711010932922,49,47,20,5,6,42,0.7375223929339605,"[0.7375223929339605, 0.8024828053094416, 0.7242890102414011, 0.728588551198143, 0.7248171439294188, 0.7525559138375509, 0.7249970659984499, 0.7194374969472382, 0.6530744099829315, 0.7863543155767702, 0.6859209819265322, 0.8040696529128036, 0.792508626096686, 0.7479299204033985, 0.7770493481787603, 0.7652557406768122, 0.8044349245370208, 0.9728669486739887, 0.9261861347151914, 0.6450034093026443]",268.25,139.75,408
22,presencial,4.0,1.0,2.0,2.0,0.5033714438167572,0.45613410137593746,0.4290921688079834,0.027041932567954063,0.5438658595085144,243,168,67,37,18,102,0.9540599467796866,"[0.9540599467796866, 0.9313111722866347, 0.9183693737280982, 0.8668425039851134, 0.914584205809057, 0.9334137123735805, 0.9305286163160015, 0.9719627930836396, 0.9439741874361529, 0.9393058611620024, 0.9526888471880441, 0.9364935791934372, 0.9350406849106786, 0.9386951355837343, 0.9476048443966363, 0.9390178378098094, 0.9503270361337983, 0.907541021865141, 0.9168930351796104, 0.934024338218086, 0.9082648989542688, 0.8894790826780129, 0.8910211629901814, 0.8915348631880158, 0.9058418043748105, 0.8923319848622959, 0.912155702129196, 0.887142341165221, 0.8681482199542742, 0.8634266960188838, 0.8617168815144832, 1.0651212434795743, 1.0872753261571872, 1.089612406150034, 1.1170946156763764, 1.147001340676992]",923.25,303.75,1227
23,presencial,3.0,0.0,2.0,2.0,-0.5229142897065463,0.8506612805649638,0.0066788820549845695,0.8439823985099792,0.14933869242668152,26,20,13,7,1,14,0.9143049536008016,"[0.9143049536008016, 0.9367735954504587, 0.9441418501529005, 0.8359860489242052, 0.8313039074680211, 0.7103445633935438, 0.7169098245027316, 0.34008679297990857]",116.0,68.0,184
24,presencial,2.0,0.0,3.0,3.0,-0.7848327918463868,0.26916756480932236,0.04063085466623306,0.2285367101430893,0.7308324575424194,46,33,14,2,4,24,1.0000104589425105,"[1.0000104589425105, 0.9451781922864393, 0.905071161663419, 0.9207066895673698, 0.8204984728174313, 0.5667003772904244]",137.5,137.5,275
25,presencial,3.0,0.0,2.0,2.0,1.0890304932807235,0.1519475057721138,0.045697808265686035,0.10624969750642776,0.8480525016784668,46,44,12,1,8,35,0.8131955108708517,"[0.8131955108708517, 0.7963223541551335, 0.8130984568910957, 0.8253990399514107, 0.7910340406497128, 0.7839086444873622, 0.8264086789564665, 0.9737056797525547]",175.75,136.25,312
26,presencial,3.0,0.0,2.0,2.0,-0.9114467342237873,0.5696407072246075,0.5537431836128235,0.01589752361178398,0.43035924434661865,28,22,18,5,14,20,0.827913828327849,"[0.827913828327849, 0.8003405516297057, 0.7624897395595931, 0.7128993826964061, 0.862429937170187, 0.8528780382683777, 0.7332714195964323]",117.0,89.0,206
27,presencial,2.0,1.0,3.0,3.0,-1.0127099265578654,0.21085239201784134,0.12718425691127777,0.08366813510656357,0.789147675037384,36,27,9,4,5,34,0.7716106285777606,"[0.7716106285777606, 0.7456946699049277, 0.778988471290931, 0.8140431125689527, 0.710714036687432, 0.7789018553151157, 0.7205462334681483, 0.7903431085728491, 0.6515245699912222, 0.8559648608962739]",140.0,112.0,252
28,presencial,3.0,0.0,3.0,3.0,0.6987780551591044,0.6938390070572495,0.005416863597929478,0.6884221434593201,0.30616098642349243,79,65,29,22,0,82,1.0933338851191112,"[1.0933338851191112, 1.0670380760807416, 1.0099949367974785, 1.015737235182809, 1.015183859399869, 1.022312042766757, 1.0096030041628488, 0.9844345295535084, 0.9557231388734221, 0.9685759036743433, 1.037211694105864, 1.0152146078639952, 0.8827759587672691, 0.8014748980899312, 0.5795304446230377]",391.75,257.25,649
29,presencial,1.0,0.0,1.0,1.0,-0.1537182979318651,0.1552552655339241,0.04127448797225952,0.11398077756166458,0.8447448015213013,44,30,12,14,8,22,0.8227917952068017,"[0.8227917952068017, 0.8008700585572505, 0.7978896010542877, 0.745663372734438, 0.820339335282258, 0.8840277772301148, 0.8259146708191756, 0.8969211189342787, 0.7500580643026433, 0.7558714770218388, 0.7577711152448665]",213.75,36.25,250
30,presencial,4.0,1.0,3.0,3.0,-1.5335189586660396,0.13090196624398232,0.0710674524307251,0.05983451381325722,0.8690980076789856,13,13,4,2,5,16,0.82104396179317,"[0.82104396179317, 0.9267138349434927, 0.8277613530704218, 0.7768791202464624]",64.25,38.75,103
