Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs
1,campeones_del_mundo,4.0,1.0,3.0,3.0,0.6855411217340879,0.27873529493808746,0.15758411586284637,0.12115117907524109,0.7212647199630737,23,34,12,3,1,15
2,campeones_del_mundo,4.0,1.0,3.0,3.0,1.7046068944556283,0.15055318549275398,0.10390873998403549,0.04664444550871849,0.8494467735290527,87,90,18,13,14,56
3,campeones_del_mundo,5.0,1.0,5.0,5.0,1.5446033161206163,0.779883623123169,0.07043689489364624,0.7094467282295227,0.22011631727218628,65,48,16,7,10,33
4,campeones_del_mundo,5.0,1.0,5.0,5.0,1.6475114643755002,0.3403142839670181,0.30218830704689026,0.03812597692012787,0.6596857309341431,208,169,76,1,27,115
5,campeones_del_mundo,5.0,1.0,3.0,3.0,1.9758635649243261,0.6592734921723604,0.6418008804321289,0.017472611740231514,0.34072646498680115,117,93,28,8,21,58
6,campeones_del_mundo,4.0,1.0,5.0,5.0,1.629330082704105,0.5545786507427692,0.012838054448366165,0.5417405962944031,0.44542139768600464,146,110,42,8,15,82
7,campeones_del_mundo,3.0,1.0,4.0,4.0,1.7341643782887737,0.32168062403798103,0.04170738533139229,0.27997323870658875,0.6783193349838257,97,138,30,9,36,77
8,campeones_del_mundo,5.0,1.0,2.0,2.0,1.2853755886683953,0.902622408233583,0.004896051250398159,0.8977263569831848,0.09737762063741684,46,49,16,0,4,8
9,campeones_del_mundo,4.0,1.0,5.0,5.0,1.9091332820150195,0.6329097375273705,0.6024767756462097,0.030432961881160736,0.36709025502204895,157,162,46,17,45,63
10,campeones_del_mundo,5.0,1.0,5.0,5.0,0.9537930736808986,0.49008776247501373,0.45213833451271057,0.03794942796230316,0.5099123120307922,105,103,29,9,20,58
11,campeones_del_mundo,4.0,1.0,3.0,3.0,1.6191500585306864,0.238654725253582,0.10053461045026779,0.1381201148033142,0.7613453269004822,77,63,12,4,12,34
