Sujetos,Condición,Percepción cuánto recuerdo,Valencia percibida recuerdo,Valencia percibida -5 a +5,Intensidad percibida recuerdo,Nro palabras únicas,Intensidad pysent,Positivo pysennt,Negativo pysent,Neutro pysennt,Nro sust,Nro verb,Nro adj,Nro numeral,Nro propn,Nro advs,Coherencia norm,Evolucion coherencia norm,Detalles internos,Detalles externos,Total word count ruben
1,arabia,2.0,0.0,0.0,2.0,-0.3691375270875858,0.17076991498470306,0.07749532163143158,0.09327459335327148,0.829230010509491,19,13,7,1,3,11,0.8423402286715559,"[0.8423402286715559, 0.8315342881038065, 0.8230804448786051, 0.733296980746355, 0.8509731419415131, 0.8904866258850618, 0.5508547941067915]",91.0,51.0,142
2,arabia,3.0,0.0,0.0,2.0,-0.8316594190942685,0.21350569278001785,0.10811291635036469,0.10539277642965317,0.786494255065918,30,17,7,8,8,19,0.7225516117353445,"[0.7225516117353445, 0.7894874241746539, 0.6621376831047642, 0.7526210232557304, 0.7031414539715727, 0.707830333404702, 0.7464624875313348, 0.7655929417136578, 0.6804294814925029, 0.7475002121610552, 0.6891947635525977, 0.6712041708180335, 0.6395606432320342, 0.6297148198065369, 0.404721726947711]",146.5,55.5,202
3,arabia,3.0,-1.0,4.0,4.0,-0.44843322080921116,0.5795495957136154,0.028789862990379333,0.5507597327232361,0.4204504191875458,24,28,8,0,1,24,0.8616250692658062,"[0.8616250692658062, 0.8241711480299848, 0.8046225307914766, 0.7704689160748158, 0.760906691769882, 0.7284998015976624, 0.8022408716718781, 0.8776918010799662, 0.8747744372528007, 0.7798794268938759, 0.8098822856027443, 0.6734140153371826, 0.669664566698678, 0.32287498652303426]",112.0,100.0,212
4,arabia,3.0,-1.0,5.0,5.0,0.5224747005079712,0.8682468901388347,0.007015622686594725,0.86123126745224,0.1317531317472458,151,116,43,18,18,74,0.9427941948286226,"[0.9427941948286226, 0.8579231311262671, 0.8356864096923634, 0.8462903547148762, 0.8149119642646109, 0.8411981755382965, 0.82961196109312, 0.8162833662464483, 0.8135041769582488, 0.8184300981021194, 0.7740053762177014, 0.8086332762744535, 0.8428832519523846, 0.794522201832645, 0.7998703715202475, 0.7720918446687338, 0.8217926071718288, 0.7812817319072469, 0.9267613090813878, 0.7565961076116495, 0.7076748010481372, 0.5818179728142201, 0.49185866550920304]",790.25,185.75,976
5,arabia,2.0,-1.0,3.0,3.0,-0.5080792024091124,0.6275932118296623,0.05258529633283615,0.5750079154968262,0.37240684032440186,41,25,14,1,4,21,0.8198357753498217,"[0.8198357753498217, 0.7587836954984629, 0.7076339632078821, 0.7526058730711271, 0.7383020396538204, 0.7784826989903246, 0.7582871681370793, 0.7410662657650238, 0.7585096841432919, 0.7882008587434322, 0.7312000060768187, 0.7491208670156345, 0.8363239197402571, 0.7594735062914293, 0.7579821289843807, 0.8284751556986988, 0.7940774099754669, 0.671869741073489, 0.6679727902567172, 0.7370160198408552, 0.8816467495690655, 0.7238451306826658]",185.75,82.25,268
6,arabia,2.0,0.0,2.0,2.0,-1.3421940435390376,0.4141070945188403,0.009061972610652447,0.40504512190818787,0.585892915725708,23,19,3,3,5,7,0.8816025174457299,"[0.8816025174457299, 0.7650486282344346, 0.7267061208727594, 0.7893544555878929]",108.5,41.5,150
7,arabia,3.0,-1.0,3.0,3.0,-0.4872858583621349,0.8408577656373382,0.004011652432382107,0.836846113204956,0.15914224088191986,52,53,24,2,9,28,0.9980072137615845,"[0.9980072137615845, 0.9268700627344905, 0.8673331008602639, 0.8500618967359349, 0.8530292652315855, 0.9049218304005535, 0.9266007671456863, 0.9219180439567572, 0.9802164143859797, 0.8686244025340429, 0.664784455289764]",244.5,92.5,337
8,arabia,4.0,-1.0,1.0,1.0,0.5063600803845193,0.6444454323500395,0.6262285113334656,0.018216921016573906,0.35555461049079895,32,37,8,1,9,21,0.7783256536227704,"[0.7783256536227704, 0.7903381726598573, 0.775983167678953, 0.7684378664186589, 0.755595423562511, 0.7946663176514865, 0.8267451244822889, 0.9270971823653601, 0.849443517001435, 0.9199683986013798, 0.9354470806742753, 0.9216859233190837]",195.0,62.0,257
9,arabia,2.0,-1.0,3.0,3.0,-0.477283320503755,0.20667374227195978,0.01454950962215662,0.19212423264980316,0.7933262586593628,72,56,20,2,20,28,0.8059188129831943,"[0.8059188129831943, 0.8544753781109814, 0.73821988687465, 0.7804309517517907, 0.8198514715226939, 0.7570882125654874, 0.7627889787758767, 0.6967971541615899, 0.766200092142603, 0.6477777333730652, 0.5063538545812332, 0.35587929948028424]",294.75,130.25,425
10,arabia,3.0,-1.0,4.0,4.0,1.3322823886336361,0.20552296191453934,0.05299486964941025,0.1525280922651291,0.794477105140686,120,105,45,19,17,76,0.9804586219502973,"[0.9804586219502973, 0.9974308131729585, 0.9264708270157718, 0.9301166452725657, 0.891509569163862, 0.9645305341913042, 0.9349499215540339, 0.9495631392323407, 1.006818857327704, 0.976645421292867, 1.0563582191423246, 0.9223701785453052, 0.9174135097848467, 0.7639215423086109, 0.8279377348114785]",573.25,261.75,835
