Sujetos,lematizado,texto_crudo
1,buen venir trabajar trabajar 9 mañana hacer pausa trabajar laboratorio hacer experimento fluido acordar ayer noche medir hacer cálculo parámetro ajuste levanté poner trabajar acordar así hacer avisar después seguir trabajar hacer pausa 12 mediodía menos preparar yo almuerzo después seguir 1 medio ahí cambiar bañar venir acá experimento," Bueno, antes de venir estaba trabajando. Estuve trabajando desde las 9 de la mañana. Hice una pausa porque tenía que trabajar también en algo de laboratorio que estoy haciendo el experimento de fluidos. Me acordaba de ayer a la noche que tenía que medir, hacer unos cálculos de unos parámetros de un ajuste y cuando me levanté me puse a trabajar, no me acordaba de eso. Así que lo hice cuando me avisaron. Después seguí trabajando. Hice una pausa a las 12 del mediodía más o menos para prepararme el almuerzo. Después seguí hasta las 1 y media y ahí me cambié y me bañé para venir para acá a tu experimento."
2,hacer experimento laboratorio entregar mañana dos compañero cursar labo cinco tratar espectroscopía láser medir estabilidad láser frecuencia fijo uff ver memoria buen terminar chico 3 menos bañar duchar rápido salir comer uno galletita venir acá rápido salir ver aplicación saber ver onda venir bondi venir 15 minuto así decir ir ir bici básicamente tomar bici venir acá venir acá bajar dejar bici bordar parte industria llenar barro pie bastante barroso lloviznado garuar ayer hoy acá ahora básicamente,"Estaba haciendo un experimento de laboratorio que tengo que entregar para mañana con dos compañeros. Estoy cursando labo cinco, trata sobre la espectroscopía láser para medir la estabilidad de láser en una frecuencia fija. Uff a ver, la memoria... estaba... bueno terminé con los chicos a eso de las 3 más o menos y me bañé me duché rápido y salí comí unas galletitas y vine para acá rápido. Salí y estaba viendo la aplicación de cuando subo a ver que onda cuando venía el bondi, venía en 15 minutos así que dije no, voy a ir en bici. Y básicamente me tomé la bici y vine para acá. Eso, vine acá, me bajé, dejé la bici, bordé la parte de industria, me llené de barro los pies porque estaba bastante barroso había lloviznado garuando ayer y hoy, y estoy acá ahora básicamente."
3,exactamente venir hacer informe último momento entregar mañana noche dar así cuatro hora sentado computadora hablar dos amigo participar yo exactamente escribir pensar cómo resolver dar mandar mail profesor escribir dato luego 3 empezar almorzar papá lado terminar almorzar bañar salir acá pensar ir llegar creer lavar diente guardar cepillo ir amigo noche cambiar cargar botella agua,"Exactamente antes de venir, estuve haciendo el informe hasta el último momento de una entrega que tengo mañana de noche que no nos da nada, así que estuve cuatro horas sentado en la computadora hablando con dos amigos, que participan conmigo. Exactamente, estuve escribiendo eso, pensando cómo resolver lo que no nos da mandando mail a los profesores y escribiendo todos los datos. Luego a las 3 empecé a almorzar con mi papá al lado y terminé de almorzar, me bañé y salí para acá pensando que no iba a llegar. Nada más creo. Me lavé los dientes, guardé el cepillo porque voy a lo de un amigo a la noche, me cambié cargué mi botella de agua, nada más."
4,venir cursar mecánico fluido pabellón cero infinito cursar profesor llamar nicolás aula cero mesa parecer paralelogramo sino forma poder juntar mucho saber forma cuadrado raro cinco compañero cursar compañero compañera ayudante clase terminar hacer 15 minuto empezar cursar 9 mañana tres intervalo dos teórico práctica teórico imprimir apunte entender mejor teórico práctica buen ver tema código trabajo entregar semana venir entender bien clase lindo caer bien ayudante pizarrón escribir tiza tres color diferente blanco naranjo rosa tema balance masa ecuación continuidad cosa así compañera pasar pizarrón ayudante resolver ejercicio momento cortar luz mientras ver proyector entonces pasar proyector parte código clase parte ver ejercicio guía volver luz retomar tema proyector medio desayunar banano primero intervalo segundo intervalo dos pancito mantequilla maní guardado tupper tomar mate clase bastante mate hoy tocar llevar termo amiga tocar llevar mate yerba compañero reír fuerte demasiado fuerte modo incomodar clase medio clase primero intervalo imprimir apuntar teórico lograr entender mejor salir 230 peso apuntar comprar dos pagar amiga aparte deber plata comprar librería chica uno uña largo verde llamativo esculpído apuntar vorticidad inglés libro kundu capítulo 5 blanco negro doble faz verdad saber poder seguir infinitamente buen memoria," Antes de venir estaba cursando Mecánica de los Fluidos en el pabellón cero más infinito. Estaba cursando con un profesor que se llama Nicolás. Estaba en un aula de cero que tiene mesas que parecerían... No es un paralelogramo, sino que tienen la forma esa que se puede juntar de a muchas. No sé qué forma es, pero es como un cuadrado raro. Estaba con otros cinco compañeros cursando, compañeros y compañeras. Estaba también la ayudante. La clase habrá terminado hace 15 minutos. Empecé a cursar a las 9 de la mañana. Tuvimos tres intervalos, dos en la teórica y uno en la práctica. En la teórica me imprimí los apuntes y entendí mejor la teórica. La práctica estuvo muy buena. Vimos un tema de código para un trabajo que hay que entregar la semana que viene. Se entendió bien la clase, estuvo linda. Me cae muy bien el ayudante. En el pizarrón escribimos con tizas de tres colores diferentes. Blanco, naranja y rosa. Temas de balance de masa, ecuación de continuidad, cosas así. Una compañera pasó al pizarrón. La ayudante resolvió un ejercicio. En un momento se cortó la luz mientras estábamos viendo el proyector, entonces pasamos del proyector y la parte de código de la clase a la parte en la que veíamos ejercicios de guías. Cuando volvió la luz, retomamos el tema proyector. En el medio desayuné una banana en el primer intervalo. En el segundo intervalo, dos pancitos con mantequilla de maní. Los tenía guardados en un tupper. Tome mate durante la clase, bastante mate. Hoy me tocó llevar el termo. A mi amiga le tocó llevar el mate y la yerba. Un compañero se rió muy fuerte, demasiado fuerte. De modo que incomodó un poco a la clase. En el medio de la clase, en el primer intervalo, fui a imprimir el apunte para la teórica con el cual logré entender mejor. Me salió 230 pesos el apunte. Como compré dos, le pagué el de mi amiga, que aparte le debía plata. Compré en la librería el uno. Había una chica que tenía unas uñas largas verdes, muy llamativas, de esas esculpídas. El apunte era de vorticidad. Está en inglés. El libro es el Kundu. El capítulo 5. Blanco y negro, doble faz. La verdad que no sé, podría seguir infinitamente, tengo muy buena memoria. "
5,venir hoy levanté temprano venir facultad levanté temprano usual venir caminar caminar pensar ir tomar 42 mitad camino ver aunque pensar funcionar bondis mitad clase crusar estructura 2 gustar teórico acuerdo detener pensar cómo vestido profesora combinar ropa después salir poner estudiar teórico 1 sala lectura pabellón infinito acuerdo luz pegar caliente gustar frío después comer calentar tupper comida hacer ayer risotto hongo cajita encantar después comer comer posición incómodo lado aula magno pabellón 1 sentado pupitre raro lugar poder apoyar mayor cantidad cosa mientras escuchar podcast después sentir uno escalera leer leer eternauta encantar cómic nunca leer cómics después enfrente pabellón industria asiento ladrillo seguir leer mirar instagram venir acá sorprender cantidad seguridad guardia hecho entrar preguntar hacer acá raro sentir incómodo esperar rato anotar acá," Antes de venir, hoy me levanté temprano y vine a la facultad. Me levanté más temprano que lo usual porque vine caminando. Caminé mucho. Pensé que me iba a tomar el 42 a mitad de camino porque lo vi, aunque pensé que... No están funcionando los bondis. Me fui a la mitad de la clase que estaba crusando, Estructura 2, porque no me gustaba nada la teórica. Me acuerdo que me detuve mucho a pensar en cómo estaba vestida la profesora, como que no combinaba nada su ropa. Después salí y me puse a estudiar Teórica 1 en la sala de lectura del pabellón infinito. Me acuerdo de la luz que me pegaba, estaba muy caliente, me gustaba, no tenía frío. Después me fui a comer. Calenté un tupper de comida que hice ayer, que es un risotto de hongos de cajita que me encanta. Después de comer, comí en una posición muy incómoda, al lado del aula magna del pabellón 1, sentado en un pupitre. Fue raro, pero era el lugar donde podía apoyar la mayor cantidad de cosas. Mientras escuchaba un podcast. Después me senté en unas escaleras, leí un poco, estoy leyendo el Eternauta, que me encanta, es un cómic, nunca había leído cómics. Después me fui enfrente del pabellón de industrias, que hay como unos asientos de ladrillos. Seguí leyendo un poco, miré Instagram y vine para acá. Y me sorprendí por la cantidad de seguridad que hay, hay muchos guardias, de hecho antes de entrar ya me estaban preguntando qué hacía acá. Fue raro, me sentí incómodo y nada, esperé un rato, me anoté y acá estoy."
6,hacer venir saber dónde atrás ir pregunta venir estructura 4 cursar otero hacer cuenta armar él octete antisimétrico simétrico clase pasado visto decuplete ejemplo poder encontrar protón mostrar cómo ir mover encontrar distinto partícula empezar partícula mayor proyección después buen poner cuestionar respecto si quedar parte antisimétrico parte simétrico si yo ver función onda total tener spin fermión deber quedar tú antisimétrico principio poder quedar cualquiera dos resolver hacer fijar él medir experimentalmente movimiento magnético cociente terminar suceder deber quedar tú parte antisimétrico dar pie función onda simétrico dar clase buen dar pie siguiente clase ir ver color resolver quedar antisimétrico bastante estresado mañana reír final e3 así último momento saber si cuestión memoria poder resolver hacer último momento así terminar todavía coso e3 interesante vida," ¿Qué hice antes de venir? No sé de dónde atrás tengo que ir la pregunta, pero vengo de Estructura 4 de cursar con Otero que hizo las cuentas para armarse el octete antisimétrico y simétrico porque ya en la clase pasada habíamos visto el decuplete y con eso. Por ejemplo, pude encontrar el protón y mostró cómo ir moviendo o sea, encontrando las distintas partículas, empezando de la partícula de mayor proyección y después, bueno, se puso a cuestionar respecto a si uno se tenía que quedar con la parte antisimétrica o la parte simétrica porque, nada, si vos ves la función de onda total y tenés el spin, como son fermiones deberías quedarte antisimétrica, pero en principio podría quedar cualquiera de los dos. Y para resolver eso lo que hace es fijarse miden experimentalmente los movimientos magnéticos, sus cocientes y lo que termina sucediendo es que deberías quedarte con la parte antisimétrica y eso da pie a que tengas una función de onda simétrica, estoy dando una clase, y bueno, eso da pie a que en la siguiente clase vamos a ver qué es el color qué es lo que resuelve, qué quede antisimétrico. Antes de eso, estuve bastante estresado porque mañana rindo mi final de E3 así que estuve como a último momento, no sé si hay una cuestión de memoria que se pueda resolver pero hago todo a último momento así que tengo que terminar todavía mi coso de E3 y eso. No es muy interesante mi vida"
7,venir hacer despertar yo despertar 6 cuarto mañana hermana levantar hora poder ir colegio alarma gallo bastante irritante después hacer hora volver dormir 7 mañana sonar alarma dar él pastilla perro obsesivo tema miedo hermana olvidar pastilla mandar mensaje preguntar él si dar responder 7 5 aproximadamente mañana volver dormir volver despertar 8 mañana volver sonar segundo alarma dar él pastilla perro entonces ahí bajar preguntar hermana casa si dar pastilla respuesta afirmativo agarrar subir escalera llevar baño ahí 2 3 minuto querer hacer necesidad si entonces terminar agarrar bajar escalera preparar desayuno decir agarrar bolsa agarrar 5 chipás poner microonda calentar tomar mate mamá hermana después cambiar mentira preparar ropa ir yo bañar bañar cambiar mandar mensaje abuelo saber cuándo ir pasar buscar pasar buscar correo argentino buscar regalo amiga ahí mandar mensaje decir él todo gente participado regalo regalo poder empezar pagar después tren subir esperado 20 minuto ver retraso tren subir viajar estación colegial bajar estación colegial entrar crisis saber si colectivo 42 pasar estación cartel decir parada anulado lado decir 42 entonces esperar dejar pasar ver efectivamente parar ahí subir llegar ciudad universitario después baño después ir baño mandar mensaje corino preguntar él dónde venir acá cómo cosa decir esperar así sentir estar adelantar cosa profesorado después mandar par mensaje arreglar uno cosa teatro así terminar ver hora caminar llegar instituto ifybine preguntar dónde ir guardia empezar gritar decir yo dónde ir gritar él guardia subir escalera charlé guardia decir hacer volver bajar escalera tocar timbre entrar decir buscar corina después guardia preguntar quién decir agustina después guardia hablar dónde ir entonces buscar mandar laboratorio 065 charlé chica preguntar él ver si conocer corina decir conocer ninguno corina chica tomar experimento corino entonces guardia preguntar dónde corina así guardia arriba primero empezar gritar decir contactar guardia decir él ahí hacer venir acá ahí," Antes de venir lo que hice fue despertarme. Me desperté a las 6 y cuarto de la mañana porque mi hermana se levanta a esa hora para poder ir al colegio con una alarma de un gallo que es bastante irritante. Después, como yo no tengo nada que hacer a esa hora, me volví a dormir hasta las 7 de la mañana que me sonó la alarma para darle la pastilla al perro. Como soy una obsesiva con ese tema y tengo miedo que mi hermana se olvide de la pastilla, le mandé un mensaje preguntándole si se la había dado. Cuando me respondió, que eran las 7 y 5 aproximadamente de la mañana, me volví a dormir y me volví a despertar a las 8 de la mañana. ¿Por qué? Porque me volvió a sonar la segunda alarma para darle la otra pastilla al perro. Entonces ahí bajé, le pregunté a mi otra hermana que estaba en casa si le había dado la pastilla. Como la respuesta fue afirmativa, lo agarré, subí las escaleras y lo llevé al baño. Habré estado ahí unos 2 o 3 minutos porque él no quiere hacer sus necesidades si yo no estoy. Entonces cuando terminó, lo agarré, bajé las escaleras y me preparé el desayuno. Es decir, agarré una bolsa, agarré 5 chipás, los puse en el microondas, me los calenté y tomé mate con mi mamá y mi hermana. Después de eso me fui a cambiar, no mentira, preparé mi ropa para irme a bañar. Me bañé, me cambié, le mandé un mensaje a mi abuelo para saber cuándo me iba pasar a buscar. Cuando me pasó a buscar, fui al correo argentino a buscar el regalo de una amiga. Ahí mandé mensajes diciéndole a toda la gente que había participado en el regalo que ya tenía el regalo y que me podían empezar a pagar. Después fui al tren, me subí, habré esperado unos 20 minutos, se ve que tenía retraso el tren. Subí, viajé hasta la estación de colegiales. Bajé de la estación de Colegiales, entré en crisis porque no sabía si el colectivo del 42 pasaba en esa estación o no porque había un cartel que decía parada anulada y del otro lado decía 42. Entonces esperé, dejé pasar uno, vi que efectivamente paraba ahí, me subí y llegué a Ciudad Universitaria. Después de eso fui al baño. Después de ir al baño le mandé un mensaje a Corina preguntándole dónde era que tenía que venir o que ya estaba acá, cómo era la cosa y me dijo que tenía que esperar. Así que me senté y estudié adelantando algunas cosas del profesorado. Después mandé un par de mensajes más para arreglar unas cosas de teatro. Así que terminé eso, vi que ya era la hora, fui caminando y cuando llegué al instituto del IFyBINE pregunté dónde era que tenía que ir. Un guardia me empezó a gritar diciéndome a dónde era que iba y yo para no gritarle al guardia subí las escaleras, charlé con el guardia, me dijo lo que tenía que hacer, volví a bajar las escaleras, toqué el timbre, entré diciendo que estaba buscando a Corina y después de eso la guardia me pregunta quién era yo, le dije que era Agustina y después con otro guardia estuvieron hablando dónde era que tenía que ir. Entonces estuvimos buscando, me mandaron al laboratorio 065, charlé con otra chica preguntándole a ver si conocía a Corina, me dijo que no conocía a ninguna Corina, que había otra chica que estaba tomando experimentos pero que no era Corina. Y entonces con la guardia nos preguntamos dónde está Corina. Así que el guardia que estaba arriba, que fue el primero que me empezó a gritar, me dijo que... se contactó con el otro guardia diciéndole que no era ahí y nos hizo venir hasta acá. Ahí está."
8,venir clase diseño cuatro ver presentación compañero hablar tipología vidrio oeste cómo resolver él mantener verticalidad sentado banco re incómodo dar él espalda grupo hablar prestar atención clase hablar celular arreglar hacer regalo cumpleaños chica profesor mirar yo mal celular intentar acordar yo decir anotar pensar ir almorzar," Antes de venir estaba en clase de diseño cuatro. Estaba viendo la presentación de otros compañeros. Estaban hablando de la tipología de vidrio en el oeste y de cómo resolverlo y que se mantenga una verticalidad. Estaba sentada en un banco re incómodo, estaba dándole la espalda a todo el grupo que estaba hablando. Estaba prestando atención en la clase y estaba hablando por celular, arreglando para hacer el regalo de cumpleaños de una chica. Y estaba el profesor mirándome mal porque estaba con el celular. Estaba intentando acordarme de todo lo que decían porque no tenía para anotar. Y estaba pensando en que iba a almorzar."
9,hacer venir buen despertar aproximadamente 8 20 mañana desayunar uno chocolina después tomar dos vaso agua agarrar auto manejar si querés poder contar calle agarrar agarrar primero avenida corriente juan b justo derecho juan b justo bullrich después doblar dorrego figueroa alcorta figueroa alcorta puente llegar ciudad universitario vez llegar ciudad universitario aproximadamente nueve medio encontrar amigo cursar materia curso teoría geométrico medido 10 encontrar charlar rato poder contartir detalle rato si querés pasillo aula e24 sentado particularmente acuerdo señor limpiar pedir levantar pata limpiar abajo asiento aula cerrado esperar aula meter aula después llegar chico mentar llegar dos chico ahí meter aula bien acabar acordar cosa importar después arrancar clase cursar normalmente aproximadamente 11 50 clase tratar medida haudorf primero hora 20 aproximadamente medido haudorf seguir libro eva después julio rossi profesor decidir hablar investigación personal contar problema pensar abierto entonces vez hecho dar 10 minuto recreo problema contar abierto durar 40 minuto entonces ahí cumplir dos hora clase der 10 minuto recreo después dar medio hora salir acuerdo reloj 12 26 vez pasar labo cero textear par cosa tesis hacer tiempo venir acá después aproximadamente medio labo baño venir acá,"¿qué hice antes de venir? Bueno me desperté aproximadamente a las 8 y 20 de la mañana desayuné unas Chocolinas. Después de eso me tomé dos vasos de agua, agarré el auto maneje si querés te puedo contar por qué calles agarré. Agarré primero Avenida Corrientes hasta Juan B. Justo. Fui todo derecho por Juan B. justo hasta Bullrich, después de eso doblé en Dorrego y hasta Figueroa Alcorta. Figueroa Alcorta hasta el puente llegué a Ciudad Universitaria. Una vez que llegué a Ciudad Universitaria, que eso ya fue aproximadamente a las nueve y media, me encontré con un amigo que cursaba la materia que yo curso Teoría Geométrica de la Medida a las 10. Me encontré con él, charlamos un rato, puedo contarte detalles sobre ese rato también si querés, estábamos en el pasillo del aula E24 sentados y de lo que particularmente me acuerdo es que estaba el señor que limpiaba y nos pidió que levantaramos las patas para limpiar abajo de los asientos. Estaba el aula cerrada, por eso no estamos no estábamos esperando en el aula. Nos metimos en el aula y después fueron llegando los otros chicos, no miento, llegaron dos chicos más y ahí nos metimos en el aula. Bien, me acabo de acordar de otra cosa no importa. Después arrancó la clase cursamos normalmente aproximadamente hasta las 11 y 50. La clase se trató de medida de haudorf, la primera hora y 20 aproximadamente fue de medida de haudorf siguiendo el libro de Evans, y después Julio Rossi el profesor decidió hablar de algo de su investigación personal y contó un problema que estaba pensando que estaba abierto. Entonces una vez hecho eso nos dio 10 minutos de recreo, o sea el problema lo que contó que estaba abierto duró como 40 minutos entonces ahí se cumplió como las dos horas de clase. Dió 10 minutos de recreo y después dio media hora más y salimos me acuerdo del reloj 12 y 26. Una vez que pasó eso me fui a los labos del cero a textear una par de cosas de mi tesis porque tenía que hacer tiempo para venir hasta acá y después aproximadamente y media me fui de los labos, fui al baño y vine para acá."
10,buen venir deber haber levantar temprano estudiar martes cursar así deber haber pasar cosa hacer martes hacer quedar dormir poner alarma cada medio hora funcionar doce medio hacer llamado amiga unido organizar hacer viaje chile mitad año fijar hotel reservar valparaíso diez cortar lavar diente lavar cara almorcé cambiar venir acá organizar viejo después ir dormir casa viejo separado vivo casa mamá así organizar ver hoy noche ir venir bondi justo viejo vino ir poder venir auto así quedar rato boludear casa hacer día," Bueno, antes de venir me debería haber levantado temprano para estudiar. El martes no fui a cursar así que debería haber pasado las cosas que no hice el martes, pero no lo hice. Me quedé durmiendo, me puse el alarma cada media hora, que no funcionaba. A las doce y media hice llamada con una amiga de Estados Unidos que estamos organizando para hacer un viaje a Chile a mitad de año. Nos fijamos en hoteles para reservar en Valparaíso. A las una y diez cortamos. Me lavé los dientes, me lavé la cara, almorcé, me cambié y vine para acá. Organicé con mi viejo porque después me voy a dormir a su casa. Mis viejos están separados, vivo en la casa de mi mamá, así que organizé con él para que nos veamos hoy a la noche. Iba a venir en bondi pero justo mi vieja vino antes de que yo me tenga que ir y pude venir en auto. Así que me quedé un rato boludeando en casa sin mucho que hacer. Nada, no fue mucho mi día."
