Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop
1,antesdevenir,,,,
2,antesdevenir,,,,
3,antesdevenir,,,,
4,antesdevenir,5.0,1.0,1.0,1.0
5,antesdevenir,5.0,-1.0,3.0,-3.0
6,antesdevenir,5.0,1.0,3.0,3.0
7,antesdevenir,3.0,-1.0,1.0,-1.0
8,antesdevenir,4.0,0.0,2.0,0.0
9,antesdevenir,5.0,-1.0,5.0,-5.0
10,antesdevenir,4.0,-1.0,1.0,-1.0
11,antesdevenir,5.0,0.0,3.0,0.0
12,antesdevenir,5.0,-1.0,5.0,-5.0
13,antesdevenir,5.0,-1.0,3.0,-3.0
14,antesdevenir,5.0,0.0,3.0,0.0
15,antesdevenir,4.0,-1.0,1.0,-1.0
16,antesdevenir,5.0,-1.0,2.0,-2.0
17,antesdevenir,5.0,1.0,4.0,4.0
18,antesdevenir,5.0,1.0,3.0,3.0
19,antesdevenir,5.0,1.0,1.0,1.0
20,antesdevenir,4.0,-1.0,4.0,-4.0
21,antesdevenir,5.0,0.0,4.0,0.0
22,antesdevenir,5.0,0.0,5.0,0.0
23,antesdevenir,3.0,-1.0,3.0,-3.0
24,antesdevenir,5.0,1.0,5.0,5.0
25,antesdevenir,5.0,1.0,2.0,2.0
26,antesdevenir,5.0,-1.0,3.0,-3.0
27,antesdevenir,5.0,1.0,3.0,3.0
28,antesdevenir,4.0,-1.0,3.0,-3.0
29,antesdevenir,5.0,-1.0,3.0,-3.0
30,antesdevenir,5.0,-1.0,3.0,-3.0
31,antesdevenir,4.0,0.0,3.0,0.0
32,antesdevenir,,,,
33,antesdevenir,5.0,0.0,1.0,0.0
34,antesdevenir,5.0,0.0,2.0,0.0
35,antesdevenir,5.0,1.0,3.0,3.0
36,antesdevenir,5.0,0.0,3.0,0.0
37,antesdevenir,4.0,1.0,4.0,4.0
38,antesdevenir,5.0,0.0,3.0,0.0
39,antesdevenir,5.0,0.0,3.0,0.0
40,antesdevenir,5.0,1.0,3.0,3.0
41,antesdevenir,5.0,1.0,2.0,2.0
42,antesdevenir,5.0,1.0,4.0,4.0
43,antesdevenir,5.0,0.0,1.0,0.0
44,antesdevenir,5.0,1.0,4.0,4.0
45,antesdevenir,5.0,1.0,4.0,4.0
46,antesdevenir,5.0,0.0,4.0,0.0
47,antesdevenir,4.0,0.0,2.0,0.0
48,antesdevenir,4.0,0.0,2.0,0.0
49,antesdevenir,5.0,-1.0,3.0,-3.0
50,antesdevenir,3.0,0.0,4.0,0.0
51,antesdevenir,4.0,1.0,2.0,2.0
52,antesdevenir,2.0,-1.0,3.0,-3.0
53,antesdevenir,5.0,0.0,3.0,0.0
54,antesdevenir,4.0,0.0,1.0,0.0
55,antesdevenir,5.0,0.0,1.0,0.0
56,antesdevenir,5.0,0.0,1.0,0.0
57,antesdevenir,5.0,0.0,3.0,0.0
58,antesdevenir,,,,
59,antesdevenir,5.0,0.0,1.0,0.0
60,antesdevenir,5.0,0.0,3.0,0.0
61,antesdevenir,3.0,0.0,1.0,0.0
62,antesdevenir,5.0,0.0,4.0,0.0
63,antesdevenir,5.0,1.0,4.0,4.0
64,antesdevenir,4.0,-1.0,2.0,-2.0
65,antesdevenir,5.0,0.0,3.0,0.0
