Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop
1,arabia,2.0,-1.0,2.0,-2.0
2,arabia,3.0,-1.0,2.0,-2.0
3,arabia,3.0,-1.0,4.0,-4.0
4,arabia,3.0,-1.0,5.0,-5.0
5,arabia,2.0,-1.0,3.0,-3.0
6,arabia,2.0,0.0,2.0,0.0
7,arabia,3.0,-1.0,3.0,-3.0
8,arabia,4.0,-1.0,1.0,-1.0
9,arabia,2.0,-1.0,3.0,-3.0
10,arabia,3.0,-1.0,4.0,-4.0
11,arabia,2.0,0.0,3.0,0.0
12,arabia,3.0,0.0,3.0,0.0
13,arabia,3.0,0.0,2.0,0.0
14,arabia,3.0,-1.0,3.0,-3.0
15,arabia,3.0,0.0,2.0,0.0
16,arabia,2.0,-1.0,5.0,-5.0
17,arabia,2.0,0.0,2.0,0.0
18,arabia,1.0,1.0,2.0,2.0
19,arabia,1.0,0.0,1.0,0.0
20,arabia,3.0,-1.0,3.0,-3.0
21,arabia,1.0,0.0,1.0,0.0
22,arabia,5.0,-1.0,2.0,-2.0
23,arabia,3.0,0.0,2.0,0.0
24,arabia,3.0,1.0,4.0,4.0
25,arabia,2.0,0.0,1.0,0.0
26,arabia,4.0,0.0,4.0,0.0
27,arabia,1.0,0.0,1.0,0.0
28,arabia,4.0,0.0,3.0,0.0
29,arabia,2.0,-1.0,3.0,-3.0
30,arabia,5.0,-1.0,4.0,-4.0
31,arabia,1.0,0.0,3.0,0.0
32,arabia,,,,
33,arabia,1.0,0.0,1.0,0.0
34,arabia,3.0,0.0,3.0,0.0
35,arabia,1.0,0.0,2.0,0.0
36,arabia,4.0,1.0,4.0,4.0
37,arabia,2.0,-1.0,2.0,-2.0
38,arabia,3.0,-1.0,4.0,-4.0
39,arabia,2.0,0.0,1.0,0.0
40,arabia,5.0,0.0,5.0,0.0
41,arabia,3.0,-1.0,4.0,-4.0
42,arabia,2.0,0.0,2.0,0.0
43,arabia,4.0,1.0,4.0,4.0
44,arabia,3.0,-1.0,3.0,-3.0
45,arabia,2.0,0.0,1.0,0.0
46,arabia,3.0,-1.0,3.0,-3.0
47,arabia,3.0,0.0,3.0,0.0
48,arabia,,,,
49,arabia,2.0,0.0,2.0,0.0
50,arabia,2.0,0.0,2.0,0.0
51,arabia,4.0,-1.0,4.0,-4.0
52,arabia,3.0,-1.0,2.0,-2.0
53,arabia,3.0,0.0,3.0,0.0
54,arabia,3.0,-1.0,3.0,-3.0
55,arabia,2.0,-1.0,2.0,-2.0
56,arabia,4.0,-1.0,4.0,-4.0
57,arabia,2.0,1.0,3.0,3.0
58,arabia,,,,
59,arabia,4.0,-1.0,2.0,-2.0
60,arabia,4.0,-1.0,3.0,-3.0
61,arabia,,,,
62,arabia,2.0,-1.0,2.0,-2.0
63,arabia,5.0,1.0,4.0,4.0
64,arabia,4.0,-1.0,3.0,-3.0
65,arabia,,,,
