Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop
1,campeones_del_mundo,4.0,1.0,3.0,3.0
2,campeones_del_mundo,4.0,1.0,3.0,3.0
3,campeones_del_mundo,5.0,1.0,5.0,5.0
4,campeones_del_mundo,5.0,1.0,5.0,5.0
5,campeones_del_mundo,5.0,1.0,3.0,3.0
6,campeones_del_mundo,4.0,1.0,5.0,5.0
7,campeones_del_mundo,3.0,1.0,4.0,4.0
8,campeones_del_mundo,5.0,1.0,2.0,2.0
9,campeones_del_mundo,4.0,1.0,5.0,5.0
10,campeones_del_mundo,5.0,1.0,5.0,5.0
11,campeones_del_mundo,4.0,1.0,3.0,3.0
12,campeones_del_mundo,5.0,1.0,3.0,3.0
13,campeones_del_mundo,5.0,1.0,2.0,2.0
14,campeones_del_mundo,4.0,1.0,5.0,5.0
15,campeones_del_mundo,4.0,1.0,4.0,4.0
16,campeones_del_mundo,4.0,1.0,5.0,5.0
17,campeones_del_mundo,5.0,1.0,4.0,4.0
18,campeones_del_mundo,5.0,1.0,5.0,5.0
19,campeones_del_mundo,5.0,1.0,5.0,5.0
20,campeones_del_mundo,4.0,1.0,5.0,5.0
21,campeones_del_mundo,5.0,0.0,5.0,0.0
22,campeones_del_mundo,5.0,1.0,4.0,4.0
23,campeones_del_mundo,4.0,1.0,4.0,4.0
24,campeones_del_mundo,5.0,1.0,5.0,5.0
25,campeones_del_mundo,3.0,1.0,2.0,2.0
26,campeones_del_mundo,3.0,1.0,4.0,4.0
27,campeones_del_mundo,3.0,1.0,4.0,4.0
28,campeones_del_mundo,4.0,1.0,3.0,3.0
29,campeones_del_mundo,4.0,1.0,3.0,3.0
30,campeones_del_mundo,5.0,1.0,4.0,4.0
31,campeones_del_mundo,5.0,0.0,3.0,0.0
32,campeones_del_mundo,,,,
33,campeones_del_mundo,3.0,1.0,3.0,3.0
34,campeones_del_mundo,4.0,1.0,4.0,4.0
35,campeones_del_mundo,4.0,1.0,3.0,3.0
36,campeones_del_mundo,5.0,1.0,5.0,5.0
37,campeones_del_mundo,4.0,1.0,4.0,4.0
38,campeones_del_mundo,3.0,1.0,5.0,5.0
39,campeones_del_mundo,4.0,0.0,5.0,0.0
40,campeones_del_mundo,5.0,1.0,5.0,5.0
41,campeones_del_mundo,5.0,1.0,5.0,5.0
42,campeones_del_mundo,5.0,1.0,5.0,5.0
43,campeones_del_mundo,4.0,1.0,4.0,4.0
44,campeones_del_mundo,5.0,1.0,5.0,5.0
45,campeones_del_mundo,5.0,1.0,2.0,2.0
46,campeones_del_mundo,5.0,1.0,5.0,5.0
47,campeones_del_mundo,5.0,1.0,5.0,5.0
48,campeones_del_mundo,,,,
49,campeones_del_mundo,3.0,1.0,4.0,4.0
50,campeones_del_mundo,3.0,1.0,3.0,3.0
51,campeones_del_mundo,5.0,1.0,5.0,5.0
52,campeones_del_mundo,2.0,0.0,3.0,0.0
53,campeones_del_mundo,5.0,1.0,5.0,5.0
54,campeones_del_mundo,3.0,1.0,3.0,3.0
55,campeones_del_mundo,4.0,1.0,5.0,5.0
56,campeones_del_mundo,5.0,1.0,5.0,5.0
57,campeones_del_mundo,4.0,1.0,4.0,4.0
58,campeones_del_mundo,,,,
59,campeones_del_mundo,4.0,1.0,4.0,4.0
60,campeones_del_mundo,5.0,1.0,5.0,5.0
61,campeones_del_mundo,3.0,1.0,4.0,4.0
62,campeones_del_mundo,4.0,-1.0,4.0,-4.0
63,campeones_del_mundo,4.0,1.0,4.0,4.0
64,campeones_del_mundo,5.0,1.0,5.0,5.0
65,campeones_del_mundo,4.0,1.0,2.0,2.0
