Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop
1,cfk,2.0,-1.0,1.0,-1.0
2,cfk,2.0,0.0,2.0,0.0
3,cfk,3.0,0.0,3.0,0.0
4,cfk,3.0,0.0,4.0,0.0
5,cfk,1.0,0.0,2.0,0.0
6,cfk,3.0,0.0,2.0,0.0
7,cfk,2.0,-1.0,3.0,-3.0
8,cfk,1.0,-1.0,5.0,-5.0
9,cfk,2.0,0.0,2.0,0.0
10,cfk,2.0,-1.0,3.0,-3.0
11,cfk,1.0,0.0,2.0,0.0
12,cfk,1.0,0.0,3.0,0.0
13,cfk,1.0,-1.0,1.0,-1.0
14,cfk,1.0,-1.0,3.0,-3.0
15,cfk,2.0,0.0,3.0,0.0
16,cfk,5.0,0.0,4.0,0.0
17,cfk,4.0,-1.0,3.0,-3.0
18,cfk,5.0,0.0,3.0,0.0
19,cfk,1.0,0.0,2.0,0.0
20,cfk,,,,
21,cfk,2.0,-1.0,3.0,-3.0
22,cfk,2.0,-1.0,1.0,-1.0
23,cfk,1.0,-1.0,1.0,-1.0
24,cfk,5.0,0.0,5.0,0.0
25,cfk,4.0,-1.0,2.0,-2.0
26,cfk,3.0,-1.0,3.0,-3.0
27,cfk,1.0,-1.0,1.0,-1.0
28,cfk,2.0,-1.0,3.0,-3.0
29,cfk,4.0,0.0,4.0,0.0
30,cfk,2.0,-1.0,3.0,-3.0
31,cfk,4.0,0.0,3.0,0.0
32,cfk,,,,
33,cfk,3.0,-1.0,2.0,-2.0
34,cfk,3.0,-1.0,2.0,-2.0
35,cfk,2.0,0.0,2.0,0.0
36,cfk,3.0,-1.0,4.0,-4.0
37,cfk,1.0,1.0,2.0,2.0
38,cfk,2.0,-1.0,4.0,-4.0
39,cfk,2.0,0.0,2.0,0.0
40,cfk,4.0,-1.0,3.0,-3.0
41,cfk,2.0,0.0,3.0,0.0
42,cfk,4.0,1.0,3.0,3.0
43,cfk,3.0,-1.0,2.0,-2.0
44,cfk,4.0,0.0,3.0,0.0
45,cfk,1.0,0.0,1.0,0.0
46,cfk,2.0,0.0,2.0,0.0
47,cfk,4.0,0.0,3.0,0.0
48,cfk,,,,
49,cfk,1.0,-1.0,4.0,-4.0
50,cfk,4.0,-1.0,3.0,-3.0
51,cfk,1.0,0.0,1.0,0.0
52,cfk,3.0,-1.0,3.0,-3.0
53,cfk,5.0,-1.0,4.0,-4.0
54,cfk,1.0,-1.0,2.0,-2.0
55,cfk,3.0,-1.0,3.0,-3.0
56,cfk,2.0,0.0,2.0,0.0
57,cfk,1.0,0.0,3.0,0.0
58,cfk,,,,
59,cfk,3.0,-1.0,3.0,-3.0
60,cfk,3.0,-1.0,3.0,-3.0
61,cfk,3.0,-1.0,4.0,-4.0
62,cfk,3.0,1.0,3.0,3.0
63,cfk,2.0,-1.0,2.0,-2.0
64,cfk,3.0,0.0,3.0,0.0
65,cfk,2.0,-1.0,2.0,-2.0
