Sujetos,Condición,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density
1,campeones_del_mundo,0.9908491346626758,0.8568004005244443,0.8261742855104353,111,17,16.701171171171175,3.2972972972972974,0.02046783625730994,5.794451018586346,0.06277997454468041,0,2.0,13.0,0.014987714987714987
2,campeones_del_mundo,1.022850982029755,0.9858302724546876,0.9151370437879232,239,32,13.858819584171696,4.158995815899582,0.023767605633802816,4.8626137177725735,0.05081353915088359,0,5.0,30.0,0.008737386167856263
3,campeones_del_mundo,0.8696452389677819,0.8352464973195866,0.8924502728728533,176,26,12.729227761485824,3.875,0.024412296564195298,4.944488136497917,0.040758528068442795,0,3.0,12.0,0.01107142857142857
4,campeones_del_mundo,1.1040750722396366,1.054038574509703,1.0537342126596922,417,47,12.351190476190476,4.83453237410072,0.023067484662576687,4.20984108905344,0.07617609228116565,2,14.0,112.66666666666667,0.005810736026563365
5,campeones_del_mundo,1.1613906972018806,1.2170116320584028,1.2549377895877487,319,38,16.460342146189735,4.025078369905956,0.016684607104413347,4.739767045624164,0.07043650028538093,1,12.5,44.333333333333336,0.00632873957532383
6,campeones_del_mundo,0.9548257545239053,0.9315203984386786,0.9228144180369271,317,41,14.927223719676554,4.6750788643533125,0.038508309687880014,4.236336161752954,0.08235139819157619,0,11.0,76.0,0.007397276684103342
7,campeones_del_mundo,0.8330608689311454,0.7976960735975352,0.811673204702617,295,31,12.349952516619187,4.759322033898305,0.028031809145129226,4.219944687309309,0.07902325332673331,2,19.0,65.66666666666667,0.008094085091663783
8,campeones_del_mundo,0.9471526702460619,0.9266362936180906,0.8425052572419452,135,20,12.912568306010932,3.6,0.01984126984126984,4.7879908668555595,0.09531732244422494,0,4.0,21.0,0.013432835820895522
9,campeones_del_mundo,0.96690779003262,0.9700660684743662,0.9396341579352092,373,41,11.837863344658365,4.734584450402145,0.028669043374925728,4.186908337271257,0.08061932944713257,2,16.0,84.66666666666667,0.006363688777422238
10,campeones_del_mundo,0.8837330715337237,0.8806413955821453,0.8734907676951844,288,39,13.275651691625072,4.173611111111111,0.027735562310030396,4.835159257303615,0.06034590060904045,1,12.5,44.333333333333336,0.007271099496709253
11,campeones_del_mundo,1.0282809754980198,1.0652574191233353,1.037856711109035,211,24,12.39291465378422,3.924170616113744,0.021890547263681594,4.638651733086272,0.05621689734615613,1,7.5,22.333333333333332,0.009343263371699391
12,campeones_del_mundo,1.0655706712079052,1.068081390394619,1.025294116065757,156,21,12.834760273972606,3.730769230769231,0.020884520884520884,5.205562200448742,0.0437552350966435,0,3.0,13.0,0.012034739454094293
