Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent
1,arabia,0.07749532163143158,0.09327459335327148,0.17076991498470306
2,arabia,0.10811291635036469,0.10539277642965317,0.21350569278001785
3,arabia,0.028789862990379333,0.5507597327232361,0.5795495957136154
4,arabia,0.007015622686594725,0.86123126745224,0.8682468901388347
5,arabia,0.05258529633283615,0.5750079154968262,0.6275932118296623
6,arabia,0.009061972610652447,0.40504512190818787,0.4141070945188403
7,arabia,0.004011652432382107,0.836846113204956,0.8408577656373382
8,arabia,0.6262285113334656,0.018216921016573906,0.6444454323500395
9,arabia,0.01454950962215662,0.19212423264980316,0.20667374227195978
10,arabia,0.05299486964941025,0.1525280922651291,0.20552296191453934
11,arabia,0.04971770942211151,0.1458122879266739,0.1955299973487854
12,arabia,0.049766991287469864,0.29885655641555786,0.3486235477030277
13,arabia,0.06317100673913956,0.22713938355445862,0.2903103902935982
14,arabia,0.0480136014521122,0.2485404908657074,0.2965540923178196
15,arabia,0.02155364118516445,0.29173651337623596,0.3132901545614004
16,arabia,0.3331470787525177,0.10197687149047852,0.4351239502429962
17,arabia,0.22410720586776733,0.0613768994808197,0.28548410534858704
18,arabia,0.02472241036593914,0.18337585031986237,0.2080982606858015
19,arabia,0.00820621382445097,0.7804702520370483,0.7886764658614993
20,arabia,0.004992301110178232,0.9405598640441895,0.9455521651543677
21,arabia,0.009508056566119194,0.7803085446357727,0.7898166012018919
22,arabia,0.1030203327536583,0.0474279522895813,0.1504482850432396
23,arabia,0.016760366037487984,0.5813242793083191,0.5980846453458071
24,arabia,0.026478245854377747,0.4266473650932312,0.45312561094760895
25,arabia,0.07297161221504211,0.15849895775318146,0.23147056996822357
26,arabia,0.08276740461587906,0.08236025273799896,0.16512765735387802
27,arabia,0.0037921525072306395,0.836076021194458,0.8398681737016886
28,arabia,0.02390863746404648,0.5490041971206665,0.572912834584713
29,arabia,0.004587887786328793,0.8469934463500977,0.8515813341364264
30,arabia,0.0315605103969574,0.32184693217277527,0.35340744256973267
31,arabia,0.036221351474523544,0.33522868156433105,0.3714500330388546
32,arabia,0.05147649347782135,0.511673629283905,0.5631501227617264
33,arabia,0.29155492782592773,0.1869504749774933,0.478505402803421
34,arabia,0.08373502641916275,0.1541900336742401,0.23792506009340286
35,arabia,0.07138973474502563,0.2619591951370239,0.33334892988204956
36,arabia,0.2736707627773285,0.023352351039648056,0.29702311381697655
37,arabia,0.17934150993824005,0.054340459406375885,0.23368196934461594
38,arabia,0.005969787482172251,0.8317447900772095,0.8377145775593817
39,arabia,0.042338769882917404,0.5791628956794739,0.6215016655623913
40,arabia,0.10018797963857651,0.11409783363342285,0.21428581327199936
41,arabia,0.025485724210739136,0.4383682608604431,0.46385398507118225
42,arabia,0.017921630293130875,0.474942684173584,0.49286431446671486
43,arabia,0.19780446588993073,0.04595743864774704,0.24376190453767776
44,arabia,0.03242877870798111,0.35345369577407837,0.3858824744820595
45,arabia,0.07649168372154236,0.2064107358455658,0.28290241956710815
46,arabia,0.02625146508216858,0.4991232752799988,0.5253747403621674
47,arabia,0.012578648515045643,0.7737794518470764,0.7863581003621221
48,arabia,0.2834685146808624,0.04053119942545891,0.32399971410632133
49,arabia,0.015957986935973167,0.5747851133346558,0.5907431002706289
50,arabia,0.04626194387674332,0.08236633241176605,0.12862827628850937
51,arabia,0.2125309407711029,0.02797316014766693,0.24050410091876984
52,arabia,0.003906173398718238,0.9142618179321289,0.9181679913308471
53,arabia,0.19313016533851624,0.060450002551078796,0.25358016788959503
54,arabia,0.0046146404929459095,0.9241889715194702,0.9288036120124161
55,arabia,0.33958208560943604,0.030014973133802414,0.36959705874323845
56,arabia,0.6893067955970764,0.02118550054728985,0.7104922961443663
57,arabia,0.02599087543785572,0.2292519360780716,0.2552428115159273
58,arabia,0.22917500138282776,0.031736474484205246,0.260911475867033
59,arabia,0.029451807960867882,0.6385277509689331,0.667979558929801
60,arabia,0.040958620607852936,0.22024691104888916,0.2612055316567421
61,arabia,0.005413009785115719,0.867651104927063,0.8730641147121787
62,arabia,0.1481848657131195,0.049896370619535446,0.19808123633265495
63,arabia,0.10836980491876602,0.04599256440997124,0.15436236932873726
64,arabia,0.00868581235408783,0.8046005368232727,0.8132863491773605
65,arabia,,,
