,Sujetos,lematizado,texto_crudo,coherencia_evolucion,coherencia_evolucion_normalizada
0,1.0,buen acuerdo mismo día intentar asesinato ser noche enterar recién día siguiente levanté contar viejo quedar tipo intentar matar cristina mirar nunca televisión aparte así medio cosa siempre entero tres día después buen mundo hablar viejo contar ahí medio quedar wow what the fuck entrar twitter twitter mundo tipo matar loco ahí tema mundo hablar marcha creer mismo día hecho marcha tarde acuerdo identidad meter él posts agresivamente decir," Bueno, me acuerdo que ese mismo día, el intento de asesinato había sido de noche, yo me enteré recién al día siguiente cuando me levanté. Me contó mi vieja, yo me quedé tipo ¿qué? como que intentaron matar a Cristina. Yo no miro nunca la televisión aparte, así que es medio que las cosas siempre me entero tres días después. Pero bueno, estaba todo el mundo hablando de eso y mi vieja me contó. Ahí medio que me quedé como wow, what the fuck, entré a Twitter. En Twitter estaba todo el mundo tipo no, las hubieran matado, no, estaban todos como locos. Como que ahí fue un poco todo también el tema este de que estaba todo el mundo hablando de la marcha, creo que ese mismo día se había hecho una marcha de tarde. Me acuerdo que Identidad estaba metiéndole a los posts muy agresivamente. Y no mucho más te diría. ","[0.54009157 0.50100989 0.53590652 0.50683416 0.46178171 0.47890624
 0.50309082 0.56588697 0.50812554]","[0.8761715416939485, 0.8127706999674937, 0.8693822812762186, 0.8222192167110834, 0.7491322072936902, 0.7769127231186681, 0.8161465190640071, 0.918018510970271, 0.8243141759268386]"
1,2.0,ay a ey a ey sospechar ir ser así a ey buen tarde noche volver facultad sentir enterar grupo whatsapp poder decir ciencia cierto leer ahí bardo alguno momento leer creer ahí creer ahí enterar creer poder decir mandar video parecer grave acuerdo pasar día volver facultad noche ver celular," Ay, ay, ay. Yo sospechaba que iba a ser algo así. Ay no, o sea. Bueno, esto fue a la tarde noche, yo estaba volviendo de la facultad, siento que me enteré por el grupo de Whatsapp, pero no te podré decir a ciencia cierta, como que leí ahí el bardo que había. O sea, en algún momento lo leí, creo que fue ahí, creo que ahí me enteré de esto. Creo que no puedo decir nada más. No, eso. O sea, mandaron el video, me pareció grave. No, no me acuerdo nada más, o sea, qué pasó ese día no, volvía de la facultad, era de noche y lo vi por el celular.","[0.35775921 0.44048554 0.42558606 0.40163049 0.41376999 0.3181986
 0.2876619  0.00910522]","[0.6928152672705691, 0.8530181843918602, 0.8241647340313107, 0.7777737860404175, 0.8012824247852405, 0.6162045465541828, 0.5570689788654577, 0.017632637294627395]"
2,3.0,recordar volver facu bondi dos chica hablar medio trágico entender bien recordar haber ver vídeo reproducir celular bien reojo saber bien pasar ir ex novia recordar llegar enterar yo mamá bastante mal partícipe gobierno buen apoyar ex novia recordar querer ir casa cristino kirchner acompañar quedar hora afuera recordar cruzar yo gente colegio amigo amigo recordar volver casa llegado saber agrupación saber parte provincia tirar petardo cerca asustar dejar bastante sordo recuerdo costar encontrar casa… creer acuerdo visualmente víde acuerdo día después único tema conversación cualquiera grupo todo investigación chabón recuerdo novio hermana exparejo entrevistar pertenecer grupo libertario manejar así lugar hacer mueble político libertario macrismo contratar encargo mueble súper caro entonces creer investigación complotado partido parte coima chabón extremista acuerdo nota salir revista anfibio escribir persona hacer frío acuerdo," Recuerdo, que me volví de la facu y en el bondi habían dos chicas hablando como de algo medio trágico y yo no entendía bien qué, y recuerdo haber visto un vídeo que estaban reproduciendo en su celular pero bien de reojo y yo no sabía bien qué pasaba. Yo estaba yendo a lo de mi ex novia, recuerdo llegar y enterarme. La mamá estaba bastante mal porque era partícipe de su gobierno y bueno la apoyaba mucho y mi ex novia también. Y recuerdo que ella quería ir a la casa de Cristina Kirchner y yo la acompañé y nos quedamos una hora afuera. Recuerdo cruzarme con gente que fue a mi colegio o amigos de amigos. Recuerdo que volviendo a la casa habían llegado  no sé qué agrupación de no sé qué parte de la provincia, y tiraron un petardo muy cerca mío que me asustó mucho y me dejó bastante sordo. Recuerdo también que nos costó encontrar la casa… creo, o a mí. Me acuerdo visualmente del víde. Y me acuerdo como días después era el único tema de conversación en cualquier grupo, y toda la investigación que hubo sobre el chabón. Recuerdo que el novio de la hermana de mi expareja lo entrevistó, y que pertenecía a un grupo de libertarios y que manejaba algo así como un lugar que hacía muebles y que un político o libertario del macrismo lo contrató a él por unos encargos de muebles súper caros. Entonces se creía en la investigación que estaba complotado con un partido y eso fue parte de una coima. Y que el chabón era muy extremista y me acuerdo un poco de la nota que salió de la revista anfibia que escribió esta persona. 
Hacía mucho frío, me acuerdo.","[0.54895186 0.52975946 0.56305457 0.52456182 0.54640507 0.53045247
 0.54467032 0.55888525 0.51900849 0.46097468 0.54027802 0.34819847]","[0.9238859408749588, 0.8915851327945479, 0.9476207893859034, 0.8828374969775973, 0.9195996793204898, 0.8927514595224528, 0.9166801082209416, 0.940603832427354, 0.873491240299299, 0.7758203529322963, 0.909287857579453, 0.5860180012353332]"
3,4.0,intento asesinato cristino fernandez kirchener cursar física 3 0 infinito práctica diego márquez sentado creer segundo fila tercero asiento contar derecha cerca puerta mirar pizarrón cerca derecho siempre sentir ahí cuatrimestre noche enterar momento saber pasado alguno momento clase abrir red social instagram celular noticia clase dar mucho importancia llegar casa salir alrededor nueve medio noche llegar casa televisión prendido enterar prender televisión ahí abrir red social ninguno tipo prohibición poner ver verdad entender bien pasar creer mundo recordar video salir cristina auto alguien atino disparar tiro fallar recordar televisión decir periodista intentar matar el salir bala recordar bien detalle frase recordar varios canal repetir creer ver c5n acuerdo detalle probable ver c5n si mucho confusión verdad evento acuerdo detalle nube pasar recuerdo después evento siguiente clase físico profesor preguntar cómo che tú decir nadie avisar clase querer matar vicepresidenta parecer reto tener decir cuanto asesinato todo noche preocupado cena familiar recordar haber plantear tema familia sentado mesa mismo lugar siempre charlar tema celular mesa impactante conte papa papa sabio contar mama último volver creer entrenar poder creer mucho simpatía cristino entonces dar mucho relevancia papá si simpatía si preocupar parecer cosa dejar totalmente boquiabierto saber pensar decir chau democracia terminar ahora hermano interés política entonces así tema parecer así hecho hollywood entonces suponer impactar quizás repercusión charlar mesa varios día pensar tema justo entonces escuchar radio ver tele entonces medio aislado situación noticia día varios día después pendiente tema poner volver prender tele ver onda cómo enterar señor intentar matar el novia aparentemente involucrado masomer semana seguir tema parecer shockeante shockeante escuchar medio después mañana siguiente si escuchar radio escuchar futurock escuchar futurock después mañana siempre ratito noche casa prender tele papa si shockeante,"Cuando fue el intento de asesinato a Cristina Fernandez de Kirchener. Yo estaba cursando Física 3, en el 0 más infinito. Estaba en la práctica con Diego Márquez. Estaba sentada creo que en la segunda fila, tercer asiento, contando desde la derecha, estaba más cerca de la puerta, que mirando al pizarrón está más cerca de la derecha, siempre me senté ahí durante todo él cuatrimestre. Era de noche, y yo no me enteré en ese momento, sé que había pasado algo porque en algún momento de la clase abrí una red social,  Instagram, con el celular, y había algo, había noticia de algo, pero yo estaba en clase, no le dí mucha importancia. Cuando llegué a mi casa, salimos alrededor de las nueve y media de la noche. Cuando llego a mi casa la televisión ya estaba prendida, y me fui enterando prendiendo la televisión, ahí sí ya abrí las redes sociales sin ningún tipo de prohibición, y me puse a ver. La verdad que no entendí muy bien lo que estaba pasando, creo que estaba como todo el mundo. Recuerdo el video, en el cual está saliendo Cristina del auto, y alguien atina a disparar, y el tiro falla. Recuerdo en la televisión diciendo a los periodistas que habían intentado matarla y que no había salido la bala. No recuerdo bien  los detalles de la frase, pero recuerdo que en varios canales lo estaban repitiendo, creo que yo estaba viendo C5N, pero no me acuerdo los detalles, pero es muy probable que haya estado viendo C5N. Si, mucha confusión, la verdad que fue un evento como que no me acuerdo tanto los detalles, porque fue como una nube que pasó. Recuerdo que ya después de este evento, la siguiente clase de física, el profesor nos preguntó cómo, che ustedes no me dijeron nada, nadie me avisó que durante la clase quisieron matar a la vicepresidenta. Parecia un reto pero tenia sentido lo que decía. Pero en cuanto al asesinato, estuve toda la noche muy preocupada, en la cena familiar recuerdo haber planteado el tema, estar mi familia sentados todos en la mesa en los mismos lugares de siempre, charlando el tema con el celular en la mesa porque era muy impactante, se lo conte a mi papa, que mi papa ya lo sabia, se lo conté a mi mama, que fue la última que volvió, porque creo que estaba entrenando. Ella no lo podía creer, ella no tiene mucha simpatía por Cristina, y entonces no le dio mucha relevancia. Pero con mi papá que si, tiene simpatía, si nos preocupamos, nos parecía como una de esas cosas que te dejan totalmente  boquiabierto, no sabes qué pensar, decis, chau la democracia se terminó, que hay ahora. Mi hermano no tiene mucho interés por la política, entonces también, así que es un tema que le pareció así como hecho muy Hollywood, entonces supongo que le impactó en ese sentido, pero no tanto como en quizás repercusiones, pero se que se charló durante de la mesa. Y que yo estuve varios días pensando en el tema. Justo para ese entonces yo no estaba escuchando mucho la radio ni viendo la tele, entonces estaba como medio aislada de la situación noticias, pero desde ese día y varios días después  estuve muy pendiente del tema , me puse. Volvía, prendia la tele a ver qué onda, cómo fue. Me fui enterando de este señor, este que intentó matarla, de su novia que aparentemente estuvo involucrada. Y por masomenos una semana seguí el tema, porque me pareció shockeante, muy shockeante. Escuché algunos medios después de eso, a la  mañana siguiente. Yo si escucho radio, escucho Futurock. Escuché Futurock después de eso, al mañana o siempre que tuve un ratito, y a la noche cuando estaba en casa prendía la tele para, con mi papa, pero si fue como muy shockeante.   ","[0.56150247 0.57056164 0.56290174 0.57081886 0.54196154 0.53297081
 0.54485617 0.54755237 0.55006365 0.53513991 0.55242474 0.52606396
 0.52969049 0.51750756 0.52754614 0.48206763 0.5013325  0.53780846
 0.49183668 0.51693238 0.50833094 0.51116472 0.4766813  0.35260624
 0.58498216]","[0.9319864640167589, 0.9470229521640089, 0.9343089770654451, 0.9474498850667358, 0.8995522667087767, 0.884629372350831, 0.9043567946815968, 0.9088319645803606, 0.9130002078565024, 0.8882296702715534, 0.9169191615959196, 0.8731653282462013, 0.8791846782435758, 0.8589633344792569, 0.8756254651448417, 0.8001398514460416, 0.8321158401278411, 0.8926589428224642, 0.8163545948521266, 0.8580086585501923, 0.8437319137872619, 0.8484354513623069, 0.7911995800333342, 0.5852587576112255, 0.9709582373318956]"
4,5.0,buen acuerdo novia creer leer primero vez escuchar pensar medio chiste noche parecer ver noche dar bola tarde así recordar si tarde mismo noche día siguiente ver noticia serio impactar fuerte poder creer vivir buen momento preciso acuerdo bien hacer acuerdo particular decir si acuerdo día cercano fecha movilización casa cristino demás acuerdo amigo contar que … tergiversar recuerdo acuerdo día,"Bueno, me acuerdo que estaba con mi novia, creo, y lo leímos por primera vez o lo escuchamos y pensamos que era medio un chiste. Fue a la noche me parece, lo vimos de noche y como que no le dimos ni bola o sobre la tarde, algo así. No recuerdo si fue más tarde esa misma noche o el día siguiente, como que vimos la noticia en serio, nos impactó como fuerte, no lo podíamos creer mucho ¿Qué más? Lo que yo vivía. Bueno en el momento preciso, no me acuerdo bien que estaba haciendo, pero estaba con ella, porque me acuerdo de esta en particular, que decía. Si me acuerdo como días cercanos a esa fecha como que hubo movilizaciones a la casa de Cristina y demás. Me acuerdo con un amigo me contó que… no, estoy tergiversando recuerdos, no me acuerdo nada más de ese día, no.",[0.56455723 0.58815794 0.53502807 0.66253289 0.6207059  0.60436368],"[0.9846207932077966, 1.0257818020782126, 0.9331202059552927, 1.1554960521422226, 1.0825473501248966, 1.0540455591875018]"
5,6.0,intento asesinato cristino fernández kirchner acuerdo enterar después si acuerdo enterar twitter enterar acuerdo gente bastante conmocionado sorprendido bastante noticia conmocionante acuerdo ahora menos vez acuerdo bastante particular razón cual enterar justo momento después alberto sacar anuncio día siguiente ir ver asueto buen ir ser día laborable acuerdo haber yo juntar gente dos lado moneda gente decir chanta lado gente medio llorar acuerdo personalmente medio sorprendido pasar acá saber si acuerdo tener sentimiento así tanto fuerte poder ser siquiera acuerdo bien época año haber ser menos hacer año así poder haber ser agosto año pasado acuerdo bien," Intento de asesinato a Cristina Fernández de Kirchner. Lo que me acuerdo es que me enteré un poco después, no se si me acuerdo me enteré por twitter o por donde me había enterado. Me acuerdo que la gente estaba bastante conmocionada, a mí me había sorprendido bastante, también como que fue una noticia más conmocionante. Lo que sí me acuerdo ahora, por lo menos esta vez, me acuerdo bastante en particular que una de las razones por las cuales me había enterado era porque justo un momento después, Alberto, había sacado el anuncio de que el día siguiente iba a ver asueto, bueno no iba a ser un día laborable. Lo que me acuerdo también es haberme juntado con gente como que como que los dos lados de la moneda, gente que decía no, todo chanta y por otro lado gente que estaba como medio llorando. Yo me acuerdo que personalmente estaba como medio sorprendido como que pase eso acá. Pero no sé si me acuerdo tener un sentimiento así tan fuerte, puede ser que sí. Ni siquiera me acuerdo bien de qué época del año, tuvo que haber sido más o menos hace un año así que pudo haber sido agosto del año pasado, pero no me acuerdo bien. Nada eso nada.","[0.53864653 0.55511623 0.50536397 0.46550225 0.48715995 0.39848785
 0.29517214 0.26806748]","[0.9269302275642987, 0.955272124122636, 0.8696559053670541, 0.8010598460852586, 0.8383295042165236, 0.6857380657033396, 0.5079471666142075, 0.4613040935580508]"
6,7.0,hacer cumplir año intento asesinato cristino kirchner acuerdo haber él conversar clase didáctico general acuerdo haber él charlar profesorado asunto política conectado educación entonces dado varios pregunta cosa dicho estudiante tema decir importar ver materia cosa enseñar guiar cómo tratar tema pensar asunto allá favor acercar acto bastante antidemocrático mensaje odio violencia sociedad acuerdo primero pensar mandar video parecer editado súper raro primero reacción decir menos bastante trucho armar debate grupo teatro así buen hablar bastante debate grupo allá si cierto ir conclusión bonito pasar pesar odio persona poder llegar tener día enterar acuerdo acuerdo día anterior poco persona enterar saber si hacer asueto feriado nacional tele prendido cadena nacional alberto fernández salir decir especie atentado hacia vida cristino mundo todo persona levantado temprano básicamente casi único saber ir haber clase acuerdo después si mezclar cosa didáctico ser acuerdo si semana anterior mismo semana acuerdo bien día 2 septiembre grupo día después claramente enterar día después saber cosa extraño menjunir hecho acuerdo bien cuándo pasar," Hace poco se cumplió un año el intento de asesinato de Cristina Kirchner. Lo que más me acuerdo es de haberlo conversado en la clase de didáctica general. Me acuerdo de haberlo charlado porque como al estar en un profesorado son unos asuntos que la política está muy conectada con la educación. Entonces nos habían dado como varias preguntas o cosas que habían dicho las estudiantes sobre el tema, como diciendo que no les importaba, que tiene que ver esto con la materia, entre otras cosas. Y nada, como que nos estuvieron como enseñando, como guiando a cómo tratar estos temas y de qué pensábamos nosotros sobre el asunto. Que más allá de estar a favor o en contra, se acercaba a lo que era un acto bastante antidemocrático, o más que nada un mensaje más de odio y violencia de la sociedad. También me acuerdo que lo primero que pensé cuando me mandaron el video, que parecía editado porque era como súper raro todo. Y fue la primera reacción que tuve, fue decir más o menos que era como algo bastante trucho y nada, se armó como un debate en uno de mis grupos de teatro, así que nada. Y bueno también se habló bastante debate en otros grupos también, que más allá de si era cierto o no, como que va a la conclusión de que es algo que no está bonito que pase, a pesar del odio que a una persona le pueda llegar a tener. El día que me enteré fue, me acuerdo, no, yo me acuerdo que fue el día anterior, fue de las pocas personas que había enterado que había, no sé si se hizo asueto, feriado nacional porque estaban con la tele prendida, cadena nacional. Alberto Fernández sale diciendo que hubo como una especie de atentado hacia la vida de Cristina y nada, todo el mundo, todas las personas se habían levantado temprano y yo era básicamente casi la única que sabía que no iba a haber clases. Pero nada, no me acuerdo después si eso. Mezclé las cosas, lo de didáctica había sido, no me acuerdo si la semana anterior o la misma semana porque no me acuerdo bien qué día fue, 2 de septiembre y lo de los grupos fue el día después, porque claramente nos enteramos todos el día después, no sé, una cosa extraña, tengo un menjunje de hechos que no me acuerdo bien cuándo fue que pasaron.","[0.63405453 0.61217575 0.62428297 0.58982982 0.60278776 0.59340467
 0.6335862  0.57554846 0.60522612 0.6021563  0.62081793 0.64254975]","[1.0365027119248507, 1.0007369993279327, 1.0205289286920354, 0.9642076176638472, 0.9853902498863191, 0.9700515004026511, 1.0357371209373147, 0.9408615764056247, 0.9893762882490169, 0.9843579859887139, 1.014864554925571, 1.050390039163904]"
7,8.0,pieza hacer trabajo historia enterar re tarde evento enterar terminar hacer trabajo hacer día levanté celular dar cuenta montón mensaje grupo facultad decir ir haber clase día pasado enojado nadie avisar terminar trabajo apurado pedo cansado,"Estaba en mi pieza haciendo un trabajo de historia y me enteré re tarde del evento. Me enteré cuando yo lo había terminado de hacer, era un trabajo que tenía que hacer para el otro día y levanté el celular y me di cuenta de que tenía un montón de mensajes en todos los grupos de la facultad diciendo que no iba a haber clases al otro día porque había pasado esto. Estaba enojada porque nadie me había avisado y había estado terminando un trabajo apurada al pedo. Estaba cansada.",[0.63589938 0.51630226 0.43517259],"[1.0956015658884997, 0.8895456979482396, 0.7497660476274909]"
8,9.0,"buen ir hacer nuevo mismo aclaración esperar pregunta repetido buen acuerdo vez venir acuerdo contar venir acordar realmente pasar menos vez venir contar acordar momento sustancialmente relevante poder volver contar mismo historia acuerdo casa buen decir haber hacer ejercicio decir tú hecho anteriormente fácil ordenar información buen acuerdo casa compu jugar dotar así comer hamburguesa the burger company pedido recomer hamburguesería si acaso escribir chat gabriel schwarzwald ir escribir grupo josefino decir ver pasar decir pasar buen empezar contar yo cristina kirchner querer matar sabat montiel saber cosa buen momento saber si saber exactamente quién autor capaz ahí confundir cronología buen chabón novia todo historieta cómo salir bala recámar pistola buen empezar discutir toque prender televisión pasar ínterin empezar chatear agus empezar preguntar "" che ver pasar "" decir desastre país saber cosa papelón acuerdo haber él decir estilo país así inviable presidente vicepresidente expresidente caminar así nomás seguridad alguien poder entrar arma gatillar él salir bala recámara saber decir si yo querés si yo querer matar presidente lado sentir dejar entrar saber cuánto cuadra redondo hacer así revisar mundo acuerdo sentir acuerdo vez pasado ahora buen acuerdo chatear toque familia mamá bastante indignado situación generar ninguno tipo… generar saber parecer mal deber pasar hecho cristina sino hecho alguno figura política deber caminar calle poder gatillar vergüenza país generar cosa buen acuerdo acuerdo haber él discutir varios grupo acuerdo creer chatear chat grupo grupo mati bastante enérgico hablar asunto buen pensar saber sonar martes saber","Bueno, voy a hacer de nuevo la misma aclaración que antes, esperaba más de una pregunta repetida. Bueno, de esto me acuerdo que la otra vez que vine, o sea, me acuerdo más de lo que te conté cuando vine de lo que me acordaba de lo que realmente pasó más o menos. La otra vez que vine te conté que no me acordaba mucho porque para mí no fue un momento sustancialmente relevante. Pero te puedo volver a contar la misma historia. Me acuerdo que estaba en mi casa. Bueno, algo que tengo para decir es que al haber hecho el ejercicio de decirte los hechos anteriormente, me es más fácil ordenar la información. Bueno, me acuerdo que estaba en mi casa, estaba con la compu jugando al Dota o algo así, y también estaba comiendo una hamburguesa de The Burger Company, me había pedido, te la recomiendo la hamburguesería por si acaso. Y me escribe un chat Gabriel Schwarzwald, y va a escribir por el grupo que teníamos con él y Josefina, y me dice, ¿vieron lo que pasó? Y yo digo, no, ¿qué pasó? Y bueno, empieza a contarme esto de que a Cristina Kirchner la quisieron matar, Sabat Montiel, no sé qué cosa. Bueno, en ese momento no sé si se sabía exactamente quién era el autor, capaz ahí se me confunde la cronología. Pero bueno, que estaba este chabón, que estaba la novia, toda la historieta, que cómo no salió la bala, que la recámara, que la pistola. Bueno, empezamos a discutir un toque y prendí la televisión y eso. Y algo que pasa en el ínterin de eso es que me empieza a chatear a Agus, y le empiezo a preguntar, “che ¿viste lo que pasó?”, que se yo. Y me dice, sí, que es un desastre este país, que no sé qué cosa. Y yo, no, sí, que es un papelón. Me acuerdo haberle dicho algo del estilo de que en otro país, como que no. Algo así como que sería inviable que un presidente o vicepresidente, expresidente o lo que sea, camine así nomás sin seguridad y que alguien pueda entrar con un arma, gatillarle, que no salga la bala de la recámara. No sé, digo, si vos querés, si vos quisieras matar al presidente de otro lado, siento que no te dejan entrar a no sé cuántas cuadras a la redonda para hacer algo así. O revisan a todo el mundo. Me acuerdo de eso. Siento que me acuerdo más que la vez pasada ahora. Y también, bueno, me acuerdo de chatear un toque con mi familia. Mi mamá estaba bastante indignada con la situación. A mí no me genera ningún tipo… no me genera nada, no sé, me parece que está mal, que no debería pasar, pero no por el hecho de que sea Cristina, sino por el hecho de que alguna figura política no debería caminar por la calle y que la puedan gatillar. Pero más que vergüenza del país, no me genera otra cosa. Y bueno, no me acuerdo mucho más. Me acuerdo de haberlo discutido con varios grupos y me acuerdo también, creo que chateamos, tuvimos un chat por el grupo, por nuestro grupo, que Mati estaba bastante enérgico hablando del asunto. Y bueno, nada más. Estoy pensando. No sé por qué me suena que era un martes, pero no sé.","[0.55542438 0.52240521 0.53062519 0.51560728 0.5306004  0.54104727
 0.53422649 0.51840157 0.53576853 0.53438328 0.51729121 0.50939312
 0.52318472 0.50238477 0.50993905 0.54828701 0.52977574 0.48739208
 0.51745484 0.52747632 0.52093299 0.52575517 0.49961225 0.47227899
 0.49700416 0.47784901 0.5171472  0.48782727 0.46881852 0.59771991]","[0.9442784968687599, 0.8881425230323193, 0.902117322384628, 0.8765853452113148, 0.9020751839971116, 0.9198359408431761, 0.9082399068984698, 0.8813359197386839, 0.9108615350307363, 0.908506461812104, 0.879448188022558, 0.8660206296214296, 0.889467767289033, 0.8541057151668947, 0.8669487622310706, 0.9321442362355163, 0.9006731769046027, 0.8286166066330614, 0.8797263803037767, 0.8967639233348726, 0.88563958762397, 0.8938377996553015, 0.8493921495080534, 0.8029227888398965, 0.8449581169682561, 0.8123924051048188, 0.8792033574336077, 0.8293564696875166, 0.7970396324848215, 1.0161852397456832]"
9,10.0,acuerdo momento enterar noticia rato tarde empezar hablar ver pasar decir ir ser feriado pasar ahí empezar enterar empezar decir tema grande dicho 11 noche día siguiente feriado día siguiente cursar mañana tipo visto visto tanto cierto feriado tomar facultad parámetro acuerdo mandar mail docente ver si alguno saber 11 noche si alguno responder grupo parecer empezar hacer debate tipo ver pasar cada dar postura medio chocante che pasado si pasar si ser posta asesinato acuerdo momento mayor preocupación ser si cursar siguiente después hablar tema siguiente día ayudante perdido clase dar tiempo decir che fijar él acabar pasar intentar hacer pasar fuerte acuerdo,"No me acuerdo mucho del momento en sí, me enteré de la noticia un rato más tarde. Porque se empezó a hablar de que vieron lo que pasó, que están diciendo que va a ser feriado y yo estaba como ¿qué? ¿qué pasó? Y ahí me empecé a enterar, me empezaron a decir, el tema más grande era que se había dicho como a las 11 de la noche que el día siguiente era feriado, yo el día siguiente cursaba a la mañana y era tipo ¿lo habrán visto?, ¿no lo habrán visto?, ¿qué tan cierto será esto del feriado?, ¿qué tomará la facultad como parámetro? Me acuerdo de mandar mail a todos los docentes para ver si alguno, no sé, eran las 11 de la noche, si alguno respondía y nada, que en grupos me parece que se empezó a hacer como debate, tipo ¿vieron lo que pasó? Cada uno dando su postura, como que medio chocante, como, che, qué hubiera pasado si hubiera pasado esto, si hubiera sido posta un asesinato. Pero me acuerdo que en el momento la mayor preocupación había sido si cursaba al siguiente o no, y después sí se habló más del tema los siguientes días, más un ayudante de los que tuvimos, que habíamos perdido clases, como que dio un tiempo para decir, che, fíjense lo que acaba de pasar, lo que intentaron hacer, lo que pasó, es algo fuerte y nada. Pero nada, me acuerdo más que nada de eso.","[0.61130978 0.6082407  0.62429219 0.56191728 0.57737472 0.5502874
 0.61223698]","[0.9834336302465464, 0.9784963028512563, 1.0043188507365397, 0.9039743315269253, 0.9288412006582676, 0.8852649599098971, 0.984925235042075]"
