Sujetos,lematizado,texto_crudo,coherencia_evolucion
1.0,buen hacer venir ayer noche quedar amiga dormir hoy levantar desayunar dar 24000 vuelta casa uno reunión trabajo saber hacer hora almorzar comprar comida comprar tarta rico berenjena gustar berenjena buen después cambiar venir bañar saber salir ir venir eitan eitar siempre traer auto decir facuar llegar poder entonces venir solo tomar trencito llegar acá crucir facu quedar hablar circuito cual entender acá recién hacer teo 1 mientras esperar preparar," Bueno, ¿qué estaba haciendo antes de venir? Ayer a la noche se había quedado una amiga a dormir, hoy nos levantamos, fuimos a desayunar algo. Di 24.000 vueltas por mi casa porque tenía unas reuniones del trabajo, yo que sé. Y cuando se me hizo la hora de almorzar fui a comprar comida, me compré una tarta, muy rica, de berenjenas, no me gustan las berenjenas, pero bueno. Después me cambié para venir, me bañé, yo que sé. Y cuando estaba por salir, que iba a venir con Eitan, que Eitan siempre me trae en el auto, me dice, Facu, no llego, no puedo. Entonces me vine solo, me tomé el trencito. Llegué hasta acá, me crucé con el otro Facu, y se quedaron hablando de circuitos de los cuales no entendí nada Y acá estamos, recién estaba haciendo Teo 1 mientras esperaba que me prepararas todo esto.
","[0.5202335332121167, 0.585509866476059, 0.48551868796348574, 0.5220106542110443, 0.5245491166909536, 0.45357221364974976, 0.5510067343711853]"
2.0,buen venir biblioteca francés quedar edificio allá enfrente recapitular atrás despertar desayunar saber ir buen desayunar yogur mango banano avena salir tarde salir 15 minuto tarde combi vino lleno llegar medio hora tarde clase primero clase clase cuántico ver formalismo matemático notación bracket salir clase intentar tomar nuevo camino venir acá facultad enalt francés bastante amplio acá tardar camino así llegar tarde buen francés ver verbo irregular tipo c final cómo decir buen importar ver después ahí empezar caminar buscar lugar cual… buen quedar hablar compañero retrasar poquito decir buen llegar buscar lugar poder tomar él tranquilo comprar quesadilla filo ahí venir acá arquitectura primero enalt cartelito decir poder hablar entonces venir acá preguntar persona dónde quedar biblioteca guiar acá básicamente ahí buen sentir acá poner estudiar," Bueno, o sea, antes de venir a la biblioteca, tuve francés que queda en el edificio que está allá enfrente. Recapitulando un poco más atrás, me desperté, desayuné, no sé qué tanto tengo que ir, pero bueno. Desayuné, yogur con mango, banana, avena. Salí un poco tarde, salí como 15 minutos tarde. Y la combi vino llena, llegué media hora tarde a la clase. Mi primer clase fue la clase de cuántica. Estábamos viendo formalismo, matemática, notación de brackets y todo eso. Al salir de la clase intenté tomar un nuevo camino para venir acá a la facultad de la ENALT, donde tengo francés. Porque es bastante amplio todo acá. Y nada, tardaba más el camino, así que también llegué tarde. Bueno, en francés vimos los verbos irregulares, tipo que tienen como el C al final, ¿cómo se dice? Bueno, no importa vimos eso. Después de ahí, nada, empecé a caminar, a buscar un lugar en el cual… bueno, me quedé hablando con los compañeros y por eso me retrasé un poquito. Y dije, bueno, no llego, busco un lugar donde pueda tomarla tranquilo y nada. Fui, me compré una quesadilla en filo y de ahí vine para acá, en arquitectura. Primero fue a la de la ENALT, pero había un cartelito que decía que no se podía hablar, entonces vine acá. Y pregunté a personas dónde quedaba la biblioteca y me guiaron para acá. Eso fue todo, básicamente. Ahí está. No, bueno, o sea, me senté acá y me puse a estudiar. 
","[0.46650959786615875, 0.45058805743853253, 0.45745095084695253, 0.4572241650894284, 0.4420619656642278, 0.4633131282670157, 0.4542237061720628, 0.41706594079732895, 0.48076893253759906, 0.4782740592956543, 0.45547040303548175, 0.4483605697751045, 0.38660518399306704, 0.39871077984571457, 0.4123122006654739, 0.41406679153442383, 0.325932373603185, 0.5282883793115616, 0.6220030784606934]"
3.0,hoy venir levanté cama desayunar dos tostada huevo revolver café café máquina romper hacer ver celu rato procrastiné salida pensar ir llegar tarde bajar bondi puerta casa subir último bondi quedar bondi mirar partida ajedrez persona jugar ajedrez celu venir acá chica colegio dos tres año chica conocer subir bondi saludar ver lejos nomás amiga corino creer nombre cami bajar caminar aula teo 2 empezar teórico super lento recreo hablar amigo ir kiosco volver subir vez teórico terminar aburrido lento ir pabellón 1 tomar sol práctico hablar amigo julian después ir práctico clase entretenido mirar instagram cada tampoco organizar cómo venir acá yo corina venir caminar ver lejos amigo amigo hablar recreo tampoco saludo seguir caminar acá esperar puerta esperar corino puerta," Hoy es antes de venir,  me levanté de la cama, desayuné dos tostadas con huevo revuelto y un café. Café con no de máquina porque se me rompió ¿Y qué más hice? Vi al celu un rato, procrastiné a la salida pensando que iba a llegar tarde, bajé estaba el bondi en la puerta de mi casa, subí último al bondi y me quedé en el bondi mirando una partida de ajedrez de una persona que estaba jugando al ajedrez en el celu. Antes de venir acá, también había una chica que fue a mi colegio dos, tres años más chica que conocía que subió al bondi y no la saludé la vi de lejos nomás también. Estaba una amiga de Corina que creo que su nombre era Cami. Y bajé, caminé al aula de Teo 2. Empecé la teórica super lenta, recreo hablo con amigos, vamos al kiosco, volvemos a subir, otra vez la teórica, termina, aburrida lenta y vamos a fuera del pabellón 1, a tomar sol, antes de la práctica. Hablo con un amigo, Julian, y después vamos a la práctica, una clase más entretenida. Miro instagram cada tanto porque tampoco tanto y organizó cómo venir acá con vos, con Corina, y vengo caminando, veo de lejos a un amigo del amigo con el que hablé en el recreo y tampoco lo saludo y sigo caminando hasta acá y te espero en la puerta, espero a Corina en la puerta.
","[0.6118119210004807, 0.5474187348570142, 0.5737137198448181, 0.5944605469703674, 0.5478851795196533, 0.5375850796699524, 0.5447087287902832, 0.5883066654205322]"
4.0,buen venir levanté tipo 7 mañana alarma minuto alarma hacer fiaca 7 14 decir levantar yo pegar baño mañana después eso… desayunar después desayunar mientras tomar café leche hacer tp materia llamar oceanografía satelital hacer ajuste presentación hacer rato mientras desayunar todo lista sacar perro cuanto perro dignarar levantar él salir pasear así rato solo silencio suerte cocina cuanto perra levantar obligar salir pasear perro dar fiaca salir pasear sacir pasear plaza dar vueltita ahí volver después guardar comida almuerzo mochila cargar termito agua mandarina caminar parada colectivo hacer día colectivo así esperar siguiente tomar colectivo cobrar barato chofer ver decir buen día cobrar boleto barato llegar acá facultad hacer rato venir acá crucir amiga dejar cargador 15 minuto hacer tiempo quedar estudiar materia ir atrasadisimo todome hacer skin care tomar tiempo vez hermano baño entonces hacer mitad momento mitad medio fiaca detalle plaza perra siempre suelto hoy asustar poquito rottweiler suelto pensar perro malo grande perra chiquito así cuidado mismo señor crucir ir plaza crucir volver remera sorperdir montón sentir hacer frío saber si remerar hoy comer guiso lenteja igual ayer guardar congelado encantar guiso lenteja detalle así poder acordar viajar colectivo encontrar sticker pegar dos corazón parecer curioso así sacir foto así detalle creer," Bueno, antes de venir me levanté tipo 7 de la mañana sin alarma, un minuto antes de la alarma. Hice fiaca como hasta las 7 y 14 hasta que digné a levantarme. Me pegué en un baño a la mañana. Después de eso… fue antes de desayunar. Después desayuné. Mientras me tomaba un café con leche, estaba haciendo un TP de una materia que se llama Oceanografía Satelital. Tenía que hacer unos ajustes de una presentación que tengo que hacer, y estuve un rato con eso mientras desayunaba, ya toda lista para sacar a mi perro en cuanto mi perro se dignara a levantarse para salir a pasear. Así que estuve un rato con eso, sola, en silencio, por suerte, en la cocina. Y en cuanto mi perra se levantó la obligué a salir a pasear, porque es esos perros que le da fiaca a salir a pasear. La saqué a pasear, fuimos a la plaza, dimos una vueltita por ahí y volvimos. Después de eso me guardé la comida y el almuerzo en la mochila. Me cargué mi termito de agua, la mandarina. Fui caminando a la parada colectivo, como hago todos los días. Se me fue el colectivo, así que tuve que esperar al siguiente. Y eso, me tomé colectivo, me cobró más barato el chofer, se ve que por decir buen día cobran el boleto más barato. Y llegué acá a la facultad hace un rato y antes de venir para acá me crucé con una amiga que le tenía que dejar el cargador. Y los 15 minutos que estuve haciendo tiempo me quedé estudiando otra materia, porque voy atrasadisima. Y eso es todo.
Me hice el skin care. Me tomó más tiempo que otras veces, porque mi hermano estaba en el baño, entonces tuve que hacer la mitad en un momento, la otra mitad en el otro. Y fue medio un fiaca. ¿Qué más? Otro detalle. Cuando estaba en la plaza con mi perra, que yo siempre la suelto, hoy me asusté un poquito porque había un rottweiler suelto y yo no soy de pensar que los perros son malos, pero este es muy grande y mi perra es muy chiquita. Así que tuve un poco de cuidado con eso. Al mismo señor que me crucé yendo a la plaza, me lo crucé volviendo. Estaba en remera, lo cual me sorperdí un montón, porque no siento que haga frío, pero no sé si estaba para estar en remera. Y hoy estoy comiendo guiso de lentejas igual que ayer, porque me guardé congelado, porque me encanta el guiso de lentejas. Y otro detalle, así que me pude acordar. Viajé en el colectivo y me encontré con un sticker pegado de los dos corazones. Me pareció muy curioso, así que les saqué una foto. Así detalle. Creo que nada más.
","[0.49970887461677194, 0.4947687719137438, 0.48165377924839653, 0.47718387071428625, 0.4637900037424905, 0.4833085669411553, 0.4953930074205765, 0.46168272018432616, 0.4777970165014267, 0.4644388077051743, 0.4936081191355532, 0.4670104043824332, 0.46578439995646476, 0.470395711691756, 0.482189589076572, 0.4791159971671946, 0.49044966138899326, 0.4870102067788442, 0.4743653450693403, 0.47507983904618484, 0.46544281393289566, 0.46511643854054535, 0.4488455817103386, 0.4854753481017219, 0.4472877010703087, 0.43601963775498526, 0.4805169105529785, 0.42676498293876647, 0.47324924916028976, 0.42765022317568463, 0.419400155544281, 0.4834747314453125]"
5.0,"ok venir levanté 67 mañana insomnio últimamente levanté entrada bañar después desayunar desayunar pera mucho agua cólico renal después comer porción brownie regalar después sentir escritorio estudiar paper aprender laboratorio 6 7 llevar bastante tiempo terminar gustar así meter 11 poner cocinar comer 11 medio comer salchicha puré instantáneo bien sorprendentemente después después hacer mochila pretender irmer bondi bajar auricular puesto ir bondi llegar abajo dar cuenta medio hora entonces inflé bici agarrar bici subir bici sacir buzo venir cambiar ligeramente ruta variar incómodo romper bicicleta así ir regular alto asiento trayecto frener varios vez dar cuenta ahora viento primaveral matar respirar aire bicicleta agarra mucho alergia tortuoso buen llegar facultad justo crucir amiga después venir acá crucir papá charlé contar omitir transcurso mañana levanté bañar comer charlé papá escuchar radio empezar titular decir "" sh sh "" querer escuchar titular titular decir titular sino divagar entonces enojar reír a eh buen acuerdo detalle mientras estudiar perro empezar ladrar desquiciado entender entonces salir jardín ver hacer solo ladrar romper bola inflé bici compresor casa llenar él bomba vacío chupar aire prender él creer roto funcionar todavía buen llegar vinir directamente acá sino quedar celular buscar amiga buscar medicamento detalle sumar","Ok, antes de venir me levanté a eso de las 6-7 de la mañana, porque tengo insomnio últimamente. Me levanté y de entrada me bañé, después fui a desayunar, desayuné una pera y mucha agua, porque tengo cólicos renales. Después comí una porción de brownie, que me regalaron. Después me senté en mi escritorio a estudiar un paper que tengo que aprender para laboratorio 6 y 7, me llevó bastante tiempo pero me terminó gustando así que le metí. A eso de las 11 me puse a cocinar para comer a las 11 y media. Comí salchichas con puré instantáneo, estaba muy bien sorprendentemente. Después después hice la mochila, pretendía irme en bondi, bajé con los auriculares, todo puesto como para ir en bondi y cuando llegué abajo me di cuenta que estaba medio sobre la hora, entonces inflé la bici, agarré la bici, me subí a la bici, me saqué el buzo y vine. Cambié ligeramente la ruta, para variar. Estoy muy incómodo porque se me rompió la bicicleta así que tuve que ir regulando el alto del asiento en el trayecto, o sea frené varias veces. También me di cuenta que ahora, con el viento primaveral o que, me mata respirar ese aire en la bicicleta y me agarra mucha alergia, lo cual fue muy tortuoso también. Pero bueno, llegué a la facultad y justo me crucé a una amiga y después vine para acá. 
Me crucé a mi papá, charlé con él. Algo que no conté, pero porque lo omití, es que en el transcurso de la mañana entre que me levanté, me bañé, comí, charlé un poco con mi papá. Él estaba escuchando la radio y cuando empezaron los titulares, digo, “sh sh”, como que quería escuchar los titulares. Y los titulares, no decía los titulares, sino que divagaban, entonces se enojó y yo me reí. ¿Qué más? Ah, bueno, también me acuerdo de otro detalle, mientras estaba estudiando mi perro empezó a ladrar como un desquiciado y no entendía por qué, entonces salí al jardín a ver y no estaba haciendo nada, solo ladraba para romper las bolas. ¿Qué más? Cuando inflé la bici, tengo un compresor en casa y tuve que llenarlo, es como una bomba de vacío que chupa aire y hay que prenderla. Creo que está roto, pero funciona todavía. Bueno, cuando llegué, no vinimos directamente para acá, sino que me quedé en un celular porque fui a buscar, mi amiga fue a buscar medicamento y eso. Detalles que estoy sumando.
","[0.5466283063093821, 0.5385467320680618, 0.5048068244206277, 0.5070333729187647, 0.5054601448423722, 0.5195096731185913, 0.49116455515225727, 0.48709084732191904, 0.4791539953305171, 0.4946431914965312, 0.48810910365798255, 0.49819120168685915, 0.4782792892720964, 0.48361172899603844, 0.46738650117601666, 0.4644557485977809, 0.46655834913253785, 0.5035391449928284, 0.4505463143189748, 0.38026629388332367, 0.475588858127594]"
6.0,buen venir acá primero mañana levanté hacer uno tostada arrope chañar venir reunión tesis aprender hacer par cosa menos orientar yo seguir cosa hacer almorcé comer pollo puré saber si bien decir detalle comer pollo puré arreglar cosa clase suponer momento empezar todavía venir acá olvidar sticker ir traer ir traer sticker," Bueno antes de venir acá. Yo primero a la mañana me levanté hice unas tostadas con arrope de chañar. Vine a una reunión de mi tesis, que tengo que aprender a hacer un par de cosas y más o menos orientarme como tenía que seguir con las cosas que estaba haciendo. Almorcé, me comí un pollo con puré, no sé si está bien decir tanto detalle, pero me comí un pollo con puré y arreglé un poco las cosas. Me fui a la clase en la que se suponía que tenía que estar en este momento, no había empezado todavía, me fui antes y vine hasta acá. 
Me olvidé de los stickers que te iba a traer, iba a traer unos stickers. 
","[0.47873595356941223, 0.4600360170006752, 0.4117949108282725, 0.45077967643737793, 0.5376152992248535]"
7.0,buen venir hacer mucho cosa levanté levanté 7 mañana sueño vigilia entonces empezar tener especie pensamiento saber si despertar si pensar pasado después dar cuenta sueño así proceder dormir hora levanté 8 mañana esperar minuto levantar yo cama hacer muchísimo frío salir cama poner pantalón pijama dorir pantalón bajar escalera agarrar cajita dar él pastilla perro cortado pastilla agarrar pastilla cortar él darsela subir decir ir baño baño paso volver bajar preparar agua decir mamá acostado levantar ir tomar mate ahora ahí poner agua subir vuelta perro empezar rascar bajar sentir empezar insistir querer upa agarrar hacer mimo decir mamá traer cosa caliente medialuno así desayunar 10 dar pastilla perro tomar mucho pastilla así vez cortar pastilla insistir él coma anterior gustito comida así buen insistir él así después subir vuelta habitación empezar preparar cosa final físico dar vencer así poner yo cosa claro organizar yo agarrar libro empezar ver quién demonio ir rendir sentir cama hermana diso cie instagram dar cuenta hacer 11 decir dio cambiar cambiar elegir ropa calentito así después calentar bajar cuatro empanada sobrado día ayer después volver subir disociar mirar rato mamá decir si venir decir ir tarde hacer menos 12 mediodía después venir papá después acuerdo hacer lapso volver interactuar perro subir escuchar musiquita baño tipo salir casa después buen tomar camino largo llegar decir salir temprano poder salir horario así decir buen llevar cosa estudiar rato listo así esperar tren momento justo faltar seis minuto llegar así esperar esperar camino buen hacer frío gran flauta hoy así caminar entrar calor esperar pasar seis minuto parte adelante ahí bajar colegial caminar dos cuadra esperar colectivo siquiera esperar milagro llegar justo llegar parada hermoso decir buen frío espantoso ir morir ir calentito además asiento disponible así 10 10 después bajar pabellón 1 crucir leo hablar rato acompar baño acompar 2 ver ver si poder votar gente codep saber dónde demonio votar así decir buen ir ir biblioteca poner estudiar rato hacer 3 media 3 cuarto menos cori mandar mensaje decir venir tarde esperar mensaje así vez pasado atrasar así buen ahora acá maldito,"Bueno, qué antes de venir, hice muchas cosas, me levanté. Me levanté a las 7 de la mañana y estaba entre el sueño y la vigilia, entonces empecé a tener como una especie de pensamientos en donde no sabía si estaba despierta y si lo que estaba pensando había pasado o no. Después me di cuenta que era todo un sueño. Así que procedí a dormir una hora más. Me levanté a las 8 de la mañana. Esperé un minuto para levantarme de la cama porque hacía muchísimo frío. Salí de la cama, me puse los pantalones de pijama, porque sí, duermo sin pantalón. Bajé las escaleras. Agarré la cajita para darle la pastilla al perro. No estaba cortada la pastilla. Tuve que agarrar la pastilla, cortarla, dársela. Lo subí. Le dije que vaya al baño. Fui al baño yo también de paso. Volví a bajar. Preparé el agua. Le dije a mi mamá que estaba acostada, levantate que vamos a tomar mate. Ahora, ahí sí puse el agua. Subí de vuelta porque el perro empezó a rascar. Lo bajé. Me senté. Me empezó a insistir, como que quería estar a upa. Lo agarré, le hice mimos. Le dije a mi mamá que traiga las cosas y que me caliente una medialuna. Así que nada, estuve desayunando hasta las 10. Le tuve que dar la otra pastilla al perro porque toma muchas pastillas, así que otra vez, le corté la pastilla. Tuve que insistirle como para que la coma porque esa no era como la anterior que tenía como gustito a comida. Así que bueno, tuve que insistirle un poco. Así que nada, después subí de vuelta a mi habitación y empecé como a preparar las cosas del final de física que tengo que dar antes que se me venza. Así que me tuve que ponerme las cosas en claro, entre organizarme, agarré el libro y empecé como a ver con quién demonios lo iba a rendir. Me senté en la cama de mi hermana, disocie un poco. Estuve en Instagram hasta que me di cuenta que se hicieron las 11 y dije, Dios, me tengo que cambiar, me cambié. Elegí la ropa más calentita que tenía. Así que después, me calenté, bajé, cuatro empanadas que habían sobrado el día de ayer. Después de eso volví a subir, estuve disociando un poco más. Estuve mirando a la nada un rato hasta que mi mamá me dijo si venía con ella o no. Yo le dije que no, que iba más tarde. Y se hicieron, eso era más o menos las 12 del mediodía. Después vino mi papá. Después no me acuerdo qué hice, lapso. Volví a interactuar con mi perro. Lo subí, escuché un poco de musiquita. Fui al baño y tipo una salí de mi casa. Y después, bueno, tomé el camino más largo para llegar porque dije, estoy saliendo muy temprano, pero no podía salir en otro horario. Así que dije, bueno, me llevo las cosas, estudiaré un rato y listo. Así que nada, esperé el tren. En ese momento justo faltaban seis minutos para que llegué, así que lo esperé. Pero yo no espero, yo camino, porque bueno, hace un frío de la gran flauta hoy, así que nada, estuve caminando como para entrar un poco en calor. Esperé, hasta que pasaron los seis minutos. Fui a la parte de adelante. Y ahí nada, me bajé en colegiales, caminé dos cuadras, esperé el colectivo que ni siquiera lo tuve que esperar, fue un milagro porque llegó justo cuando llegué a la parada. Fue hermoso porque dije, qué bueno, porque en este frío espantoso, no me voy a morir, voy a estar calentita. Y además había un asiento disponible, así que fue todo como 10 de 10. Después me bajé en el pabellón 1, me crucé con Leo, hablé un rato, me acompaño, fui al baño, me acompaño hasta el 2. Vi a ver si podía votar para la gente del CODEP, no sabía dónde demonios era donde tenía que votar, así que dije, bueno, voy a ir a la biblioteca y me pongo a estudiar un rato hasta que se hagan las 3 y media. Eran las 3 y cuarto más o menos. Cori me mandó un mensaje, me dice vení más tarde, yo estaba como esperando ese mensaje, porque así era como la vez pasada, que también se atrasó. Así que bueno, ahora estoy acá. Maldita sea.
","[0.5180937694064502, 0.502731519179386, 0.5157269391098193, 0.500671927089041, 0.5059307581848569, 0.49752978362002465, 0.5016239603551534, 0.49193743367989856, 0.49129566073417663, 0.4951247138028242, 0.4980882241701086, 0.48673261987402083, 0.47892534732818604, 0.4834006445275413, 0.47716544060544536, 0.4880051349484643, 0.4946034348436764, 0.4946860961797761, 0.501967285759747, 0.5048230347725061, 0.49344632892232193, 0.496763284544687, 0.4818505375749535, 0.4854850730725697, 0.5029152226360405, 0.504589960882158, 0.4720225096680224, 0.47550595912241167, 0.47958951046069465, 0.4723937552550743, 0.45806873350271154, 0.4532136908835835, 0.4632158365387183, 0.47063958644866943, 0.4529537111520767, 0.46531904780346417, 0.44807765971530567, 0.45908349255720776, 0.4320120595395565, 0.4592742637584084, 0.4846977922651503, 0.4798501992926878, 0.45637552719563246, 0.4750553051630656, 0.47205313401562826, 0.46507170452521396, 0.4713343431552251, 0.4693768891421231, 0.48735606372356416, 0.48852359917428756, 0.5133073627948761, 0.43798911358628956, 0.5055732280015945, 0.508852481842041, 0.4455655813217163, 0.41779686510562897, 0.3793128728866577, 0.16683384776115417]"
8.0,venir clase diseño todo mañana corregir hacer 3d realidad corregir ninguno profesor comer torta cumpleaños tomar mate vinir visitar yo compañero año pasado gente amiga hablar pasado semana quejar lavarropa auto día computadora elegir posición panel corregir cosa 3d caminar acá mojar caminar abajo lluvia paragua roto computadora mochila entonces mojar camino mojer computadora dar vuelta edificio esperar entrevista ver araña ver ala animal buscar baño baño sacir foto papel higiénico baño saque foto araña saque foto planta edificio mañana dibujar planta probar facetar parte edificio editar componente esperar arrancar clase,"Antes de venir estaba en clase de diseño, estuve toda la mañana corrigiendo o haciendo un 3D, en realidad no corregí con ningún profesor. Comí torta de cumpleaños, tomé mate, vinieron a visitarnos unos compañeros del año pasado y gente que también era amiga de ellos. Estuve hablando de lo que había pasado esta semana, me estuve quejando del lavarropas y del auto. Estuve todo el día yo con la computadora, eligiendo la posición de unos paneles y corrigiendo algunas cosas del 3D y estuve caminando hasta acá. Me mojé, estuve caminando abajo de la lluvia con un paraguas roto pero tenía la computadora en la mochila entonces me estuve mojando todo el camino para que no se moje la computadora. Estuve dando vueltas por el edificio esperando a la entrevista, vi una araña, vi las alas de los animales, estuve buscando el baño. Fui al baño, le saqué una foto al papel higiénico del baño, le saque una foto a la araña, le saque una foto a la planta del edificio. Antes a la mañana estuve dibujando algunas plantas, estuve probando facetar una parte del edificio. Estuve editando componentes, estuve esperando que arrancara la clase, pero nada más.
","[0.6164988726377487, 0.609787221465792, 0.645574947198232, 0.6003832459449768, 0.5753862857818604, 0.570425788561503, 0.5051493495702744, 0.5250567197799683]"
9.0,buen contar hacer venir cuento buen despertar aproximadamente 9 medio mañana acostar bastante tarde venir facultad cursar teoría número agarrar camino siempre juan b justo prestar especial atención cargar nafta auto bastante estresado ver dormir pelo mojado quedar pájaro loco acá atrás buen papelón llegar facultad despertar 9 medio desayunar salir facultad llegar facultad 10 medio después esperar 20 minuto encontrar joséfino aula arrancar cursar teoría número durar 1 10 menos después facu casa volver casa vez tardar medio hora menos llegar casa nuevo agarrar camino siempre empezar a eh comer pedazo chocolate almorzar pedazo chocolate dar clase particular 2 medio así buen llegado casa 13 45 poner leer manga mirar video youtube fútbol hacer hora clase dar clase particular cómo decir materia alimento no… análisis cbc agronomía tranqui chico buen onda gracioso saber agus cómo conseguir contacto persona según decir vía familia agus saber preguntar familia saber buen dar clase menos 15 35 bañar bañar sacar yo e el pájaro loco pelo papelón a eh hoy cena buen arreglar agus ver si poder cruzar justo facultad salir menos 13 espérar él 15 57 casa acuerdo haber ver reloj subir auto nuevo camino siempre avenida juan b justo mayor complicación tránsito llegar bastante rápido preocupado buen llegar pasar buen entrar conseguir estacionar lugar si decir lugar ahí saber si saber buen lugar gustar estacionar conseguir buen crucir agus 10 minuto camenar acá embarrar malo idea ir camino barro suponer hablar mismo buen llegar acá tocar timbre atender muchacho preguntar quién decir pasar sala esperar verdad buen cómodo sillón dormir yo buen hacer venir,"Bueno, te tengo que contar que hice antes de venir. Te cuento todo. Bueno, me desperté aproximadamente a las 9 y media de la mañana, porque me había acostado bastante tarde y vine a la facultad para cursar Teoría de Números. Agarré el camino de siempre por Juan B. Justo. Presté especial atención en que tengo que cargar nafta en el auto. Y estaba bastante estresado porque viste cuando dormí con el pelo mojado, que te queda como un pájaro loco acá atrás? Bueno, papelón. Eso, llegué a la facultad, o sea, me desperté a las 9 y media, desayuné, salí para la facultad, llegué a la facultad a las 10 y media. Después, esperé 20 minutos, me encontré con Joséfina en el aula y arrancó la cursada de Teoría de Números. Eso duró hasta las 1 y 10, más o menos. Después me fui de la facu para mi casa, me volví a mi casa. Una vez que tardé media hora más o menos de llegar a mi casa, de nuevo agarro el camino de siempre. Empiezo, ah, sí, me comí un pedazo de chocolate, no almorcé nada, un pedazo de chocolate, porque tenía que dar una clase particular a las 2 y media, así que, bueno, habré llegado a mi casa a las 13 y 45, me puse a leer un poco de manga, algo de eso, mirar videos en YouTube de fútbol, hasta que se hizo la hora de la clase. Di una clase particular de ¿Cómo se dice esta materia? Alimentos, no… de Análisis CBC para Agronomía. Todo tranqui, el chico buena onda. Algo gracioso que es que no sabemos ni yo ni Agus cómo consiguió mi contacto esta persona, que según dijo fue por vía de la familia de Agus, pero no sabemos. Ella le preguntó a la familia y no sabe. Y bueno, le di la clase hasta más o menos las 15 y 35, me fui a bañar. Me bañé para sacarme ell pájaro loco que tenía en el pelo, papelón. Ah, porque hoy tengo una cena por eso. Y bueno, nada, arreglé con Agus a ver si nos podíamos cruzar porque justo ella estaba por la facultad, salí más o menos 13 de, espérense, 15 y 57 de mi casa, me acuerdo de haber visto el reloj. Me subí al auto, de nuevo el camino de siempre por avenida Juan B. Justo, no hubo mayores complicaciones, no hubo mucho tránsito, llegué bastante rápido, estaba preocupado. Y bueno, llegué, pasó algo bueno que es que cuando entré conseguí para estacionar en mi lugar, si le digo mi lugar, el de está ahí, no sé si ya sabés, bueno, en el lugar donde me gusta estacionar, conseguí. Y bueno, me crucé con Agus, estuvimos 10 minutos, caminamos hasta acá, nos embarramos un poco porque tuve la mala idea de ir por un camino de barro, supongo que otro ya te habló de esto mismo. Y bueno, llegué acá, toqué el timbre, me atendió el muchacho, me preguntó quién era, me dijo que pase a esa sala de espera, que la verdad está muy buena, muy cómodo el sillón, estaba para dormirme, y bueno, eso, eso es lo que hice antes de venir.
","[0.5379489535093307, 0.5394575496514639, 0.5270133744115415, 0.5091745826331052, 0.517205291560718, 0.5162680596113205, 0.5177814387961438, 0.5237136632204056, 0.5001514816985411, 0.49336909875273705, 0.5242403268814086, 0.5414291577679771, 0.5308801485941961, 0.5250166455904642, 0.5148563981056213, 0.5582464098930359, 0.5280881027380625, 0.5855871215462685, 0.589977605002267, 0.5760237375895182, 0.6223973631858826, 0.5405994057655334, 0.6294671793778738, 0.5628910213708878, 0.7270669937133789]"
10.0,buen hoy venir cursar e4 levanté 720 mañana desayunar todo mañana mismo siempre hacer rutina lavar cara cambiar venir auto mamá trabajar fadu entonces aprovechar venir arrancar clase tocar leer rato clase 9 12 almorzar cursar pabellón 1 venir caminar acá,"Bueno, hoy antes de venir tuve que cursar E4. Me levanté a las 7:20 de la mañana. Desayuné como todas las mañanas, lo mismo de siempre hice mi rutina, me lavé la cara, me cambié. Vine en auto con mi mamá, ella trabaja en FADU entonces aprovecho y vengo con ella. Antes de arrancar la clase, nada, yo un toqué antes leí un rato y nada, tuvimos clase de 9 a 12. Almorzamos con los de la cursada, en el Pabellón 1 y vine caminando hasta acá.
","[0.5395212709903717, 0.4871039167046547, 0.480370432138443, 0.5198723673820496, 0.515845537185669]"
