Sujetos,lematizado,texto_crudo,coherencia_evolucion
1.0,buen primero día cursar estructura 1 acuerdo primero vez cursar aula 0 venir caminar 1 hacia izquierda problema dislexia izquierdo izquierdo fondo aula grande lindo alfombra distinto resto aula saber emocionado gustar físico fluido idea esperar acuerdo llegar saber profe cursado así buen onda clase entender empezar clase entender poner hablar número déboro definir fluido tipo flaco fluido agua des tanto vuelta buen der mucho vuelta cruzar varios amigo todo banda cursar estructura 1 20 ahí conocer manu así buen clase bien acuerdo llamado atención pibo ludmi salir ir kiosco ir caminar tranquilo tipo hablar situación random quejar café responder tipo así cola segundo recreo ir vuelta kiosco comprar segundo café día día aparecer novio correr atrás der beso cambio caro situación divertido creer solamente," Bueno, el primer día que cursé Estructura 1, me acuerdo que era la primera vez que cursaba en esa aula del 0, que son de las, cuando venís caminando del 1 hacia la izquierda, problemas de dislexia, izquierda, sí, izquierda, al fondo. Era una aula muy grande y muy linda, tenía alfombras, era como muy distinta al resto de aulas. Yo no sabía nada, estaba muy emocionado, porque me gusta la física de fluidos, pero no tenía ni idea de lo que me esperaba. Y me acuerdo que llegué, sabía que el profe ya había cursado con él, así que era buena onda, que las clases se entendían. Y cuando empezó la clase no entendí nada, cuando se puso a hablar del número de Débora, para definir qué era un fluido. Y yo tipo, flaco, un fluido es agua, no me des tantas vueltas, pero bueno dió muchas vueltas. Me había cruzado con varios de mis amigos, éramos toda la banda que estábamos cursando todos Estructura 1, éramos como 20. Ahí conocí a Manu también, así que, bueno, la clase estuvo bien. Me acuerdo que me había llamado la atención una piba, que era Ludmi. Y cuando salí que iba para el kiosco, iba caminando lo más tranquilo, tipo, hablé con ella, situación random, se estaba quejando del café y me respondió, tipo, así de la nada, estaba en la cola. Y al segundo recreo iba de vuelta para el kiosco, compré mi segundo café del día, como todos los días. Y aparece el novio corriendo atrás de ella y le dió un beso. Y fue como... cambio de cara. Fue una situación muy divertida. Y nada más. Creo que solamente eso. 
","[0.5584133307139079, 0.5587919098990304, 0.5341735413441291, 0.5475598225990931, 0.5391464179212396, 0.5257415890693664, 0.5504909753799438, 0.5096027813851833, 0.530698938029153, 0.5305181592702866, 0.5066875636577606, 0.48437246680259705, 0.4401874939600627, 0.41218918561935425, 0.4578058123588562]"
2.0,claro laboratorio hacer labo 3 verano pensar buen acuerdo acuerdo buen pablo cobelli alrededor 10 persona armar grupo buen poner nico a eh buen primero vez armar rlc normal acuerdo costar montón pasar dibujito tener circuito ahí retrasar esperado creer pasar grupo acuerdo día barbijo buen hacer calor febrero creer creer," Claro, fue en laboratorio, hice labo 3 en verano. Estoy pensando. Bueno, me acuerdo que, ¿Qué me acuerdo? Bueno, estaba Pablo Cobelli, éramos alrededor de 10 personas, había que armar los grupos y bueno, yo me puse con Nico. Ah, bueno, fue la primera vez que armamos un RLC normal. Y me acuerdo que nos costó un montón porque era pasar de los dibujitos a, de la nada, tener el circuito ahí y como que nos retrasamos más de lo esperado, pero creo que le pasó todos los grupos. No me acuerdo nada más de ese día. Estábamos con barbijo. Bueno, hacía calor. Era en febrero, creo. No, creo que no, nada más.
","[0.4364697694778442, 0.4097615083058675, 0.3372376672923565, 0.4135392712695258, 0.38568873703479767, 0.44910836815834043, 0.43125781416893005, 0.4464258551597595, 0.345388725399971, 0.2907130718231201]"
3.0,recordar ferraro mecánico clásico acuerdo nervioso ver tanto gente conocer nombre stalkear virtualmente nunca hablar ir ahí recordar entusiasmado materia profesor acuerdo primero clase llegar ferraro lucir distinto barbijo barbijo imaginar acuerdo arrancar clase 5 minuto creer primero tema dar teorema derivado relativo así acuerdo acuerdo dibujo hacer pizarrón cuadrito varios vector acuerdo creer acordar outfit genérico camisa adentro pantalón jean barbijo tapar cara," Recuerdo que, era con Ferraro, Mecánica Clásica. Me acuerdo de estar nervioso un poco, ver tanta gente que conocía nombres de stalkear y virtualmente con los que nunca hablé y que iban a estar ahí. Recuerdo que estaba entusiasmado con la materia y del profesor. Me acuerdo de la primer clase, cuando llegó Ferraro, que lucía distinto con un barbijo que sin el barbijo, o como me lo imaginaba yo. Me acuerdo que arrancó de una la clase a los 5 minutos y, creo que el primer tema que dio fue Teorema de la Derivada Relativa o algo así. No me acuerdo, pero me acuerdo de un dibujo que hizo en el pizarrón, como con un cuadrito y varios vectores. No me acuerdo más. Yo creo que me acordaba su outfit muy genérico que tenía, una camisa adentro del pantalón de jean y un barbijo que le tapaba mucho la cara.
","[0.5037332347461155, 0.4459451114137967, 0.5085140109062195, 0.479345615953207, 0.4403847853342692, 0.4474300146102905, 0.45922690629959106]"
4.0,ok primero día cursar presencial post pandemia cursar química inorgánico 1 aula magna pabellón 2 evento pabellón 2 aula magna pabellón 2 recuerdo igual siempre cursar 9 mañana llegar aula puerta entrar pabellón 2 ir izquierda mirar aula magna frente entrar izquierda único puerta conocer par entonces así entrar ahí sentir lado izquierdo aula magno fila centro lado izquierdo menos mitad escenario fondo varios compañera carrera químico lleno chico químico notar primero cuatrimestre recordar cerca grupo chica hablar montón clase buen hablar escuchar profesor recuerdo profesor presentar parecer interesante modalidad cursar teórico práctica separar sino dos cosa junto creer profesora entonces profesor teórico práctico dar cuenta cierto rango profesor necesariamente teórico práctico tipo jtp profesor profesor barrar jtp profesora llamar creer luciano capello así solo saber nombre luciano decir lula apellido acuerdo profesor llamar sebastián apellido recordar profesora acuerdo nombre forma dar clase particular hacer tú sentir inferior entonces caer bien apodo saber si decir recordar primero clase una… saber descuido alumno alumno ir aula profesora decir así aburrir medio aula magno pabellón 2 parecer feo parte aparte ingresante sentir mejor forma dar él bienvenida facultad profesor llamar rolo acuerdo si primero clase sentir verdad recordar bien si así clase introductorio cosa parecer acordar bien cbc así tanto largo tanto difícil después clase terminar bastante temprano tipo 12 media todo furia después comer recordar bien si lunes martes recordar terminar comer comer temprano acordar verdad acuerdo así creer terminar,"Ok, el primer día de cursada presencial post pandemia, cursé Química Inorgánica 1, en el aula magna del pabellón 2, todos los eventos son en el pabellón 2, sí, en el aula magna del pabellón 2. Recuerdo que al igual que siempre, cursaba a las 9 de la mañana, llegué al aula por la puerta que entrando al pabellón 2, vas para la izquierda y que mirando al aula magna de frente se entra por la izquierda, porque es la única puerta que conocía par ese entonces, así que entré por ahí. Me senté del lado izquierdo del aula magna, pero o sea de las filas del centro más para el lado izquierdo y más o menos a mitad de lo que sería como el escenario al fondo. Estaba con varias compañeras, de mi carrera, que no es química, y estaba muy lleno de chicos de química que se notaba como que era su primer cuatrimestre. Y recuerdo que tenía cerca un grupo de chicas que hablaban un montón y es como una clase y no está bueno que hables porque no escucho al profesor. Recuerdo que muchos profesores se presentaron. Me pareció muy interesante esta modalidad de cursar porque no era como teórica práctica por separado sino que eran las dos cosas juntas. Creo que la profesora, como que entonces no había profesor de teórica y de práctica, como que te das cuenta que había cierto rango de profesores pero no necesariamente de teórica y de práctica tipo JTP y profesor, eran como todos mis profesores barra JTP. Y la profesora se llamaba creo que Luciana Capello o algo así, solo que sé que su nombre era Luciana y le decían Lula, pero su apellido no me acuerdo. El profesor que estaba con ella se llamaba Sebastián y su apellido no recuerdo. Había otra profesora que no me acuerdo su nombre pero tenía una forma de dar clase muy particular que era haciéndote sentir inferior, entonces no me cayó muy bien, tengo un apodo para ella pero no sé si de que lo diga. Y nada eso, recuerdo que ya la primera clase tuvo como una… no sé un descuido con un alumno, que el alumno estaba yendo del aula y la profesora le dijo algo así como ¿Ya te aburriste? En medio del aula magna en el pabellón 2. Me pareció muy feo su parte, aparte son todos ingresantes, siento que no es la mejor forma de darles la bienvenida a la facultad. Había otro profesor que se llamaba Rolo pero no me acuerdo si estaba en la primera clase, siento que sí, pero la verdad que no lo recuerdo bien. Y si fue así una clase muy introductoria de cosas que me parecía que me acordaba bien del CBC, así que no fue tan larga, no fue tan difícil y después de eso las clases terminan bastante temprano tipo 12 y media, una con toda la furia. Y después de eso me fui a comer, no recuerdo bien si era lunes o martes, pero recuerdo que terminé comer y me fui a comer temprano. Y todo lo que más me acuerde, la verdad que mucho más que eso no me acuerdo, así que creo que con esto termino.
","[0.6245810179149404, 0.607761999592185, 0.6254783670107523, 0.5925368943384716, 0.5793653864126939, 0.6149931848049164, 0.5958746780048717, 0.5837074220180511, 0.6002555754449632, 0.5985269285738468, 0.5888179114886692, 0.6246685981750488, 0.6008725941181183, 0.5400565564632416, 0.5831024646759033, 0.5481255799531937, 0.35623130202293396]"
5.0,ok primero día cursar presencial postpandemia creer primero cursar postpandemia laboratorio 4 2021 sofi correa compañera igual acuerdo hacer menos semana agarrar obsesión querer saber quién profesor ayudante entonces acordar googlié cursar googlié particular así tal vez acuerdo saber si hacer trampa contar buen acuerdo jtp marcelo luda gustar jtp programación momento trabajar hermano entonces desalinear decir forma trabajo venir hacer sentir cómodo vez sofi compañera programar mucho… a eh hablar cualquiera cosa primero día cursar acuerdo protocolar sacar permiso certificado así autorizar entrar facultad acuerdo barbijo saber si primero clase sofi solo ir alternadamente acuerdo presentación powerpoint mesa separado ver marcelo medio trabado creer nervioso saber adquisición dato acuerdo diapositivo acuerdo día,"Ok, primer día de cursada presencial post-pandemia. Creo que la primer cursada post-pandemia fue Laboratorio 4, en 2021, con Sofi Correa, una compañera. De esto igual me acuerdo, porque hace menos de una semana me agarró la obsesión de querer saber quiénes fueron todos mis profesores y ayudantes, entonces los que no me acordaba, googlié, y en esta cursada la googlié en particular, así que tal vez me acuerdo un poco más. No sé si es hacer trampa, pero lo cuento. Bueno, me acuerdo que estaba de JTP Marcelo Luda, que me gustó mucho como JTP, o sea, había mucho de programación, y en ese momento yo estaba trabajando con mi hermano de eso, entonces como que desalineaba, digamos, la forma de trabajo con lo que venía haciendo y me sentía cómodo. A su vez, Sofi, mi compañera, no programaba mucho… ah, estoy hablando cualquier cosa. Primer día de cursada. Me acuerdo que era muy protocolar sacar un permiso o un certificado o algo así que te autorizaba entrar a la facultad. Me acuerdo que estábamos todos con barbijos. No sé si la primer clase fuimos Sofi y yo, o fui solo yo, porque había que ir alternadamente. Me acuerdo de una presentación en PowerPoint en la que estábamos como en mesas separadas y la estábamos viendo y Marcelo estaba medio trabado, creo que estaba nervioso, no sé. Que era sobre adquisición de datos. Me acuerdo de las diapositivas, algunas. ¿Qué más? No, no me acuerdo de nada más del día en sí, no.
","[0.44235961032765253, 0.40572910698560566, 0.40982380385200184, 0.4187307059764862, 0.45238769352436065, 0.5266343487633599, 0.35120360739529133, 0.38733334839344025, 0.37676483392715454, 0.3564522087574005, 0.4112327992916107, 0.3696904480457306, 0.21469619870185852, 0.2800341248512268]"
6.0,creer memoria fallar creer primero día 2022 campo acuerdo pelado acuerdo emocionado volver empezar clase mucho gana volver presencialmente lombardo primero clase campo hablar de e<UNK> empezar tener típico frase materia ir ver vacío vacío acuerdo día soleado ser mismo momento empezar todo cursado mediado final marzo saber si acuerdo creer último vez acordado cosa vez,"Creo que la memoria ya me está fallando. Creo que el primer día fue en 2022, tuve Campos. Me acuerdo que yo estaba pelado. Me acuerdo que estaba muy emocionado por volver a empezar la clase porque tenía muchas ganas de volver presencialmente. Tuvimos a Lombardo en la primera clase de Campos que habló de… empezó a tener la típica frase de que en esa materia vamos a ver por qué el vacío no estaba vacío. Me acuerdo que fue en un día soleado también, porque habrá sido el mismo momento que empiezan todas las cursadas a mediados finales de marzo. No sé si me acuerdo mucho más, creo que la última vez me he acordado más cosas pero esta vez no.
","[0.6447648008664449, 0.5931384682655334, 0.5906623303890228, 0.6256573994954427, 0.5606885850429535, 0.6347880363464355]"
7.0,año pasado buen primero día cursar presencial después pandemia dio acuerdo saber ir tratar materia hacer cómo ir aprobar primero acuerdo buen sensación alegría volver vez cansancio tremendo viaje implicar ir ciudad universitario primero materia físico contemporáneo profesora decir básicamente experimento primero vez dar materia entonces ir probar ver onda cómo ir evaluar ir hacer conejillo indio acuerdo comentar hacer tiempo querer dar materia aparte además ser licenciada doctora saber hecho profesorado creer necesario persona hecho profesorado materia profesorado así básicamente explicar cómo ir ser onda ser repetitivo encontrar gente nunca visto vida hecho trabajo práctico shock ver persona raro decir a eh mirar hecho parcial historia ciencia raro nunca visto persona básicamente conocer nombre raro volver tomar tren barbijo uy dio uso barbijo cosa tanto molesto acuerdo cosa quizás escuchar bien súper molesto a eh primero vez obviamente concursar cero infinito así técnicamente solo primero día sino primero día edificio nuevo porquerir verdad acuerdo perder tiempo ver cómo cuerno prender luz así ir toquetear ver cómo funcionar cosa perdido tiempo clase después acuerdo,"Esto fue el año pasado. Bueno, el primer día de cursada presencial después de la pandemia. Dios mío, me acuerdo que no sabía ni de qué iba a tratar la materia que tenía que hacer y cómo se iba a aprobar y lo primero que me acuerdo fue este. Bueno, nada, la sensación, la alegría de volver, pero a la vez un cansancio tremendo de todo el viaje que implica para ir hasta Ciudad Universitaria. Pero, este, nada la primera materia fue Física Contemporánea. La profesora nos dijo que básicamente era todo un experimento porque era la primera vez que daba la materia entonces nada, como que iba a probar a ver qué qué onda esto. Cómo iba a evaluar, que íbamos a hacer como sus conejillos de indias, nada. Me acuerdo que nos comentó que estaba como que hace tiempo quería dar la materia esta porque ella aparte, además de ser licenciada, doctora en no sé qué había hecho el profesorado y creía que era necesario que una persona que haya hecho el profesorado tenga que estar en una de las materias del profesorado. Así que básicamente nos explicó cómo iba a ser la onda. Estoy siendo muy repetitiva, nada. Me encontré con gente con la que nunca había visto en mi vida pero había hecho trabajos prácticos y fue como un shock vernos en persona. Fue como muy raro, fue como decir, ah, mirá, habíamos hecho los parciales de historia de la ciencia y fue como, sí, sí. Y fue muy raro porque como nunca nos habíamos visto en persona pero sí, básicamente conocíamos nuestros nombres fue raro. También volver a tomar el tren, el barbijo uy, dios mío, el uso del barbijo, qué cosa tan molesta. O sea, me acuerdo que no, algunas cosas quizás no se escuchaban bien y era como súper molesto. Ah, y también fue la primera vez, obviamente que se concursé en el cero más infinito, así que técnicamente, no solo fue el primer día sino que fue el primer día en el edificio nuevo. Una porquería, la verdad me acuerdo que también perdimos mucho tiempo en ver cómo cuernos se prendían las luces así que tuvimos que ir toqueteando y ver cómo era que funcionaban las cosas. Se había perdido mucho tiempo de clase en eso. Pero después no me acuerdo mucho más.
","[0.5521818283531401, 0.5503878277890822, 0.543923057615757, 0.5138687411944072, 0.5339825344937188, 0.5135210202290461, 0.4883451958497365, 0.5123535340482538, 0.5312928318977356, 0.5031041271156735, 0.5064745619893074, 0.5004852286406926, 0.5400837113459905, 0.5278254568576812, 0.5188448131084442, 0.49254605174064636, 0.5045491456985474, 0.5623334646224976]"
8.0,acuerdo visto día recorrido pandemia primero día presidencial 2022 acuerdo acordar dónde taller llegar tarde colectivo explotado acuerdo mandar él mensaje compañera avisar él ir llegar tarde llegar diez medio nueve acuerdo llegar dar char él faltar mitad persona mundo llegar tarde acuerdo pasado auto auto poder entrar facultad montón gente tampoco llegar acuerdo subir correr escalera acuerdo tener sentar yo suelo después afuera río tener calor abajo sol puente río acuerdo sacar foto dar char el centro estudiante acuerdo quedar esperar hermano sentado pasto parte adelante facultad compañero ir hacer tiempo acuerdo tener calor,"Me acuerdo que ya me había visto algunos días pero recorridas en pandemia y este era el primer día presidencial de 2022. Me acuerdo de que no me acordaba dónde eran los talleres, que llegué muy tarde porque estaban todos los colectivos explotados. Me acuerdo de estar mandandole mensaje a mi compañera avisándole que iba a llegar muy tarde. Llegué como a las diez y media cuando tenía que estar a las nueve. Me acuerdo que llegué y estaban dando una charla y que faltaban como la mitad de las personas también porque todo el mundo estaba llegando tarde. Me acuerdo que había pasado algo con los autos, que los autos no podían entrar a la facultad y por eso un montón de gente tampoco llegó. Me acuerdo de subir corriendo las escaleras y me acuerdo de tener que sentarme en el suelo. Después que fuéramos afuera del río y de tener mucho calor abajo del sol en el puente del río. Me acuerdo que nos sacaron una foto y que también nos dieron una charla a unos del centro de estudiantes. Me acuerdo que me quedé esperando a mi hermano, sentada en el pasto en la parte de adelante de la facultad, con unos compañeros que también iban a hacer tiempo. Me acuerdo de tener mucho calor.
","[0.5799528449773789, 0.548142714632882, 0.5647953525185585, 0.5716560525553567, 0.5494290093580881, 0.5302102327346802, 0.5287661105394363, 0.5509053369363149, 0.5243498682975769, 0.41785281896591187]"
9.0,ahí ir ahí ir buen primero principal ir hacer aclaración esperar pregunta repetido igual pensar bien experimento esperar buen acuerdo primero día acuerdo sentir acuerdo sensación ahora mismo acuerdo cursar álgebra conmutativo lunes día conocer josefina villar acuerdo día conocer pablo solernón director acuerdo entrar aula creer ir entender entrar aula ver pensar chabón mantenimiento remera amarillo tipo orto medio bizarro putear aula pensar chabón mantenimiento entrar medio gruñón ahí conocer acuerdo sentado aula 7 sentado asiento sentir siempre siempre mitad aula menos ahora poder sentar roto sentir mismo fila extraño barrijo acuerdo ropa puesto acuerdo remera gris puntito creer acuerdo si mismo saco suéter creer suéter remera gris suéter barrijo negro totalmente incómodo inviable acuerdo día empezar clase llegar poner hablar amigo gabriel sentar atrás josefina nacho ceci saber empezar hablar visto análisis funcional categoría saber cosa acuerdo pensar pelotudo después clase pasar gracio o cuento probablemente ría saber dar clase solerno caer persona cursar llamar cristian molina chabón materia llamar álgebra conmutativo solerno hacer cuenta hacer medio hora tipo pregunta disculpa anillo conmutativo así materia llamar álgebra conmutativo contestar yo burlar cristian pobre pibe buen saber acuerdo realmente sensación definitivamente sensación miedo volver acuerdo recibir entonces cosa querer terminar dar cierre carrera grado saber pasar tipo proceso personal cursar último materia optativo deber final buen incertidumbre nerviosismo,"Ahí va, ahí va. Bueno, primero en principal, voy a hacer una aclaración que esperaba que haya una pregunta repetida, pero igual no estuve pensando por el bien del experimento, pero lo esperaba. Bueno, qué me acuerdo del primer día, me acuerdo, siento que me acuerdo más sensaciones ahora mismo, pero me acuerdo de que fue para cursar Álgebra Conmutativa, que fue un lunes. Fue el día que conocí a Josefina Villar, me acuerdo que también es el día que conocí a Pablo Solernón, mi director. Me acuerdo que cuando entró al aula, creo que esto no lo voy a entender, cuando entró al aula y yo lo vi pensé que era un chabón de mantenimiento, porque estaba con una remera amarilla tipo orto, medio bizarra y estaba puteando en el aula. Pensé que era un chabón de mantenimiento, entró medio gruñón. Ahí fue cuando lo conocí. Me acuerdo que estaba sentado, era en el aula 7 y estaba sentado en el asiento donde me siento siempre, que siempre es en la mitad del aula más o menos. Ahora ya no me puedo sentar más porque está roto, pero me siento en la misma fila. Y fue extraño, estaba con barrijo, me acuerdo de la ropa que tenía puesta, me acuerdo que tenía una remera gris con puntitos, tenía creo que, no me acuerdo si este mismo saco o un suéter, creo que un suéter, la remera gris, un suéter y el barrijo negro, totalmente incómodo, inviable. Y también me acuerdo que ese día, antes de empezar la clase, yo llegué, me puse a hablar con mi amigo Gabriel, que se yo, se sentaron atrás Josefina, Nacho y Ceci, no sé. Y empezaron a hablar de lo que habían visto en Análisis Funcional, de que algo de una categoría, no sé que cosa, me acuerdo que pensé que pelotudos. Y después durante la clase pasó algo gracioso, esto lo cuento, probablemente te rías no sé. Estaba dando clases Solerno y cayó otra persona que estaba cursando, se llama Cristian Molina, y el chabón, la materia se llamaba Álgebra Conmutativa y Solerno estaba haciendo cuentas hace media hora y el tipo le pregunta, disculpa, ¿los anillos son conmutativos? Algo así, la materia se llama Álgebra Conmutativa. Y le contestó, ¿para vos no? Y todos nos burlamos de Cristian, pobre pibe. Bueno, no sé, me acuerdo de eso, no mucho más realmente, o sea, de las sensaciones definitivamente sí, de la sensación del miedo de volver. También me acuerdo de que estaba como esto de que yo me estaba por recibir en ese entonces y también estaba como la cosa esta de querer terminar, dar un cierre a la carrera de grado, qué sé yo. Estaba pasando por ese tipo de proceso personal, porque estaba cursando las últimas materias optativas y debía muchos finales. Y bueno, es como esa incertidumbre, nerviosismo, eso.
","[0.5624198003819114, 0.5369738406605191, 0.5513201303341809, 0.5287220859900117, 0.5334202229976654, 0.545104940022741, 0.5570993629785684, 0.5438718174894651, 0.5172102966091849, 0.5425229012966156, 0.5393163843287362, 0.5284814722836018, 0.45590589727674213, 0.5193280627330145, 0.5366370558738709, 0.5579952299594879, 0.4685827891031901, 0.5197087079286575, 0.616104781627655]"
10.0,primero día cursar presencial postpandemia acuerdo mininni teo 1 si confundir segundo cuatrimestre 2021 mininni hecho hacer dos grupo diferente primero preguntar quién hacer él quién querer ir presencial quién completar encuesta después hacer dos grupo dicho querer ir poder ser acuerdo cantidad poner él 10 aula entonces hacer dos grupo 10 entonces ir intercalar semana semana acuerdo tocar segundo semana grupo tocar par compañero igual raro sentar él tres banco distancia fila entonces medio solo aula acuerdo enfrente tener docente enfrente raro usar pizarrón sino aula pizarra electrónico aparte mitad aula forma virtual hacer compartir pantalla entonces escribir mininni pizarrón pizarra eléctrico ver persona ver escribir momento nuevo dinámico clase raro nunca trabajar pdf ver cosa electrónico hablar escrito entonces acuerdo ir pedos desacostumbrado escribir momento cosa acuerdo contento contento respecto haber volver facu poder yo sentar aula incómodo igual aula seminario reunión entonces banquito apoyar cuaderno deber silla colchonado mix ah generar dolor espalda futuro todo encorvado sentir bien vuelta clase intervalo hacer ronda gigante claro cada mantener distancia lado buen volver hacer ronda charlar distanciar bien cosa poder sacar barbijo comer él par galletita compartir claro cada galletita ahí poder compartir pandemia sentir lindo haber volver pasillo facultad vuelta junto docente asomar cabeza lado decir arrancar volver aula sentar yo buen día parecer caminar facultad ir ir bondi vivo bastante cerca así tomado tiempo ir caminar seguro acuerdo acuerdo emocionado nervioso dar cosa volver facultad sentir raro sensación entrar facultad primero vez después año medio aparte vacío entonces tampoco recordar claramente actividad acostumbrado único curso curso organizado solo grupo facultad entonces claro 10 gato loco todo facultad mover yo solo pasillo sensación raro re contento haber volver bien,"El primer día que cursaba presencial post-pandemia, me acuerdo que era con Mininni, era Teo 1 si no me confundo, segundo cuatrimestre del 2021. Mininni lo que había hecho era hacer como dos grupos diferentes, o sea, primero preguntó quién estaría para hacerlo, quién querría ir presencial y quién no. Completamos una encuesta y después como que hizo dos grupos con todos los que habían dicho que querían ir, porque no podíamos ser más de, no me acuerdo la cantidad, pero ponerle 10 por aula. Entonces hicimos como dos grupos de 10, entonces como que nos íbamos intercalando una semana uno, una semana el otro. A mí me acuerdo que me tocó la segunda semana, fui en el grupo, me tocó con un par de compañeros, pero igual era raro porque había que sentarse como a tres bancos de distancia y a una fila, entonces era como que estabas medio solo en el aula. Pero me acuerdo que estaba enfrente, tener al docente enfrente y que sea muy raro todo porque ya no estaba usando el pizarrón, sino que en ese aula había como que pizarra electrónica y aparte como la otra mitad del aula estaba de forma virtual, lo que hacían era como que compartir la pantalla, entonces como que lo que escribía Mininni en el pizarrón, en la pizarra eléctrica, yo lo vi en persona y ellos lo veían como que lo estaba escribiendo en el momento. Y como que esa nueva dinámica de clases fue rara porque nunca habíamos trabajado con un PDF y viendo cosas electrónicas y hablando sobre algo que ya estaba escrito. Entonces me acuerdo de que iba a los pedos y yo me había desacostumbrado a escribir en el momento las cosas. Pero me acuerdo también de estar muy contenta, muy contenta al respecto de haber vuelto a la facu poderme sentar. El aula era muy incómoda igual, como que era una aula de seminario, de reuniones, entonces como que no tenía el banquito para apoyar el cuaderno como se debe, pero como que la silla era colchonada. Era como el mix de, ah, era esto lo que me generaba dolor de espalda en mi futuro porque estaba toda encorvada, pero se sintió muy bien estar de vuelta en clase. Y nada, en el intervalo como que hicimos una ronda gigante porque claro, cada uno mantenía su distancia al que tenía al lado, pero bueno, como que volvimos a hacer la ronda como para charlar, nos distanciamos bien, cosa de que nos podamos sacar el barbijo y comerse un par de galletitas sin compartir. Claro, cada uno tenía su galletita ahí como un, no la puedo compartir porque nada, pandemia, pero como que se sintió lindo haber vuelto a los pasillos de la facultad y a estar de vuelta todos juntos y que el docente asomara la cabeza por el lado y le dijera estamos arrancando y volver todos al aula para sentarnos. Estuvo bueno. Del día, me parece que fui caminando a la facultad porque no iba a ir en bondi y vivo bastante cerca, así que me había tomado mi tiempo para ir caminando. Eso ya no estoy segura, no me acuerdo tanto, pero me acuerdo que estaba muy emocionada, y un poco nerviosa, como que me daba como que era como que cosa volver a la facultad. Como que se sentía raro y la sensación de cuando entré a la facultad por primera vez después de un año y medio, aparte estaba vacía, entonces tampoco era como, o sea sí era como la recordaba claramente, pero no tenía la actividad que estaba acostumbrada. Porque nosotros como que éramos el único curso que había porque los cursos que habían se habían organizado para que solo haya un grupo en la facultad, entonces claro, éramos 10 gatos locos en toda la facultad moviéndonos solos en los pasillos era una sensación rara, pero estaba re contenta de haber vuelto, todo bien.
","[0.6615922854227179, 0.6240399554371834, 0.6097264190514883, 0.5990101865359715, 0.626980552306542, 0.6398320694764456, 0.6589312553405762, 0.6349054336547851, 0.6241494615872701, 0.6154115423560143, 0.6103203807558332, 0.6187139550844828, 0.6037395060062408, 0.6580837815999985, 0.6402290066083273, 0.584850937128067, 0.47710901498794556]"
