Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop,num_palabras_unicas_norm,primera_persona_norm,tercera_persona_norm,num noun norm,num verb norm,num adj norm,num advs norm,num numeral norm,num propn norm,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density,Detalles internos norm,Detalles externos norm
1.0,campeones_del_mundo,5.0,-1.0,4.0,-4.0,0.8702537425986486,0.076,0.06,0.168,0.164,0.064,0.068,0.004,0.008,0.0027890985365957,0.9552983045578004,0.958087403094396,-1,-0.958087403094396,-1.0,-0.958087403094396,0.8731671262344066,0.8755404385623172,0.9607968998439615,137.0,21.0,14.99342105263158,3.3138686131386863,0.0270833333333333,5.716481925078914,0.0459676215388687,0.0,1.0,7.0,0.0121833404894804,0.8803956834532374,0.1196043165467626
2.0,campeones_del_mundo,3.0,1.0,2.0,2.0,1.014742809926254,0.0307017543859649,0.0263157894736842,0.1710526315789473,0.1535087719298245,0.0307017543859649,0.0570175438596491,0.0131578947368421,0.0263157894736842,0.1130669713020324,0.1206549331545829,0.2337219044566154,0,0.0,0.0,0.0,0.9129617420054787,0.9086149949963624,0.9005479508876151,119.0,20.0,15.154411764705886,3.4285714285714284,0.012396694214876,5.420651874907941,0.0326160510664289,0.0,0.0,6.0,0.0145278450363196,0.9464285714285714,0.0535714285714285
3.0,campeones_del_mundo,5.0,1.0,5.0,5.0,1.8798844092109328,0.0514469453376205,0.0589496248660235,0.1586280814576634,0.1264737406216506,0.0514469453376205,0.0932475884244373,0.0139335476956055,0.0235798499464094,0.7895866632461548,0.0154481697827577,0.8050348330289125,1,0.8050348330289125,1.0,0.8050348330289125,0.9281288123699124,0.949037716251552,0.9710652249452422,343.0,37.0,14.75918884664132,4.600583090379009,0.0319787985865724,4.409179179538438,0.0812742520202954,0.0,15.0,68.0,0.0067259986701447,0.7785714285714286,0.2214285714285714
4.0,campeones_del_mundo,5.0,1.0,5.0,5.0,1.7270534755124929,0.0530973451327433,0.080450522928399,0.1697506033789219,0.1359613837489943,0.0579243765084473,0.0957361222847948,0.0008045052292839,0.0217216411906677,0.0808757171034812,0.1322115510702133,0.2130872681736946,0,0.0,0.0,0.0,1.0128729536392265,0.955116937421463,0.9704740472761562,424.0,46.0,12.32741617357002,4.783018867924528,0.0220824080927707,4.197773129993652,0.0742794296055967,2.0,16.0,105.66666666666669,0.0056536866051117,0.7575020275750203,0.2424979724249797
5.0,campeones_del_mundo,5.0,1.0,4.0,4.0,1.5669380535506778,0.0307219662058371,0.064516129032258,0.1597542242703533,0.141321044546851,0.0460829493087557,0.0829493087557603,0.0153609831029185,0.0261136712749615,0.7908729910850525,0.0124977389350533,0.8033707300201058,1,0.8033707300201058,1.0,0.8033707300201058,0.8386438418535113,0.7923894452483512,0.8285868396036963,284.0,37.0,13.37641723356009,4.133802816901408,0.0163934426229508,4.648736523815717,0.0396059681837358,1.0,7.5,25.33333333333333,0.0073035385457622,0.6855895196506551,0.314410480349345
6.0,campeones_del_mundo,5.0,1.0,3.0,3.0,1.97814495653694,0.0459770114942528,0.0977011494252873,0.1580459770114942,0.139367816091954,0.0316091954022988,0.0833333333333333,0.0172413793103448,0.0244252873563218,0.1766083687543869,0.0262357611209154,0.2028441298753023,0,0.0,0.0,0.0,0.93770511379521,0.9529910255198176,0.938301917616049,275.0,36.0,10.86,4.363636363636363,0.0304295942720763,4.3790510664179765,0.089190870046856,0.0,10.0,51.0,0.0079628400796284,0.7883211678832117,0.2116788321167883
7.0,campeones_del_mundo,3.0,1.0,4.0,4.0,1.5878206725064947,0.0308219178082191,0.0673515981735159,0.1267123287671233,0.1689497716894977,0.0490867579908675,0.069634703196347,0.0057077625570776,0.0525114155251141,0.365145593881607,0.0254626721143722,0.3906082659959793,0,0.0,1.0,0.3906082659959793,0.8683286260837988,0.8976865135003137,0.8691750263286366,342.0,44.0,11.883095854922278,4.508771929824562,0.0208333333333333,4.369500927049757,0.0712795024657493,1.0,17.5,60.333333333333336,0.0066111025363996,0.8325027685492802,0.1674972314507198
8.0,campeones_del_mundo,5.0,1.0,2.0,2.0,0.6417308304318675,0.064516129032258,0.0414746543778801,0.1705069124423963,0.152073732718894,0.0506912442396313,0.0368663594470046,0.0,0.0046082949308755,0.160124585032463,0.308273047208786,0.4683976322412491,0,0.0,-1.0,-0.4683976322412491,0.9311170733282884,0.8535935520760226,0.8453115625114302,111.0,16.0,19.373885918003563,3.315315315315315,0.0247747747747747,5.545252527337841,0.0460233524571759,0.0,2.0,9.0,0.015069615069615,0.8235294117647058,0.1764705882352941
9.0,campeones_del_mundo,5.0,1.0,2.0,2.0,1.994425803392761,0.0294266869609335,0.067478437341451,0.136986301369863,0.1552511415525114,0.0603754439370877,0.0725520040588533,0.015220700152207,0.0618975139523084,0.0530924201011657,0.4135013818740845,0.4665938019752502,0,0.0,-1.0,-0.4665938019752502,0.8560464313705647,0.8627137064029199,0.847217562498504,569.0,58.0,14.431715210355993,5.430579964850615,0.0382619974059662,4.036562050713799,0.1110335923286743,2.0,54.0,249.66666666666663,0.0047804401099037,0.7451612903225806,0.2548387096774193
10.0,campeones_del_mundo,5.0,1.0,5.0,5.0,0.7295106658824833,0.0204778156996587,0.0426621160409556,0.1604095563139931,0.1245733788395904,0.0409556313993174,0.1058020477815699,0.0102389078498293,0.0170648464163822,0.1350680291652679,0.047578003257513,0.182646032422781,0,0.0,0.0,0.0,1.062326247887475,1.0057584038122371,1.0437841566155246,250.0,32.0,12.96168582375479,4.168,0.0245098039215686,4.736954184554568,0.0590260723148482,2.0,7.0,32.666666666666664,0.0083694779116465,0.8358333333333333,0.1641666666666666
