Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop
1,antesdevenir,,,,
2,antesdevenir,5.0,0.0,3.0,0.0
3,antesdevenir,,,,
4,antesdevenir,,,,
5,antesdevenir,,,,
6,antesdevenir,5.0,1.0,5.0,5.0
7,antesdevenir,4.0,0.0,4.0,0.0
8,antesdevenir,,,,
9,antesdevenir,5.0,1.0,5.0,5.0
10,antesdevenir,,,,
11,antesdevenir,,,,
12,antesdevenir,5.0,0.0,1.0,0.0
13,antesdevenir,4.0,0.0,2.0,0.0
14,antesdevenir,,,,
15,antesdevenir,3.0,0.0,2.0,0.0
16,antesdevenir,5.0,0.0,3.0,0.0
17,antesdevenir,5.0,0.0,3.0,0.0
18,antesdevenir,5.0,0.0,4.0,0.0
19,antesdevenir,,,,
20,antesdevenir,4.0,0.0,4.0,0.0
21,antesdevenir,5.0,1.0,2.0,2.0
22,antesdevenir,5.0,0.0,3.0,0.0
23,antesdevenir,4.0,0.0,1.0,0.0
24,antesdevenir,,,,
25,antesdevenir,4.0,1.0,4.0,4.0
26,antesdevenir,4.0,1.0,4.0,4.0
27,antesdevenir,,,,
28,antesdevenir,5.0,0.0,3.0,0.0
29,antesdevenir,5.0,1.0,5.0,5.0
30,antesdevenir,,,,
31,antesdevenir,1.0,0.0,3.0,0.0
32,antesdevenir,5.0,1.0,4.0,4.0
33,antesdevenir,5.0,0.0,1.0,0.0
34,antesdevenir,5.0,1.0,3.0,3.0
35,antesdevenir,4.0,-1.0,2.0,-2.0
36,antesdevenir,2.0,1.0,2.0,2.0
37,antesdevenir,,,,
38,antesdevenir,5.0,0.0,3.0,0.0
39,antesdevenir,5.0,1.0,3.0,3.0
40,antesdevenir,,,,
41,antesdevenir,,,,
42,antesdevenir,,,,
43,antesdevenir,4.0,1.0,2.0,2.0
44,antesdevenir,,,,
45,antesdevenir,5.0,1.0,2.0,2.0
46,antesdevenir,4.0,1.0,4.0,4.0
47,antesdevenir,,,,
48,antesdevenir,5.0,0.0,3.0,0.0
49,antesdevenir,,,,
50,antesdevenir,5.0,0.0,5.0,0.0
51,antesdevenir,,,,
52,antesdevenir,5.0,0.0,3.0,0.0
53,antesdevenir,,,,
54,antesdevenir,,,,
55,antesdevenir,,,,
56,antesdevenir,,,,
57,antesdevenir,5.0,0.0,5.0,0.0
58,antesdevenir,5.0,0.0,3.0,0.0
59,antesdevenir,,,,
60,antesdevenir,,,,
61,antesdevenir,4.0,0.0,1.0,0.0
62,antesdevenir,,,,
63,antesdevenir,5.0,1.0,2.0,2.0
64,antesdevenir,4.0,0.0,1.0,0.0
65,antesdevenir,,,,
