Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop
1,arabia,4.0,0.0,4.0,0.0
2,arabia,2.0,0.0,1.0,0.0
3,arabia,2.0,-1.0,3.0,-3.0
4,arabia,5.0,-1.0,5.0,-5.0
5,arabia,1.0,0.0,4.0,0.0
6,arabia,2.0,0.0,1.0,0.0
7,arabia,2.0,-1.0,3.0,-3.0
8,arabia,4.0,0.0,5.0,0.0
9,arabia,3.0,0.0,2.0,0.0
10,arabia,4.0,-1.0,4.0,-4.0
11,arabia,1.0,0.0,3.0,0.0
12,arabia,1.0,0.0,1.0,0.0
13,arabia,3.0,0.0,3.0,0.0
14,arabia,4.0,0.0,5.0,0.0
15,arabia,2.0,0.0,2.0,0.0
16,arabia,2.0,-1.0,4.0,-4.0
17,arabia,2.0,0.0,2.0,0.0
18,arabia,3.0,0.0,3.0,0.0
19,arabia,1.0,0.0,1.0,0.0
20,arabia,3.0,-1.0,3.0,-3.0
21,arabia,1.0,0.0,3.0,0.0
22,arabia,5.0,-1.0,3.0,-3.0
23,arabia,2.0,-1.0,1.0,-1.0
24,arabia,4.0,-1.0,4.0,-4.0
25,arabia,2.0,0.0,4.0,0.0
26,arabia,2.0,0.0,3.0,0.0
27,arabia,1.0,0.0,5.0,0.0
28,arabia,4.0,0.0,3.0,0.0
29,arabia,2.0,0.0,3.0,0.0
30,arabia,4.0,-1.0,4.0,-4.0
31,arabia,2.0,0.0,2.0,0.0
32,arabia,4.0,0.0,3.0,0.0
33,arabia,1.0,0.0,1.0,0.0
34,arabia,3.0,0.0,4.0,0.0
35,arabia,4.0,1.0,3.0,3.0
36,arabia,3.0,1.0,3.0,3.0
37,arabia,4.0,0.0,2.0,0.0
38,arabia,2.0,-1.0,4.0,-4.0
39,arabia,1.0,0.0,1.0,0.0
40,arabia,5.0,-1.0,3.0,-3.0
41,arabia,,,,
42,arabia,,,,
43,arabia,4.0,1.0,3.0,3.0
44,arabia,,,,
45,arabia,2.0,0.0,1.0,0.0
46,arabia,2.0,-1.0,3.0,-3.0
47,arabia,3.0,0.0,3.0,0.0
48,arabia,4.0,-1.0,4.0,-4.0
49,arabia,,,,
50,arabia,3.0,0.0,4.0,0.0
51,arabia,4.0,-1.0,4.0,-4.0
52,arabia,3.0,0.0,3.0,0.0
53,arabia,,,,
54,arabia,3.0,-1.0,3.0,-3.0
55,arabia,,,,
56,arabia,3.0,-1.0,4.0,-4.0
57,arabia,3.0,-1.0,2.0,-2.0
58,arabia,4.0,0.0,3.0,0.0
59,arabia,,,,
60,arabia,3.0,-1.0,3.0,-3.0
61,arabia,,,,
62,arabia,,,,
63,arabia,5.0,1.0,3.0,3.0
64,arabia,4.0,-1.0,3.0,-3.0
65,arabia,,,,
