Sujetos,Condición,Recuerdo_autop,Valencia_autop,Intensidad_autop,ValeInt_autop
1.0,cfk,2.0,0.0,5.0,0.0
2.0,cfk,2.0,0.0,2.0,0.0
3.0,cfk,1.0,0.0,2.0,0.0
4.0,cfk,4.0,-1.0,3.0,-3.0
5.0,cfk,1.0,0.0,1.0,0.0
6.0,cfk,5.0,-1.0,5.0,-5.0
7.0,cfk,3.0,0.0,5.0,0.0
8.0,cfk,3.0,-1.0,3.0,-3.0
9.0,cfk,2.0,-1.0,3.0,-3.0
10.0,cfk,4.0,-1.0,4.0,-4.0
11.0,cfk,3.0,0.0,3.0,0.0
12.0,cfk,2.0,0.0,3.0,0.0
13.0,cfk,2.0,0.0,1.0,0.0
14.0,cfk,2.0,0.0,2.0,0.0
15.0,cfk,3.0,0.0,3.0,0.0
16.0,cfk,3.0,0.0,4.0,0.0
17.0,cfk,1.0,0.0,1.0,0.0
18.0,cfk,1.0,0.0,1.0,0.0
19.0,cfk,3.0,0.0,5.0,0.0
20.0,cfk,,,,
21.0,cfk,,,,
22.0,cfk,3.0,0.0,3.0,0.0
23.0,cfk,1.0,0.0,1.0,0.0
24.0,cfk,4.0,-1.0,3.0,-3.0
25.0,cfk,4.0,-1.0,4.0,-4.0
26.0,cfk,2.0,-1.0,3.0,-3.0
27.0,cfk,3.0,0.0,2.0,0.0
28.0,cfk,1.0,0.0,3.0,0.0
29.0,cfk,2.0,0.0,5.0,0.0
30.0,cfk,2.0,0.0,2.0,0.0
31.0,cfk,2.0,0.0,2.0,0.0
32.0,cfk,1.0,0.0,2.0,0.0
33.0,cfk,2.0,-1.0,2.0,-2.0
34.0,cfk,2.0,0.0,2.0,0.0
35.0,cfk,3.0,0.0,5.0,0.0
36.0,cfk,2.0,-1.0,2.0,-2.0
37.0,cfk,5.0,-1.0,5.0,-5.0
38.0,cfk,4.0,-1.0,5.0,-5.0
39.0,cfk,4.0,1.0,4.0,4.0
40.0,cfk,1.0,0.0,1.0,0.0
41.0,cfk,2.0,0.0,4.0,0.0
42.0,cfk,2.0,0.0,3.0,0.0
43.0,cfk,2.0,0.0,2.0,0.0
44.0,cfk,3.0,-1.0,2.0,-2.0
45.0,cfk,5.0,-1.0,5.0,-5.0
46.0,cfk,2.0,0.0,3.0,0.0
47.0,cfk,3.0,0.0,3.0,0.0
48.0,cfk,2.0,0.0,3.0,0.0
49.0,cfk,1.0,0.0,3.0,0.0
50.0,cfk,4.0,-1.0,4.0,-4.0
51.0,cfk,3.0,-1.0,3.0,-3.0
52.0,cfk,3.0,-1.0,2.0,-2.0
53.0,cfk,4.0,-1.0,5.0,-5.0
54.0,cfk,3.0,-1.0,1.0,-1.0
55.0,cfk,2.0,-1.0,2.0,-2.0
56.0,cfk,2.0,0.0,2.0,0.0
57.0,cfk,2.0,-1.0,4.0,-4.0
58.0,cfk,2.0,0.0,1.0,0.0
59.0,cfk,2.0,-1.0,4.0,-4.0
60.0,cfk,1.0,0.0,1.0,0.0
61.0,cfk,3.0,0.0,5.0,0.0
62.0,cfk,,,,
63.0,cfk,,,,
64.0,cfk,2.0,-1.0,2.0,-2.0
65.0,cfk,,,,
,cfk,1.0,0.0,1.0,0.0
,cfk,1.0,0.0,2.0,0.0
,cfk,3.0,0.0,4.0,0.0
,cfk,3.0,-1.0,3.0,-3.0
,cfk,,,,
,cfk,5.0,-1.0,4.0,-4.0
,cfk,1.0,0.0,1.0,0.0
,cfk,3.0,-1.0,4.0,-4.0
,cfk,,,,
,cfk,1.0,0.0,1.0,0.0
,cfk,,,,
,cfk,2.0,0.0,2.0,0.0
,cfk,2.0,-1.0,3.0,-3.0
,cfk,1.0,-1.0,4.0,-4.0
,cfk,,,,
,cfk,3.0,0.0,3.0,0.0
,cfk,2.0,-1.0,4.0,-4.0
,cfk,,,,
,cfk,1.0,-1.0,2.0,-2.0
,cfk,3.0,0.0,2.0,0.0
