Sujetos,Condición,cohe_norm_d=1,cohe_norm_d=2,cohe_norm_d=3,num_nodes_LSC,Comunidades_LSC,diámetro,k_mean,transitivity,ASP,average_CC,selfloops,L2,L3,density
1.0,arabia,1.0529434705175158,0.9750916411054427,1.0602365476398958,132,22,13.14285714285714,3.484848484848485,0.014830508474576272,5.422551762628258,0.04195917594981766,1,1.5,11.333333333333334,0.013300948415452232
2.0,arabia,0.8858906094454694,1.0813401219014773,1.0268038460443867,73,12,14.67768595041322,3.287671232876712,0.029411764705882353,5.639503377486041,0.03186562296151337,0,2.0,4.0,0.0228310502283105
3.0,arabia,0.9210270496662877,0.9819523184440903,0.9610708622291639,59,10,11.810526315789476,3.1864406779661016,0.04929577464788732,5.247153096065709,0.053348910976029625,0,3.0,5.0,0.027469316189362946
4.0,arabia,0.9606388323170918,0.8887541547157891,0.8456557839580585,342,42,14.228677110530894,4.47953216374269,0.02359882005899705,4.512932269377759,0.06663554726250578,3,19.5,67.0,0.0065682289790948535
5.0,arabia,1.055388687949788,1.0799291235513124,0.9919923736517359,83,16,14.511627906976745,3.0602409638554215,0.009615384615384616,5.947316370253629,0.019903857855665084,1,2.5,1.3333333333333333,0.018660005877167204
6.0,arabia,0.9521186981180599,0.8562197773357029,0.9104240944436067,106,14,17.39258028792912,3.2452830188679247,0.021739130434782608,5.771964956086407,0.021986283078125474,0,1.0,2.0,0.015453728661275831
7.0,arabia,1.0160875639451035,0.9979182707099222,1.0213347473601182,167,23,13.765243902439023,3.904191616766467,0.030330882352941176,5.131282058275364,0.041915550604467736,0,9.0,12.0,0.011759613303513454
8.0,arabia,0.8294513920492718,0.8199736588391002,0.7433563738328214,74,15,15.895667447306788,3.27027027027027,0.025,5.305756722363483,0.049671296381822695,0,1.0,5.0,0.02239911144020733
9.0,arabia,0.9348523804154564,0.8204227218674595,0.8541982666555005,221,33,14.363425925925926,3.9004524886877827,0.023244781783681213,4.890620807476722,0.047470262911082785,1,6.5,20.333333333333332,0.008864664747017689
10.0,arabia,0.9250769526756332,0.8654488256850582,0.9033518187818411,283,37,11.651486830926084,4.5371024734982335,0.027180406212664276,4.526008918016602,0.035781417704610394,2,9.0,35.666666666666664,0.008044507931734456
11.0,arabia,0.893417485932587,0.9275185882311149,0.9667213737406679,92,16,13.774834437086094,3.1739130434782608,0.015625,5.491278085577083,0.0418208729993627,0,2.0,6.0,0.01743908265647396
