Sujetos,Condición,Detalles internos norm,Detalles externos norm
1,arabia,0.766,0.234
2,arabia,0.7258064516129032,0.27419354838709675
3,arabia,0.6202290076335878,0.3797709923664122
4,arabia,0.8136694386694386,0.18633056133056133
5,arabia,0.6302083333333334,0.3697916666666667
6,arabia,0.7307692307692307,0.2692307692307692
7,arabia,0.7155388471177945,0.2844611528822055
8,arabia,0.805,0.195
9,arabia,0.5833333333333334,0.4166666666666667
10,arabia,0.8294597989949749,0.17054020100502512
11,arabia,0.8269230769230769,0.17307692307692307
12,arabia,0.5269607843137255,0.4730392156862745
13,arabia,0.7784810126582279,0.22151898734177214
14,arabia,0.5913461538461539,0.40865384615384615
15,arabia,0.8956310679611651,0.10436893203883495
16,arabia,0.5748945147679325,0.42510548523206754
17,arabia,0.6063432835820896,0.39365671641791045
18,arabia,0.6025179856115108,0.39748201438848924
19,arabia,0.3142857142857143,0.6857142857142857
20,arabia,0.7262872628726287,0.27371273712737126
21,arabia,0.46940559440559443,0.5305944055944056
22,arabia,0.819937369519833,0.18006263048016702
23,arabia,0.7205284552845529,0.27947154471544716
24,arabia,0.6593264248704663,0.34067357512953367
25,arabia,0.3256880733944954,0.6743119266055045
26,arabia,0.6918886198547215,0.30811138014527845
27,arabia,0.599476439790576,0.4005235602094241
28,arabia,0.5989583333333334,0.4010416666666667
29,arabia,0.5515463917525774,0.4484536082474227
30,arabia,0.7286245353159851,0.27137546468401486
31,arabia,0.5688888888888889,0.4311111111111111
32,arabia,0.6832579185520362,0.3167420814479638
33,arabia,0.8109243697478992,0.18907563025210083
34,arabia,0.65625,0.34375
35,arabia,0.531896551724138,0.4681034482758621
36,arabia,0.6875,0.3125
37,arabia,0.7013422818791947,0.2986577181208054
38,arabia,0.724293059125964,0.27570694087403597
39,arabia,0.5203180212014135,0.4796819787985866
40,arabia,0.7780583613916947,0.22194163860830526
41,arabia,0.6307142857142857,0.3692857142857143
43,arabia,0.7753086419753087,0.22469135802469137
45,arabia,0.6964285714285714,0.30357142857142855
46,arabia,0.6753048780487805,0.3246951219512195
47,arabia,0.8075221238938053,0.19247787610619468
48,arabia,0.8469251336898396,0.15307486631016043
49,arabia,0.7592592592592593,0.24074074074074073
50,arabia,0.6360153256704981,0.36398467432950193
51,arabia,0.8128140703517588,0.1871859296482412
52,arabia,0.8813868613138686,0.11861313868613138
54,arabia,0.34236453201970446,0.6576354679802956
55,arabia,0.6631578947368421,0.3368421052631579
56,arabia,0.8510928961748634,0.1489071038251366
57,arabia,0.74,0.26
58,arabia,0.7425650557620818,0.25743494423791824
59,arabia,0.7819264069264069,0.21807359307359309
60,arabia,0.5801282051282052,0.4198717948717949
61,arabia,0.75,0.25
63,arabia,0.6532416502946955,0.3467583497053045
64,arabia,0.787,0.213
65,arabia,0.5630630630630631,0.4369369369369369
