Sujetos,Condición,Detalles internos norm,Detalles externos norm
1,presencial,0.8440677966101695,0.15593220338983052
2,presencial,0.6744186046511628,0.32558139534883723
3,presencial,0.650974025974026,0.349025974025974
4,presencial,0.5702846975088968,0.4297153024911032
5,presencial,0.522140221402214,0.477859778597786
6,presencial,0.5444915254237288,0.4555084745762712
7,presencial,0.6592548076923077,0.3407451923076923
8,presencial,0.7002427184466019,0.29975728155339804
9,presencial,0.5618503118503119,0.43814968814968813
10,presencial,0.6277602523659306,0.3722397476340694
11,presencial,0.46875,0.53125
12,presencial,0.48986486486486486,0.5101351351351351
13,presencial,0.9386792452830188,0.06132075471698113
14,presencial,0.6914285714285714,0.30857142857142855
15,presencial,0.4528301886792453,0.5471698113207547
16,presencial,0.4717465753424658,0.5282534246575342
17,presencial,0.5878378378378378,0.41216216216216217
18,presencial,0.6616161616161617,0.3383838383838384
19,presencial,0.6634615384615384,0.33653846153846156
20,presencial,0.5720164609053497,0.4279835390946502
21,presencial,0.6733511586452763,0.3266488413547237
22,presencial,0.9117647058823529,0.08823529411764706
23,presencial,0.49137931034482757,0.5086206896551724
24,presencial,0.5447916666666667,0.4552083333333333
25,presencial,0.6594827586206896,0.34051724137931033
26,presencial,0.5794392523364486,0.4205607476635514
27,presencial,0.36649214659685864,0.6335078534031413
28,presencial,0.5384615384615384,0.46153846153846156
29,presencial,0.8440860215053764,0.15591397849462366
30,presencial,0.6584821428571429,0.34151785714285715
31,presencial,0.5713141025641025,0.4286858974358974
32,presencial,0.66701244813278,0.3329875518672199
33,presencial,0.5873493975903614,0.4126506024096386
34,presencial,0.8228699551569507,0.17713004484304934
35,presencial,0.5404109589041096,0.45958904109589044
36,presencial,0.6906474820143885,0.30935251798561153
37,presencial,0.5235294117647059,0.4764705882352941
38,presencial,0.6406779661016949,0.3593220338983051
39,presencial,0.6374045801526718,0.36259541984732824
40,presencial,0.5771452145214522,0.4228547854785479
41,presencial,0.6912698412698413,0.30873015873015874
43,presencial,0.6391941391941391,0.3608058608058608
45,presencial,0.26217228464419473,0.7378277153558053
46,presencial,0.575,0.425
47,presencial,0.6724137931034483,0.3275862068965517
49,presencial,0.5067164179104477,0.49328358208955225
50,presencial,0.8570640176600441,0.14293598233995586
51,presencial,0.6552631578947369,0.3447368421052632
52,presencial,0.5,0.5
54,presencial,0.431438127090301,0.568561872909699
55,presencial,0.559953434225844,0.440046565774156
56,presencial,0.8391768292682927,0.16082317073170732
57,presencial,0.6379310344827587,0.3620689655172414
58,presencial,0.7459016393442623,0.2540983606557377
59,presencial,0.6818181818181818,0.3181818181818182
60,presencial,0.4914772727272727,0.5085227272727273
63,presencial,0.44234800838574423,0.5576519916142557
64,presencial,0.6552132701421801,0.3447867298578199
65,presencial,0.5298165137614679,0.4701834862385321
