Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent,Valencia pysent,Valencia e intensidad pysent,Valencia2 pysent,Valencia e intensidad2 pysent
1.0,arabia,0.02069728448987007,0.5074716806411743,0.5281689651310444,-1,-0.5281689651310444,-1.0,-0.5281689651310444
2.0,arabia,0.0826551541686058,0.0726265013217926,0.1552816554903984,0,0.0,0.0,0.0
3.0,arabia,0.007661717478185892,0.765933632850647,0.7735953503288329,-1,-0.7735953503288329,-1.0,-0.7735953503288329
4.0,arabia,0.003475931938737631,0.9231404066085815,0.9266163385473192,-1,-0.9266163385473192,-1.0,-0.9266163385473192
5.0,arabia,0.052613839507102966,0.18823817372322083,0.2408520132303238,0,0.0,0.0,0.0
6.0,arabia,0.02275053597986698,0.23721003532409668,0.25996057130396366,0,0.0,0.0,0.0
7.0,arabia,0.004414284601807594,0.8817996978759766,0.8862139824777842,-1,-0.8862139824777842,-1.0,-0.8862139824777842
8.0,arabia,0.03531496971845627,0.4210418164730072,0.45635678619146347,0,0.0,-1.0,-0.45635678619146347
9.0,arabia,0.009859396144747734,0.6201483607292175,0.6300077568739653,-1,-0.6300077568739653,-1.0,-0.6300077568739653
10.0,arabia,0.20859688520431519,0.023415865376591682,0.23201275058090687,0,0.0,0.0,0.0
11.0,arabia,0.026833804324269295,0.4446488618850708,0.4714826662093401,0,0.0,-1.0,-0.4714826662093401
12.0,arabia,0.06206723302602768,0.15116286277770996,0.21323009580373764,0,0.0,0.0,0.0
13.0,arabia,0.06514334678649902,0.2840201258659363,0.3491634726524353,0,0.0,-1.0,-0.3491634726524353
14.0,arabia,0.04297146946191788,0.5094053745269775,0.5523768439888954,-1,-0.5523768439888954,-1.0,-0.5523768439888954
15.0,arabia,0.15535235404968262,0.03933023288846016,0.19468258693814278,0,0.0,0.0,0.0
16.0,arabia,0.030445538461208344,0.6699545979499817,0.70040013641119,-1,-0.70040013641119,-1.0,-0.70040013641119
17.0,arabia,0.213131844997406,0.05789503827691078,0.2710268832743168,0,0.0,0.0,0.0
18.0,arabia,0.009056397713720798,0.7667655944824219,0.7758219921961427,-1,-0.7758219921961427,-1.0,-0.7758219921961427
19.0,arabia,0.030555345118045807,0.17393960058689117,0.20449494570493698,0,0.0,0.0,0.0
20.0,arabia,0.27561092376708984,0.06002210080623627,0.3356330245733261,0,0.0,1.0,0.3356330245733261
21.0,arabia,0.011778954416513443,0.5441754460334778,0.5559544004499912,-1,-0.5559544004499912,-1.0,-0.5559544004499912
22.0,arabia,0.15848873555660248,0.04385998845100403,0.2023487240076065,0,0.0,0.0,0.0
23.0,arabia,0.006042163819074631,0.8301259875297546,0.8361681513488293,-1,-0.8361681513488293,-1.0,-0.8361681513488293
24.0,arabia,0.05833181366324425,0.14667420089244843,0.20500601455569267,0,0.0,0.0,0.0
25.0,arabia,0.4058796167373657,0.052014242857694626,0.45789385959506035,0,0.0,1.0,0.45789385959506035
26.0,arabia,0.09289862215518951,0.053039658814668655,0.14593828096985817,0,0.0,0.0,0.0
27.0,arabia,0.2575758993625641,0.054251134395599365,0.31182703375816345,0,0.0,1.0,0.31182703375816345
28.0,arabia,0.2811492085456848,0.05184679105877876,0.3329959996044636,0,0.0,1.0,0.3329959996044636
