Sujetos,Condición,Positivo pysent,Negativo pysent,Intensidad pysent
1.0,cfk,0.01990565098822117,0.5053341388702393,0.5252397898584604
2.0,cfk,0.024693025276064873,0.35850974917411804,0.3832027744501829
3.0,cfk,0.018269209191203117,0.680907666683197,0.6991768758744001
4.0,cfk,0.039789170026779175,0.15472224354743958,0.19451141357421875
5.0,cfk,0.11104858666658401,0.0950707271695137,0.20611931383609772
6.0,cfk,0.1574522852897644,0.09958695620298386,0.25703924149274826
7.0,cfk,0.11649108678102493,0.25017985701560974,0.3666709437966347
8.0,cfk,0.0033024398144334555,0.9341564178466797,0.9374588576611131
9.0,cfk,0.38875189423561096,0.028872761875391006,0.41762465611100197
10.0,cfk,0.016659626737236977,0.28891512751579285,0.3055747542530298
11.0,cfk,0.012005261145532131,0.7665030360221863,0.7785082971677184
12.0,cfk,0.00727426540106535,0.8123288154602051,0.8196030808612704
13.0,cfk,0.01003376767039299,0.7181268334388733,0.7281606011092663
14.0,cfk,0.028808461502194405,0.14938318729400635,0.17819164879620075
15.0,cfk,0.01911741867661476,0.5303349494934082,0.549452368170023
16.0,cfk,0.035448070615530014,0.12533646821975708,0.1607845388352871
17.0,cfk,0.01218424178659916,0.6944776177406311,0.7066618595272303
18.0,cfk,0.012826520018279552,0.5706759691238403,0.5835024891421199
19.0,cfk,0.03372269868850708,0.36175116896629333,0.3954738676548004
20.0,cfk,0.007574088405817747,0.5653428435325623,0.57291693193838
21.0,cfk,0.020755352452397346,0.14860443770885468,0.16935979016125202
22.0,cfk,0.009702027775347233,0.5753438472747803,0.5850458750501275
23.0,cfk,0.004196383990347385,0.9514299035072327,0.95562628749758
24.0,cfk,0.09300652146339417,0.14495772123336792,0.23796424269676208
25.0,cfk,0.10724435746669769,0.15043535828590393,0.2576797157526016
26.0,cfk,0.025853531435132027,0.49448052048683167,0.5203340519219637
27.0,cfk,0.05226755142211914,0.10779977589845657,0.16006732732057571
28.0,cfk,0.00928608886897564,0.4418315589427948,0.45111764781177044
29.0,cfk,0.0286524910479784,0.3312824070453644,0.3599348980933428
30.0,cfk,0.0053129643201828,0.8215718865394592,0.826884850859642
31.0,cfk,0.35143837332725525,0.04559911787509918,0.39703749120235443
32.0,cfk,0.38259994983673096,0.038992758840322495,0.42159270867705345
33.0,cfk,0.03683004155755043,0.37164783477783203,0.40847787633538246
34.0,cfk,0.036530375480651855,0.6251163482666016,0.6616467237472534
35.0,cfk,0.027743933722376823,0.15604427456855774,0.18378820829093456
36.0,cfk,0.059747789055109024,0.3283572793006897,0.3881050683557987
37.0,cfk,0.01208443008363247,0.3608798086643219,0.37296423874795437
38.0,cfk,0.012157153338193893,0.6216092109680176,0.6337663643062115
39.0,cfk,0.018183300271630287,0.4029628336429596,0.4211461339145899
40.0,cfk,0.027288736775517464,0.1561286598443985,0.18341739661991596
41.0,cfk,0.02458146959543228,0.20530705153942108,0.22988852113485336
42.0,cfk,,,
43.0,cfk,0.04182299226522446,0.16132470965385437,0.20314770191907883
44.0,cfk,,,
45.0,cfk,0.07621727138757706,0.07085110247135162,0.14706837385892868
46.0,cfk,0.04215462878346443,0.1390472650527954,0.18120189383625984
47.0,cfk,0.0189532320946455,0.6449686288833618,0.6639218609780073
48.0,cfk,0.03483451157808304,0.5237008929252625,0.5585354045033455
49.0,cfk,0.007142063230276108,0.7328214645385742,0.7399635277688503
50.0,cfk,0.02634803205728531,0.2836438715457916,0.30999190360307693
51.0,cfk,0.009970773011446,0.5483204126358032,0.5582911856472492
52.0,cfk,0.048197586089372635,0.35854530334472656,0.4067428894340992
53.0,cfk,,,
54.0,cfk,0.02285723388195038,0.3859555125236511,0.4088127464056015
55.0,cfk,0.0030205848161131144,0.9390121698379517,0.9420327546540648
56.0,cfk,0.0225534625351429,0.2754591405391693,0.2980126030743122
57.0,cfk,0.0553557462990284,0.19308893382549286,0.24844468012452126
58.0,cfk,0.017036577686667442,0.6078810095787048,0.6249175872653723
59.0,cfk,0.012344264425337315,0.7432888746261597,0.755633139051497
60.0,cfk,0.01190581638365984,0.41512957215309143,0.42703538853675127
61.0,cfk,0.10029442608356476,0.5123103857040405,0.6126048117876053
62.0,cfk,,,
63.0,cfk,0.26036491990089417,0.03075338900089264,0.2911183089017868
64.0,cfk,0.03075651079416275,0.28239312767982483,0.3131496384739876
65.0,cfk,0.024917278438806534,0.3367255926132202,0.36164287105202675
